target_id,arm_id,quantity,reported_value,reconstructed_value,unit,tolerance,classification
HB-OUT-001,hubbard_hardwood_095,equilibrium_live_biomass,19.0,18.8863,kg/m2,0.38,PASS_BOUNDED
HB-OUT-002,hubbard_hardwood_095,equilibrium_current_residue,0.75,0.97363,kg/m2,0.25,PASS_BOUNDED
HB-OUT-003,hubbard_hardwood_095,equilibrium_previous_residue,0.75,0.81717,kg/m2,0.25,PASS_BOUNDED
HB-OUT-004,hubbard_hardwood_095,equilibrium_old_residue,3.2,4.2326,kg/m2,0.25,CONTRADICTED
SEF-OUT-001,santee_mixed,equilibrium_live_biomass,15.0,19.8861,kg/m2,0.3,CONTRADICTED
SEF-OUT-002,santee_mixed,equilibrium_current_residue,0.8,1.41671,kg/m2,0.25,CONTRADICTED
SEF-OUT-003,santee_mixed,equilibrium_previous_residue,0.6,0.90025,kg/m2,0.25,CONTRADICTED
SEF-OUT-004,santee_mixed,equilibrium_old_residue,1.1,1.54626,kg/m2,0.25,CONTRADICTED
HB-OUT-005,hubbard_hardwood_095,surface_runoff,11.8,12.077,mm/yr,1.0,PASS_BOUNDED
HB-OUT-006,hubbard_hardwood_095,sediment_delivery,5.0,3.772835583796664,kg/ha/yr,1.0,CONTRADICTED
SEF-OUT-005,santee_mixed,surface_runoff,177.3,91.829,mm/yr,3.5460000000000003,CONTRADICTED
SEF-OUT-006,santee_mixed,sediment_delivery,27.0,80.33333333333333,kg/ha/yr,1.0,CONTRADICTED
HB-OUT-009,hubbard_constant,surface_runoff,11.5,13.425,mm/yr,1.0,CONTRADICTED
HB-OUT-010,hubbard_constant,sediment_delivery,4.0,2.2637013502779983,kg/ha/yr,1.0,CONTRADICTED
SEF-OUT-009,santee_constant,surface_runoff,211.4,103.566,mm/yr,4.228,CONTRADICTED
SEF-OUT-010,santee_constant,sediment_delivery,53.0,0.0,kg/ha/yr,1.06,CONTRADICTED
HB-RUN-RP-001,hubbard_constant,daily_runoff_return_level,1.4,0.0,mm,1.0,CONTRADICTED
HB-RUN-RP-002,hubbard_hardwood_095,daily_runoff_return_level,0.1,0.0,mm,1.0,PASS_BOUNDED
SEF-RUN-RP-001,santee_constant,daily_runoff_return_level,70.0,51.9,mm,3.5,CONTRADICTED
SEF-RUN-RP-002,santee_mixed,daily_runoff_return_level,67.0,49.5,mm,3.35,CONTRADICTED
HB-RUN-RP-004,hubbard_constant,daily_runoff_return_level,22.0,24.1,mm,1.1,CONTRADICTED
HB-RUN-RP-005,hubbard_hardwood_095,daily_runoff_return_level,25.0,21.3,mm,1.25,CONTRADICTED
SEF-RUN-RP-004,santee_constant,daily_runoff_return_level,91.0,73.2,mm,4.55,CONTRADICTED
SEF-RUN-RP-005,santee_mixed,daily_runoff_return_level,87.0,70.0,mm,4.3500000000000005,CONTRADICTED
HB-RUN-RP-007,hubbard_constant,daily_runoff_return_level,34.0,53.8,mm,1.7000000000000002,CONTRADICTED
HB-RUN-RP-008,hubbard_hardwood_095,daily_runoff_return_level,40.0,46.5,mm,2.0,CONTRADICTED
SEF-RUN-RP-007,santee_constant,daily_runoff_return_level,128.0,104.0,mm,6.4,CONTRADICTED
SEF-RUN-RP-008,santee_mixed,daily_runoff_return_level,126.0,102.5,mm,6.300000000000001,CONTRADICTED
HB-RUN-RP-010,hubbard_constant,daily_runoff_return_level,59.0,76.5,mm,2.95,CONTRADICTED
HB-RUN-RP-011,hubbard_hardwood_095,daily_runoff_return_level,63.0,71.2,mm,3.1500000000000004,CONTRADICTED
SEF-RUN-RP-010,santee_constant,daily_runoff_return_level,141.0,117.3,mm,7.050000000000001,CONTRADICTED
SEF-RUN-RP-011,santee_mixed,daily_runoff_return_level,137.0,117.3,mm,6.8500000000000005,CONTRADICTED
HB-RUN-RP-013,hubbard_constant,daily_runoff_return_level,68.0,76.6,mm,3.4000000000000004,CONTRADICTED
HB-RUN-RP-014,hubbard_hardwood_095,daily_runoff_return_level,64.0,75.1,mm,3.2,CONTRADICTED
SEF-RUN-RP-013,santee_constant,daily_runoff_return_level,142.0,121.4,mm,7.1000000000000005,CONTRADICTED
SEF-RUN-RP-014,santee_mixed,daily_runoff_return_level,140.0,117.7,mm,7.0,CONTRADICTED
HB-RUN-RP-016,hubbard_constant,daily_runoff_return_level,75.0,83.2,mm,3.75,CONTRADICTED
HB-RUN-RP-017,hubbard_hardwood_095,daily_runoff_return_level,78.0,87.3,mm,3.9000000000000004,CONTRADICTED
SEF-RUN-RP-016,santee_constant,daily_runoff_return_level,159.0,139.8,mm,7.95,CONTRADICTED
