fixture,site,arm,classification,cli_status,research_status,daily_rows,annual_rows,trace_sha256,annual_sha256,cohort_sha256,first_practical_equilibrium_year,end_residue_kg_m2
marcell_conifer_mn,marcell,conifer,native_forest,PASS,PASS,16437,45,202068707389e7e274210d1ef77e75673ba3c81e5e4cd238701fd5cd6ae08c5c,54c5268b139423a31ad213a39e15b00abadf21a772aae6968acc0021626174ca,e42c69637e67200b1f3d44279d1d95856121ff34dbaf7e4f700e53af70fd01d2,1989,0.2
marcell_deciduous_mn,marcell,deciduous,native_forest,PASS,PASS,16437,45,7a2e59aad34a446664b035895ca4a62357c48c57d7eaa5c30006bc69c1770b31,283ea958712a45f18533f62a6c8cdb75af0d1e90ababfe2f8ffdec9ea16c4c50,0efab3ab981f379852ca61e59a6fe62709e6bd22ac866c5fa9fcf8fe90f968f9,NOT_FOUND,12.071988848045484
marcell_mixed_mn,marcell,mixed,native_forest,PASS,PASS,16437,45,dbd0a8290d156624345194dbb1811280242bfc8b262666f7e3aa596260952714,70e03b5670944fe8f0ee4ee6e51e1403aaa210d87b6260e21e2809faf6bf0024,8c512283b3b540987551a8cfd9948ddd3d63af3715b5c5fb9d32b6aa26b21817,NOT_FOUND,6.135994424022749
marcell_open_mn,marcell,open,native_cropland,PASS,NOT_APPLICABLE,0,0,,,,NOT_APPLICABLE,
harvard_deciduous_ma,harvard,deciduous,native_forest,PASS,PASS,16437,45,9076a020d3909902ebc509910d59ddf31693920812e91549f7009ba208e1e94a,18e691d13f4ba4b0c766e89991f182195f2e4ed9e45696707fd259debb1c40fc,a5583884341e932d6736cffd46f91dad60d83b48b25242dbfc00373ed65d1a32,NOT_FOUND,12.24215849893389
harvard_mixed_ma,harvard,mixed,native_forest,PASS,PASS,16437,45,0d34ca7904ef1d24b9d7bae725e532f36baab757aa59624e02d97346373abc59,3acf6fe8fc97dc6f594b626ac17c7b634446f07f463bf0deaafac5aa9aef7bc3,3fcdd31fc0ac52c68217527a66eae8e44dc7741fcc39d4d2e52743690dd8b3d7,NOT_FOUND,6.222458779870661
harvard_open_ma,harvard,open,native_cropland,PASS,NOT_APPLICABLE,0,0,,,,NOT_APPLICABLE,
hubbardbrook_deciduous_nh,hubbard_brook,deciduous,native_forest,PASS,PASS,16437,45,2bbc2de3f6865c6b21e57d0970c17620edcd03714633a09ded8cae9b89305852,e21a917c8e0c3c7dc37512a8c997ea0be1b55f8b0e5b12a5f8c5c2f199cd90b3,f34c3daba5910efd614b5ca38740b76e86f44c4e72ea5c9c1e66f90a185bdacd,NOT_FOUND,11.591714925495241
hubbardbrook_mixed_nh,hubbard_brook,mixed,native_forest,PASS,PASS,16437,45,54c7d68a1cfd0fc3b2a39da6f0fe3ec92b295a64ee452d63b8cb147ffe66e451,0739ae1c881f641f6498f8a7682396e6429d40a4edfc5ba741d3f63bdadd4a1f,ea71341fdb73c7e3a9c9e2e6bbe1368654706f171b8551a96bd70d6af78df84d,NOT_FOUND,5.972041966507994
