case_id,selector,gsi_candidate_id,overrides,workdir,run_file,output_dir,trace_path,stdout_log,stderr_log,expected
native_default,native_fixture_defaults,,,/home/workdir/cal04b-objects/native-proof/native_default,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/native_default/output,/home/workdir/cal04b-objects/native-proof/native_default/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/native_default/stdout.log,/home/workdir/cal04b-objects/native-proof/native_default/stderr.log,bit_exact_gsi_and_canopy
interior,GSI-5557,GSI-5557,,/home/workdir/cal04b-objects/native-proof/interior,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/interior/output,/home/workdir/cal04b-objects/native-proof/interior/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/interior/stdout.log,/home/workdir/cal04b-objects/native-proof/interior/stderr.log,bit_exact_gsi_and_canopy
double_boundary,GSI-0001,GSI-0001,,/home/workdir/cal04b-objects/native-proof/double_boundary,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/double_boundary/output,/home/workdir/cal04b-objects/native-proof/double_boundary/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/double_boundary/stdout.log,/home/workdir/cal04b-objects/native-proof/double_boundary/stderr.log,bit_exact_gsi_and_canopy
saturated_first,"lowest candidate_id with any SATURATED_ON_OBSERVED_FORCING flag",,,/home/workdir/cal04b-objects/native-proof/saturated_first,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/saturated_first/output,/home/workdir/cal04b-objects/native-proof/saturated_first/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/saturated_first/stdout.log,/home/workdir/cal04b-objects/native-proof/saturated_first/stderr.log,bit_exact_gsi_and_canopy
all_operands,native defaults plus all six canopy operands,,"summer_foliar_biomass_kg_m2=0.30;structural_biomass_kg_m2=0.20;evergreen_fraction=0.50;xmxlai=6.00;structural_canopy_cover_fraction=0.50;bb=10.00",/home/workdir/cal04b-objects/native-proof/all_operands,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/all_operands/output,/home/workdir/cal04b-objects/native-proof/all_operands/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/all_operands/stdout.log,/home/workdir/cal04b-objects/native-proof/all_operands/stderr.log,bit_exact_all_native_canopy_fields
perturb_bf_max,native defaults plus Bf_max=0.30,,summer_foliar_biomass_kg_m2=0.30,/home/workdir/cal04b-objects/native-proof/perturb_bf_max,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/perturb_bf_max/output,/home/workdir/cal04b-objects/native-proof/perturb_bf_max/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/perturb_bf_max/stdout.log,/home/workdir/cal04b-objects/native-proof/perturb_bf_max/stderr.log,bit_exact_all_native_canopy_fields
perturb_bs,native defaults plus Bs=0.20,,structural_biomass_kg_m2=0.20,/home/workdir/cal04b-objects/native-proof/perturb_bs,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/perturb_bs/output,/home/workdir/cal04b-objects/native-proof/perturb_bs/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/perturb_bs/stdout.log,/home/workdir/cal04b-objects/native-proof/perturb_bs/stderr.log,bit_exact_all_native_canopy_fields
perturb_fe,native defaults plus fe=0.50,,evergreen_fraction=0.50,/home/workdir/cal04b-objects/native-proof/perturb_fe,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/perturb_fe/output,/home/workdir/cal04b-objects/native-proof/perturb_fe/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/perturb_fe/stdout.log,/home/workdir/cal04b-objects/native-proof/perturb_fe/stderr.log,bit_exact_all_native_canopy_fields
perturb_xmxlai,native defaults plus xmxlai=6.00,,xmxlai=6.00,/home/workdir/cal04b-objects/native-proof/perturb_xmxlai,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/perturb_xmxlai/output,/home/workdir/cal04b-objects/native-proof/perturb_xmxlai/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/perturb_xmxlai/stdout.log,/home/workdir/cal04b-objects/native-proof/perturb_xmxlai/stderr.log,bit_exact_all_native_canopy_fields
perturb_cs,native defaults plus Cs=0.50,,structural_canopy_cover_fraction=0.50,/home/workdir/cal04b-objects/native-proof/perturb_cs,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/perturb_cs/output,/home/workdir/cal04b-objects/native-proof/perturb_cs/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/perturb_cs/stdout.log,/home/workdir/cal04b-objects/native-proof/perturb_cs/stderr.log,bit_exact_all_native_canopy_fields
perturb_bb,native defaults plus bb=10.00,,bb=10.00,/home/workdir/cal04b-objects/native-proof/perturb_bb,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/perturb_bb/output,/home/workdir/cal04b-objects/native-proof/perturb_bb/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/perturb_bb/stdout.log,/home/workdir/cal04b-objects/native-proof/perturb_bb/stderr.log,bit_exact_all_native_canopy_fields
invalid_threshold_order,unordered temperature thresholds,,"minimum_temperature_inactive_c=5.0;minimum_temperature_unconstrained_c=-2.0",/home/workdir/cal04b-objects/native-proof/invalid_threshold_order,p10.native.run.toml,/home/workdir/cal04b-objects/native-proof/invalid_threshold_order/output,/home/workdir/cal04b-objects/native-proof/invalid_threshold_order/canopy-research.jsonl,/home/workdir/cal04b-objects/native-proof/invalid_threshold_order/stdout.log,/home/workdir/cal04b-objects/native-proof/invalid_threshold_order/stderr.log,typed_threshold_order_failure_and_trace_absent
