design_id,trace_days,hidden_truth,recovered_set,recovery_status,results_sha256,evidence_limit
REC-BFBS-01,1,Bf=0.20;Bs=0.10,Bf=0.10_Bs=0.20|Bf=0.20_Bs=0.10|Bf=0.30_Bs=0.00,RECOVERED_EQUIFINAL,5d7ec01ca067a8681ecf6e164cce6c252443c45d74c12405ef990d77a54de6ba,SYNTHETIC_RECOVERY_NOT_EMPIRICAL_CALIBRATION
REC-FE-01,365,fe=0.50,fe=0.50,RECOVERED_UNIQUE,5d7ec01ca067a8681ecf6e164cce6c252443c45d74c12405ef990d77a54de6ba,SYNTHETIC_RECOVERY_NOT_EMPIRICAL_CALIBRATION
REC-LAI-01,365,xmxlai=6.00,xmxlai=6.00,RECOVERED_UNIQUE,5d7ec01ca067a8681ecf6e164cce6c252443c45d74c12405ef990d77a54de6ba,SYNTHETIC_RECOVERY_NOT_EMPIRICAL_CALIBRATION
REC-CSBB-01,365,Cs=0.20;bb=5.00,Cs=0.00_bb=5.00|Cs=0.20_bb=5.00,RECOVERED_EQUIFINAL,5d7ec01ca067a8681ecf6e164cce6c252443c45d74c12405ef990d77a54de6ba,SYNTHETIC_RECOVERY_NOT_EMPIRICAL_CALIBRATION
