candidate_id,objective,acceptance_threshold,boundary_flags,saturation_flags,state
GSI-2198,4.46653652841558912,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-2199,4.43559303776933778,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-2629,5.01328372111835829,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-2630,4.29933925716579601,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-2631,4.29568847187315139,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-2634,4.69513394642137261,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-2635,4.38045913707874845,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-2636,4.45940397403564592,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-2638,4.74703061678148330,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-3941,4.92786180979752153,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-3942,4.91386454990517763,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-3962,4.68481487860470391,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-3963,4.66886640332142022,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4372,4.75093008932964889,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4377,4.84828049726182098,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4393,4.43594218170036569,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4394,4.02049652023893511,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4395,4.06632756197405243,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4398,4.22056105932573455,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4399,4.16456428441347892,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4400,4.19603538628584083,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4402,4.46444738096458327,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4831,4.83287528997894977,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4832,4.83287528997894977,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4833,4.75125296757652738,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4837,4.83287528997894977,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4838,4.74041391689254699,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-4842,4.73661438930971812,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5695,4.51181942793199031,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5700,4.49377508897191547,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5716,4.27352654145602617,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5717,4.14962785990037641,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5718,4.13872953423564294,5.02049652023893511,DOUBLE_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5721,4.19511671615924264,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5722,4.13050800917686090,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5723,4.15191967032764442,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
GSI-5725,4.24234665533510213,5.02049652023893511,UPPER_SUPPORT_BOUNDARY,NONE,ACCEPTED_FROZEN
