candidate_id,configuration_id,state,objective,boundary_flags,saturation_flags,evidence
GSI-0001,temperature-q00-q05|vpd-q00-q05|photoperiod-q00-q05,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0002,temperature-q00-q05|vpd-q00-q05|photoperiod-q00-q25,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0003,temperature-q00-q05|vpd-q00-q05|photoperiod-q00-q50,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0004,temperature-q00-q05|vpd-q00-q05|photoperiod-q00-q75,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0005,temperature-q00-q05|vpd-q00-q05|photoperiod-q00-q95,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0006,temperature-q00-q05|vpd-q00-q05|photoperiod-q00-q100,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,DOUBLE_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0007,temperature-q00-q05|vpd-q00-q05|photoperiod-q05-q25,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0008,temperature-q00-q05|vpd-q00-q05|photoperiod-q05-q50,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0009,temperature-q00-q05|vpd-q00-q05|photoperiod-q05-q75,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0010,temperature-q00-q05|vpd-q00-q05|photoperiod-q05-q95,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0011,temperature-q00-q05|vpd-q00-q05|photoperiod-q05-q100,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,DOUBLE_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0012,temperature-q00-q05|vpd-q00-q05|photoperiod-q25-q50,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
GSI-0013,temperature-q00-q05|vpd-q00-q05|photoperiod-q25-q75,FAILED_REQUIRED_PLOT_YEAR_CROSSING,+infinity,LOWER_SUPPORT_BOUNDARY,NONE,/home/workdir/cal04b-attempt-20260728-pathfix/objects/primary/candidate-observation-components.csv
