result_id,design_id,stage_member_id,evidence_role,operand_values,observation_or_truth,objective_components,objective,sensitivity,boundary_flags,failure,accepted_or_recovered,equifinal_set,evidence
EMP-BFBS-1-1,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.100;Bs=18.642,mature_total=18.990_SE=0.248,standardized_absolute_residual=1.000000000000,1.000000000000,d_total_d_Bf=0.999999999;d_total_d_Bs=1.000000001,OBSERVED_RANGE_BOUNDARY,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
EMP-BFBS-1-2,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.200;Bs=18.542,mature_total=18.990_SE=0.248,standardized_absolute_residual=1.000000000000,1.000000000000,d_total_d_Bf=1.000000001;d_total_d_Bs=1.000000001,OBSERVED_RANGE_BOUNDARY,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
EMP-BFBS-1-3,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.300;Bs=18.442,mature_total=18.990_SE=0.248,standardized_absolute_residual=1.000000000000,1.000000000000,d_total_d_Bf=1.000000001;d_total_d_Bs=1.000000001,OBSERVED_RANGE_BOUNDARY,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
EMP-BFBS-2-1,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.100;Bs=18.890,mature_total=18.990_SE=0.248,standardized_absolute_residual=0.000000000000,0.000000000000,d_total_d_Bf=0.999999999;d_total_d_Bs=1.000000001,INTERIOR,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
EMP-BFBS-2-2,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.200;Bs=18.790,mature_total=18.990_SE=0.248,standardized_absolute_residual=0.000000000000,0.000000000000,d_total_d_Bf=1.000000001;d_total_d_Bs=1.000000001,INTERIOR,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
EMP-BFBS-2-3,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.300;Bs=18.690,mature_total=18.990_SE=0.248,standardized_absolute_residual=0.000000000000,0.000000000000,d_total_d_Bf=1.000000001;d_total_d_Bs=1.000000001,INTERIOR,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
EMP-BFBS-3-1,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.100;Bs=19.138,mature_total=18.990_SE=0.248,standardized_absolute_residual=1.000000000000,1.000000000000,d_total_d_Bf=0.999999999;d_total_d_Bs=1.000000001,OBSERVED_RANGE_BOUNDARY,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
EMP-BFBS-3-2,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.200;Bs=19.038,mature_total=18.990_SE=0.248,standardized_absolute_residual=1.000000000000,1.000000000000,d_total_d_Bf=1.000000001;d_total_d_Bs=1.000000001,OBSERVED_RANGE_BOUNDARY,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
EMP-BFBS-3-3,EMP-BFBS-01,RESULT-TEMPLATE-EMP-BFBS,CALIBRATION_COMBINATION_CONSTRAINT,Bf=0.300;Bs=18.938,mature_total=18.990_SE=0.248,standardized_absolute_residual=1.000000000000,1.000000000000,d_total_d_Bf=0.999999999;d_total_d_Bs=1.000000001,OBSERVED_RANGE_BOUNDARY,NONE,RETAINED_COMBINATION,all_Bf_Bs_pairs_at_sum,CAL03-OBS-HB-001_NATIVE_COMBINATION_OPERATOR
REC-BFBS-1-1,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.10;Bs=0.00,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.040000000000,0.040000000000,d_objective_d_Bf=-0.400000000;d_objective_d_Bs=-0.399999000,ENUMERATION_BOUNDARY,NONE,REJECTED,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
REC-BFBS-1-2,REC-BFBS-01,RESULT-TEMPLATE-REC-BFBS,ASSUMED_FOR_EXECUTION,Bf=0.10;Bs=0.10,Bf=0.20;Bs=0.10,native_mature_total_squared_error=0.010000000000,0.010000000000,d_objective_d_Bf=-0.200000000;d_objective_d_Bs=-0.200000000,ENUMERATION_BOUNDARY,NONE,REJECTED,sum=0.30,NATIVE_FOREST_SYNTHETIC_OPERATOR
