input_id,path,role,expected_sha256,observed_sha256,state
domain_grid,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/proposed-domain-grid.csv,CAL04A_FROZEN_GRID,83f3b400ea16b4d7518ccb7a2cc5c6cf0f2ff18f1f1d9695610125c127bfc1fd,83f3b400ea16b4d7518ccb7a2cc5c6cf0f2ff18f1f1d9695610125c127bfc1fd,PASS
calibration_forcing_authority_resolution,docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/calibration-forcing-authority-resolution.md,RESULT_BLIND_BINDING_AUTHORITY,13c715046dd1ef700796d1651efa09b9e541f51cbb3c1a8feb2ebd45f072781d,13c715046dd1ef700796d1651efa09b9e541f51cbb3c1a8feb2ebd45f072781d,PASS
daymet_derived,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/daymet-daily-derived.csv,SATURATION_FORCING,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,20df216ab2d45904e1ce474662e78853c1872a05f0e2c565daf482720b02f735,PASS
daymet_sha256sums,references/canopy_phenology/daymet_calibration/SHA256SUMS,PINNED_DAYMET_CUSTODY_LEDGER,4364ff8650a18b00feabfbdfd28fcdb96bd6b794f13ac1577c1e37e7affb5a36,4364ff8650a18b00feabfbdfd28fcdb96bd6b794f13ac1577c1e37e7affb5a36,PASS
daymet_source_request_manifest,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/source-and-request-manifest.csv,CAL04A_SOURCE_IDENTITY_LEDGER,8175928a889fb957198e255b4c07c383fa4db78fd6e3a600925b89486301ba4d,8175928a889fb957198e255b4c07c383fa4db78fd6e3a600925b89486301ba4d,PASS
hubbard_plot_geometry,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/hubbard-plot-geometry.csv,CAL04A_SOURCE_EML_PLOT_GEOMETRY,f2b2aed040bf25006b8a26e2117238cf4b01ca67ae96606d7e887db9c9301989,f2b2aed040bf25006b8a26e2117238cf4b01ca67ae96606d7e887db9c9301989,PASS
timing,docs/work-packages/20260726-canopy-cal-04a-best-available-evidence-daymet-001/artifacts/phenology-forcing-join.csv,ROLE_FILTERED_OPERATOR_INPUT,1ccbdc91665eca302edc4bfd409d8db0ee4e67768e99d97ed43b83a2ad038ab9,1ccbdc91665eca302edc4bfd409d8db0ee4e67768e99d97ed43b83a2ad038ab9,PASS
operator,docs/work-packages/20260726-canopy-cal-04-process-calibration-identifiability-001/artifacts/objective-and-observation-operator.md,FROZEN_OPERATOR,1820eb74710aafe18f858ea67aeb7071e1ece4404fe8fe1f63ece889a32dc608,1820eb74710aafe18f858ea67aeb7071e1ece4404fe8fe1f63ece889a32dc608,PASS
daymet_source_hubbard_1B_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_1B_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,bd5bf4826b9e9fb7c72a69c57874090934f68beec710b3ecb8b292ad4a636cf6,bd5bf4826b9e9fb7c72a69c57874090934f68beec710b3ecb8b292ad4a636cf6,PASS
daymet_source_hubbard_4B_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_4B_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,1bf0842f3e729df5c243a4b82086f7c4beac65527783b3d80eb16b9d230a06ac,PASS
daymet_source_hubbard_4T_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_4T_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,cd81f72631ea2a1e9d985d5f74d298652aa6a830a6f11a81ad664107615386f9,cd81f72631ea2a1e9d985d5f74d298652aa6a830a6f11a81ad664107615386f9,PASS
daymet_source_hubbard_5B_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_5B_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,e158a5d60ba895d62f80e119b7e03a44acad35431f01efcedabdb3296ec3d6bd,e158a5d60ba895d62f80e119b7e03a44acad35431f01efcedabdb3296ec3d6bd,PASS
daymet_source_hubbard_5T_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_5T_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,744ad3b2a8a0cd25aac51ac48adb00444d7ad4cda8dd7a6d769a397723d04d6a,744ad3b2a8a0cd25aac51ac48adb00444d7ad4cda8dd7a6d769a397723d04d6a,PASS
daymet_source_hubbard_6T_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_6T_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,df89e440614b576021f706ad4d84a67616a00fcc02467e4a8fb06816f887d6cb,df89e440614b576021f706ad4d84a67616a00fcc02467e4a8fb06816f887d6cb,PASS
daymet_source_hubbard_7B_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_7B_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,d9fcbcda7658c51790bdd8f52def3dddb0696210911497f6f168e7f352d889ac,d9fcbcda7658c51790bdd8f52def3dddb0696210911497f6f168e7f352d889ac,PASS
daymet_source_hubbard_7T_daymet_v4r1_1989_2024,references/canopy_phenology/daymet_calibration/raw/hubbard_7T_daymet_v4r1_1989_2024.csv,PINNED_DAYMET_SOURCE,2f8291ddfa3e02d1f00cdc77633096153a4f54b4b6ab98766aded73073fa55a5,2f8291ddfa3e02d1f00cdc77633096153a4f54b4b6ab98766aded73073fa55a5,PASS
