command_id,prerequisites,receipt_outputs
prepare,-,"docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/gsi-domain-grid.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/candidate-configurations.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/saturation-evidence.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/saturation-window-inventory.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/input-and-authority-manifest.csv"
build_executor,prepare,"docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/native-producer;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/reconstruct;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/verify-reconstruct;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/readiness;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/expected-probe;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/synthetic-trace;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/synthetic-reconstruct;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/synthetic-verify-reconstruct;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/holdout-producer;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/tools/executor/target/release/holdout-reconstruct"
build_production_runner,build_executor,/home/workdir/openWEPP/target/debug/openwepp-cli-hill
native_proof,build_production_runner,"docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/native-consumer-proof.csv;/home/workdir/cal04b-objects/native-proof"
synthetic_gsi,native_proof,"/home/workdir/cal04b-objects/synthetic-gsi.bin;/home/workdir/cal04b-objects/synthetic-gsi-identity.csv;/home/workdir/cal04b-objects/synthetic-primary;/home/workdir/cal04b-objects/synthetic-verification;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/synthetic-recovery-results.csv"
hubbard_producer,synthetic_gsi,"/home/workdir/cal04b-objects/hubbard-gsi.bin;/home/workdir/cal04b-objects/hubbard-gsi.calendar.csv;/home/workdir/cal04b-objects/hubbard-gsi.lanes.csv;/home/workdir/cal04b-objects/hubbard-gsi-identity.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/producer-failure-ledger.csv"
hubbard_primary_reconstruct,hubbard_producer,"/home/workdir/cal04b-objects/primary/candidate-crossing-components.csv;/home/workdir/cal04b-objects/primary/candidate-observation-components.csv;/home/workdir/cal04b-objects/primary/candidate-annual-components.csv;/home/workdir/cal04b-objects/primary/candidate-diagnostics.csv;/home/workdir/cal04b-objects/primary/reconstruction-receipt.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/candidate-ledger.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/accepted-calibration-ensemble.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/failure-ledger.csv"
hubbard_verify_reconstruct,hubbard_primary_reconstruct,"/home/workdir/cal04b-objects/verification/candidate-crossing-components.csv;/home/workdir/cal04b-objects/verification/candidate-observation-components.csv;/home/workdir/cal04b-objects/verification/candidate-annual-components.csv;/home/workdir/cal04b-objects/verification/candidate-diagnostics.csv;/home/workdir/cal04b-objects/verification/candidate-ledger.csv;/home/workdir/cal04b-objects/verification/accepted-calibration-ensemble.csv;/home/workdir/cal04b-objects/verification/failure-ledger.csv;/home/workdir/cal04b-objects/verification/verification-receipt.csv"
retain_trace,hubbard_verify_reconstruct,"/home/workdir/cal04b-objects/hubbard-gsi.bin.zst;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/trace-retention.csv"
readiness,retain_trace,"docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/later-stage-results.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/later-stage-membership.csv;docs/work-packages/20260727-canopy-cal-04b-calibration-readiness-and-ensemble-execution-001/artifacts/later-stage-recovery.csv;/home/workdir/cal04b-objects/readiness/execution-receipt.csv"
