candidate_id,temperature_pair_id,vpd_pair_id,photoperiod_pair_id,minimum_temperature_inactive_c,minimum_temperature_unconstrained_c,vapor_pressure_deficit_unconstrained_pa,vapor_pressure_deficit_inactive_pa,photoperiod_inactive_hours,photoperiod_unconstrained_hours,boundary_class,saturation_flags
GSI-0031,temperature-q00-q05,vpd-q00-q25,photoperiod-q05-q95,-27.520000000,-14.298500000,30.266994000,221.146809000,11.239373219,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0032,temperature-q00-q05,vpd-q00-q25,photoperiod-q05-q100,-27.520000000,-14.298500000,30.266994000,221.146809000,11.239373219,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0033,temperature-q00-q05,vpd-q00-q25,photoperiod-q25-q50,-27.520000000,-14.298500000,30.266994000,221.146809000,12.478643418,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0034,temperature-q00-q05,vpd-q00-q25,photoperiod-q25-q75,-27.520000000,-14.298500000,30.266994000,221.146809000,12.478643418,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0035,temperature-q00-q05,vpd-q00-q25,photoperiod-q25-q95,-27.520000000,-14.298500000,30.266994000,221.146809000,12.478643418,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0036,temperature-q00-q05,vpd-q00-q25,photoperiod-q25-q100,-27.520000000,-14.298500000,30.266994000,221.146809000,12.478643418,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0037,temperature-q00-q05,vpd-q00-q25,photoperiod-q50-q75,-27.520000000,-14.298500000,30.266994000,221.146809000,13.947157389,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0038,temperature-q00-q05,vpd-q00-q25,photoperiod-q50-q95,-27.520000000,-14.298500000,30.266994000,221.146809000,13.947157389,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0039,temperature-q00-q05,vpd-q00-q25,photoperiod-q50-q100,-27.520000000,-14.298500000,30.266994000,221.146809000,13.947157389,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0040,temperature-q00-q05,vpd-q00-q25,photoperiod-q75-q95,-27.520000000,-14.298500000,30.266994000,221.146809000,15.020315923,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0041,temperature-q00-q05,vpd-q00-q25,photoperiod-q75-q100,-27.520000000,-14.298500000,30.266994000,221.146809000,15.020315923,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0042,temperature-q00-q05,vpd-q00-q25,photoperiod-q95-q100,-27.520000000,-14.298500000,30.266994000,221.146809000,15.287745094,15.294208010,DOUBLE_BOUNDARY,photoperiod
GSI-0043,temperature-q00-q05,vpd-q00-q50,photoperiod-q00-q05,-27.520000000,-14.298500000,30.266994000,386.206216000,10.935970516,11.239373219,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0044,temperature-q00-q05,vpd-q00-q50,photoperiod-q00-q25,-27.520000000,-14.298500000,30.266994000,386.206216000,10.935970516,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0045,temperature-q00-q05,vpd-q00-q50,photoperiod-q00-q50,-27.520000000,-14.298500000,30.266994000,386.206216000,10.935970516,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0046,temperature-q00-q05,vpd-q00-q50,photoperiod-q00-q75,-27.520000000,-14.298500000,30.266994000,386.206216000,10.935970516,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0047,temperature-q00-q05,vpd-q00-q50,photoperiod-q00-q95,-27.520000000,-14.298500000,30.266994000,386.206216000,10.935970516,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0048,temperature-q00-q05,vpd-q00-q50,photoperiod-q00-q100,-27.520000000,-14.298500000,30.266994000,386.206216000,10.935970516,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0049,temperature-q00-q05,vpd-q00-q50,photoperiod-q05-q25,-27.520000000,-14.298500000,30.266994000,386.206216000,11.239373219,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0050,temperature-q00-q05,vpd-q00-q50,photoperiod-q05-q50,-27.520000000,-14.298500000,30.266994000,386.206216000,11.239373219,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0051,temperature-q00-q05,vpd-q00-q50,photoperiod-q05-q75,-27.520000000,-14.298500000,30.266994000,386.206216000,11.239373219,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0052,temperature-q00-q05,vpd-q00-q50,photoperiod-q05-q95,-27.520000000,-14.298500000,30.266994000,386.206216000,11.239373219,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0053,temperature-q00-q05,vpd-q00-q50,photoperiod-q05-q100,-27.520000000,-14.298500000,30.266994000,386.206216000,11.239373219,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0054,temperature-q00-q05,vpd-q00-q50,photoperiod-q25-q50,-27.520000000,-14.298500000,30.266994000,386.206216000,12.478643418,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0055,temperature-q00-q05,vpd-q00-q50,photoperiod-q25-q75,-27.520000000,-14.298500000,30.266994000,386.206216000,12.478643418,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0056,temperature-q00-q05,vpd-q00-q50,photoperiod-q25-q95,-27.520000000,-14.298500000,30.266994000,386.206216000,12.478643418,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0057,temperature-q00-q05,vpd-q00-q50,photoperiod-q25-q100,-27.520000000,-14.298500000,30.266994000,386.206216000,12.478643418,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0058,temperature-q00-q05,vpd-q00-q50,photoperiod-q50-q75,-27.520000000,-14.298500000,30.266994000,386.206216000,13.947157389,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0059,temperature-q00-q05,vpd-q00-q50,photoperiod-q50-q95,-27.520000000,-14.298500000,30.266994000,386.206216000,13.947157389,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0060,temperature-q00-q05,vpd-q00-q50,photoperiod-q50-q100,-27.520000000,-14.298500000,30.266994000,386.206216000,13.947157389,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0061,temperature-q00-q05,vpd-q00-q50,photoperiod-q75-q95,-27.520000000,-14.298500000,30.266994000,386.206216000,15.020315923,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0062,temperature-q00-q05,vpd-q00-q50,photoperiod-q75-q100,-27.520000000,-14.298500000,30.266994000,386.206216000,15.020315923,15.294208010,DOUBLE_BOUNDARY,NONE
GSI-0063,temperature-q00-q05,vpd-q00-q50,photoperiod-q95-q100,-27.520000000,-14.298500000,30.266994000,386.206216000,15.287745094,15.294208010,DOUBLE_BOUNDARY,photoperiod
GSI-0064,temperature-q00-q05,vpd-q00-q75,photoperiod-q00-q05,-27.520000000,-14.298500000,30.266994000,655.895776750,10.935970516,11.239373219,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0065,temperature-q00-q05,vpd-q00-q75,photoperiod-q00-q25,-27.520000000,-14.298500000,30.266994000,655.895776750,10.935970516,12.478643418,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0066,temperature-q00-q05,vpd-q00-q75,photoperiod-q00-q50,-27.520000000,-14.298500000,30.266994000,655.895776750,10.935970516,13.947157389,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0067,temperature-q00-q05,vpd-q00-q75,photoperiod-q00-q75,-27.520000000,-14.298500000,30.266994000,655.895776750,10.935970516,15.020315923,LOWER_SUPPORT_BOUNDARY,NONE
GSI-0068,temperature-q00-q05,vpd-q00-q75,photoperiod-q00-q95,-27.520000000,-14.298500000,30.266994000,655.895776750,10.935970516,15.287745094,LOWER_SUPPORT_BOUNDARY,NONE
