family,pair_id,lower_operand,lower_level,lower_value,upper_operand,upper_level,upper_value,role
vpd,vpd-q50-q95,vapor_pressure_deficit_unconstrained_pa,q50,386.206216000,vapor_pressure_deficit_inactive_pa,q95,1100.647927550,forcing_support_grid_not_probability_prior
vpd,vpd-q50-q100,vapor_pressure_deficit_unconstrained_pa,q50,386.206216000,vapor_pressure_deficit_inactive_pa,q100,2155.325437000,forcing_support_grid_not_probability_prior
vpd,vpd-q75-q95,vapor_pressure_deficit_unconstrained_pa,q75,655.895776750,vapor_pressure_deficit_inactive_pa,q95,1100.647927550,forcing_support_grid_not_probability_prior
vpd,vpd-q75-q100,vapor_pressure_deficit_unconstrained_pa,q75,655.895776750,vapor_pressure_deficit_inactive_pa,q100,2155.325437000,forcing_support_grid_not_probability_prior
vpd,vpd-q95-q100,vapor_pressure_deficit_unconstrained_pa,q95,1100.647927550,vapor_pressure_deficit_inactive_pa,q100,2155.325437000,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q00-q05,photoperiod_inactive_hours,q00,10.935970516,photoperiod_unconstrained_hours,q05,11.239373219,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q00-q25,photoperiod_inactive_hours,q00,10.935970516,photoperiod_unconstrained_hours,q25,12.478643418,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q00-q50,photoperiod_inactive_hours,q00,10.935970516,photoperiod_unconstrained_hours,q50,13.947157389,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q00-q75,photoperiod_inactive_hours,q00,10.935970516,photoperiod_unconstrained_hours,q75,15.020315923,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q00-q95,photoperiod_inactive_hours,q00,10.935970516,photoperiod_unconstrained_hours,q95,15.287745094,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q00-q100,photoperiod_inactive_hours,q00,10.935970516,photoperiod_unconstrained_hours,q100,15.294208010,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q05-q25,photoperiod_inactive_hours,q05,11.239373219,photoperiod_unconstrained_hours,q25,12.478643418,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q05-q50,photoperiod_inactive_hours,q05,11.239373219,photoperiod_unconstrained_hours,q50,13.947157389,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q05-q75,photoperiod_inactive_hours,q05,11.239373219,photoperiod_unconstrained_hours,q75,15.020315923,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q05-q95,photoperiod_inactive_hours,q05,11.239373219,photoperiod_unconstrained_hours,q95,15.287745094,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q05-q100,photoperiod_inactive_hours,q05,11.239373219,photoperiod_unconstrained_hours,q100,15.294208010,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q25-q50,photoperiod_inactive_hours,q25,12.478643418,photoperiod_unconstrained_hours,q50,13.947157389,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q25-q75,photoperiod_inactive_hours,q25,12.478643418,photoperiod_unconstrained_hours,q75,15.020315923,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q25-q95,photoperiod_inactive_hours,q25,12.478643418,photoperiod_unconstrained_hours,q95,15.287745094,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q25-q100,photoperiod_inactive_hours,q25,12.478643418,photoperiod_unconstrained_hours,q100,15.294208010,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q50-q75,photoperiod_inactive_hours,q50,13.947157389,photoperiod_unconstrained_hours,q75,15.020315923,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q50-q95,photoperiod_inactive_hours,q50,13.947157389,photoperiod_unconstrained_hours,q95,15.287745094,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q50-q100,photoperiod_inactive_hours,q50,13.947157389,photoperiod_unconstrained_hours,q100,15.294208010,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q75-q95,photoperiod_inactive_hours,q75,15.020315923,photoperiod_unconstrained_hours,q95,15.287745094,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q75-q100,photoperiod_inactive_hours,q75,15.020315923,photoperiod_unconstrained_hours,q100,15.294208010,forcing_support_grid_not_probability_prior
photoperiod,photoperiod-q95-q100,photoperiod_inactive_hours,q95,15.287745094,photoperiod_unconstrained_hours,q100,15.294208010,forcing_support_grid_not_probability_prior
