site,stratum,quantity,units,member_count,matched_count_per_member_min,matched_count_per_member_max,bias_min,bias_median,bias_max,mae_min,mae_median,mae_max,rmse_min,rmse_median,rmse_max,verdict
harvard,deciduous,density,kg_m3,37,425,429,46.47471711889664,46.47642030883206,46.98162636596118,93.58636783655527,93.65953556973807,93.70784651683813,118.37168956863351,118.56754809858728,118.56761646171469,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,deciduous,snow_depth,m,37,448,448,0.05109534352906101,0.05109662514961754,0.054160841841010325,0.12737915426532403,0.12806613861609212,0.12806742023664866,0.17205354665920486,0.17271277885635192,0.17271359070393213,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,open,density,kg_m3,1,400,400,35.870774041244225,35.870774041244225,35.870774041244225,87.62647823709176,87.62647823709176,87.62647823709176,114.81822491414849,114.81822491414849,114.81822491414849,BOUNDED_NO_SOURCE_UNCERTAINTY
harvard,open,snow_depth,m,1,390,390,0.09595356169702594,0.09595356169702594,0.09595356169702594,0.129147071374022,0.129147071374022,0.129147071374022,0.16435503679953475,0.16435503679953475,0.16435503679953475,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,conifer,density,kg_m3,37,125,125,144.2162964578979,144.2162964578979,144.2162964578979,148.01266043975534,148.01266043975534,148.01266043975534,173.22894665519038,173.22894665519038,173.22894665519038,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,conifer,snow_depth,m,37,152,152,-0.10652203762840197,-0.10652203762840197,-0.10652203762840197,0.11484331655894159,0.11484331655894159,0.11484331655894159,0.14262141336076958,0.14262141336076958,0.14262141336076958,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,conifer,swe,mm,37,152,152,-2.8824539905546693,-2.8824539905546693,-2.8824539905546693,21.080003250800495,21.080003250800495,21.080003250800495,26.62949144764083,26.62949144764083,26.62949144764083,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,deciduous,density,kg_m3,37,113,114,124.19886426412448,124.2199366347748,125.53424221338132,136.86101148572476,136.8820838563751,137.8463999618501,165.18812408216837,165.21009716916518,166.21322169498958,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,deciduous,snow_depth,m,37,150,150,-0.15464402158599588,-0.15461484323205738,-0.1537178531276337,0.15569504761599695,0.15659203772042066,0.15662121607435914,0.18778383496147688,0.18913957521893687,0.18920587351820015,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,deciduous,swe,mm,37,149,149,-19.18340378940037,-19.16816406476436,-18.731319927075656,26.337416866104604,26.765912291077022,26.781152015713026,35.81738033195438,36.50376379266257,36.52683211454298,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,open,density,kg_m3,1,124,124,123.53473193420584,123.53473193420584,123.53473193420584,129.7126016671237,129.7126016671237,129.7126016671237,155.9662090976653,155.9662090976653,155.9662090976653,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,open,snow_depth,m,1,150,150,-0.13514438941502743,-0.13514438941502743,-0.13514438941502743,0.13950873537068728,0.13950873537068728,0.13950873537068728,0.17034118898492134,0.17034118898492134,0.17034118898492134,BOUNDED_NO_SOURCE_UNCERTAINTY
marcell,open,swe,mm,1,150,150,-13.44850411978183,-13.44850411978183,-13.44850411978183,20.802087628669746,20.802087628669746,20.802087628669746,27.430814854871247,27.430814854871247,27.430814854871247,BOUNDED_NO_SOURCE_UNCERTAINTY
