run_id,site,stratum,fixture,member_id,state,trace_sha256,trace_bytes,wat_sha256,wat_bytes,stderr_sha256,command
harvard_deciduous_ma__GSI-2198,harvard,deciduous,harvard_deciduous_ma,GSI-2198,PASS,5b00f43bc209059765e4978d15d5f019a96be9cd0665edd3bed07676fd850ae1,38145626,c5764597571640c2db40d1533ad6fa8e19baf774fc7268ad1f678d8761cfa8d1,1088464,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2198/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2198/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-2199,harvard,deciduous,harvard_deciduous_ma,GSI-2199,PASS,486f9fc072aac2340857e8f32ec8a098c91721f5f6e5ffc40ef3563a9e25f93d,38140656,abbeebecdd0a7c6edb05397e3d7b57207713452742f7fc47ff10cb10455a3da7,1088557,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2199/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2199/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-2629,harvard,deciduous,harvard_deciduous_ma,GSI-2629,PASS,13347adc5178979fb7fa1554ded17585db70f6010e7123948da313e152f56a2e,38932699,c47612ece926cf46254f45e08bfcb8d8df6ea3f4ccb643b5817c7e4920f2a042,1125210,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2629/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2629/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-2630,harvard,deciduous,harvard_deciduous_ma,GSI-2630,PASS,fc141be0856f8a10e932368fedff071beb54193f70159ca0b2071c40bbaa33ee,38953039,6fde3f059239b1733fc817a6d2c220c7d35ccf2138cf9e6dd2ae2af5117fb409,1125839,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2630/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2630/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-2631,harvard,deciduous,harvard_deciduous_ma,GSI-2631,PASS,19b56b999adf600d6150a1f0904d7e2c187454df1f14fb0250f327c4e383578a,38955428,86c71779132f2fd673521e1e5a9e315b2ca7f1d57354fc8c288b221538868374,1125938,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2631/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2631/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-2634,harvard,deciduous,harvard_deciduous_ma,GSI-2634,PASS,80b40594c0ff358596774e2a8fb4a62a44da80e970a42d7e600ab00ea76eb3ea,38771670,662dff48723aa1d26e75d73a03d0b9e73a6881cfbd8cb5bd9df8e85b6e0b1871,1117837,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2634/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2634/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-2635,harvard,deciduous,harvard_deciduous_ma,GSI-2635,PASS,1254c5b828b6c6a12fd3c8a788020da292b8ee7a9519a8e259e2f7763ce5d2c9,38786467,f0fd773d19988c3744c82f3be969afa0a017ca2dd09503b73db03bbf2d89b8fb,1118613,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2635/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2635/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-2636,harvard,deciduous,harvard_deciduous_ma,GSI-2636,PASS,ce64a7f37d921ad03b1a347ed6495963adde691c2b5054626cc40f7720a19676,38776669,99ca0d798e827b7112fef83918122feca55667c202e5e5cbe39a3ce434e94f03,1118494,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2636/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2636/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-2638,harvard,deciduous,harvard_deciduous_ma,GSI-2638,PASS,3ed735e84422b375e45f973cf3828c648c492b7162d3f52ed12dacc812884a94,38142822,a5dea0fb3bf613b9f4628ec630e6504ad81ed8f00d2aa9592b9687ecbcdb1396,1089171,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-2638/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-2638/output --legacy-sidecar-discovery --direct-production-executor
harvard_deciduous_ma__GSI-3941,harvard,deciduous,harvard_deciduous_ma,GSI-3941,PASS,bf5a95b247eb08b48eac8445f74c9c1ef8ccd82173f751ef4228da0e32576625,38141150,e42827bab3f81d4e82bb7a84016ccd0a68066d250ce5bc20278320bbbe8c04e7,1088379,EPHEMERAL_PATH_BEARING_NOT_RETAINED,/home/workdir/openWEPP/target/release/openwepp-cli-hill --run-dir <scratch>/harvard_deciduous_ma__GSI-3941/fixture --run-file p6.native.run.toml --output-dir <scratch>/harvard_deciduous_ma__GSI-3941/output --legacy-sidecar-discovery --direct-production-executor
