lane_id,cell,status,days,max_mass_m,max_surface_j_m2,max_cold_j_m2,max_layer_swe_m,max_layer_depth_m,minimum_temperature_c,suspended_seconds,collapsed_seconds,subnanometer_layer_occurrences,total_sublimation_m,total_longwave_j_m2,total_latent_j_m2
snotel_mica_creek_st_joe_id,B,PASS,14245,2.220446049250313e-16,1.1757947504520416e-08,7.334165275096893e-09,1.1102230246251565e-16,4.440892098500626e-16,-0.9866602961773651,432000.0,1123200.0,0,0.0,0.0,0.0
snotel_mica_creek_st_joe_id,L,PASS,14245,2.220446049250313e-16,1.0244548320770264e-07,1.549196895211935e-07,1.1102230246251565e-16,4.440892098500626e-16,-20.991546820301032,432000.0,1123200.0,0,0.0,980367992.9802959,0.0
snotel_mica_creek_st_joe_id,S,PASS,14245,4.440892098500626e-16,8.89413058757782e-08,1.3572571333497763e-07,3.3306690738754696e-15,4.440892098500626e-16,-14.90520558779068,1072740.0,838800.0,0,0.6257050539809893,0.0,-1774964583.3067315
snotel_mica_creek_st_joe_id,LS,PASS,14245,4.440892098500626e-16,1.0244548320770264e-07,1.6401827451772988e-07,3.635980405647388e-15,4.440892098500626e-16,-21.2830159022514,1209600.0,779340.0,0,0.4591567411780272,1495611455.0852087,-1303279521.9723341
snotel_paradise_wa,B,PASS,16437,8.881784197001252e-16,7.450580596923828e-09,1.8422724679112434e-08,4.440892098500626e-16,8.881784197001252e-16,-2.5345894585845334,691200.0,518400.0,0,0.0,0.0,0.0
snotel_paradise_wa,L,PASS,16437,8.881784197001252e-16,2.7194619178771973e-07,9.211362339556217e-08,4.440892098500626e-16,8.881784197001252e-16,-21.456012254242783,691200.0,518400.0,0,0.0,5458973302.760396,0.0
snotel_paradise_wa,S,PASS,16437,1.1102230246251565e-15,5.8673322200775146e-08,3.026798367500305e-08,1.8318679906315083e-15,8.881784197001252e-16,-13.378305876055407,432000.0,728400.0,0,0.9611033629323085,0.0,-2726155364.8350434
snotel_paradise_wa,LS,PASS,16437,1.3322676295501878e-15,2.6635825634002686e-07,6.984919309616089e-08,4.274358644806853e-15,8.881784197001252e-16,-21.82728870829992,518400.0,675000.0,0,0.7681327383852684,6127335825.078434,-2179438962.42946
snotel_css_lab_ca,B,PASS,16437,4.440892098500626e-16,3.818422555923462e-08,1.728767529129982e-08,2.220446049250313e-16,6.661338147750939e-16,-2.1393455380848803,1468800.0,1123200.0,0,0.0,0.0,0.0
snotel_css_lab_ca,L,PASS,16437,4.440892098500626e-16,1.695007085800171e-07,7.252674549818039e-08,2.220446049250313e-16,6.661338147750939e-16,-12.878887548718174,1468800.0,1123200.0,0,0.0,2683355690.9617567,0.0
snotel_css_lab_ca,S,PASS,16437,8.881784197001252e-16,1.0710209608078003e-07,2.5829649530351162e-08,1.6653345369377348e-15,6.661338147750939e-16,-8.885030081887328,1782480.0,1195020.0,0,0.6866846253552746,0.0,-1947344893.4953003
snotel_css_lab_ca,LS,PASS,16437,8.881784197001252e-16,2.1420419216156006e-07,7.284688763320446e-08,3.747002708109903e-15,6.661338147750939e-16,-13.89925471115249,1865160.0,1580280.0,0,0.5789201080180892,3087877317.7910275,-1642288073.8781247
snotel_snowbird_ut,B,PASS,14245,4.440892098500626e-16,1.6298145055770874e-08,1.618172973394394e-08,2.220446049250313e-16,4.440892098500626e-16,-4.04131441218622,1296000.0,777600.0,0,0.0,0.0,0.0
snotel_snowbird_ut,L,PASS,14245,4.440892098500626e-16,2.5704503059387207e-07,2.5249755708500743e-07,2.220446049250313e-16,4.440892098500626e-16,-22.10800996121879,1296000.0,777600.0,0,0.0,407671659.88583106,0.0
snotel_snowbird_ut,S,PASS,14245,6.661338147750939e-16,8.847564458847046e-08,3.5372067941352725e-08,3.0531133177191805e-15,4.440892098500626e-16,-15.089570675468565,1444380.0,1677000.0,0,0.8633648090023012,0.0,-2449632995.788946
snotel_snowbird_ut,LS,PASS,14245,8.881784197001252e-16,1.4901161193847656e-07,4.285830073058605e-07,4.85722573273506e-15,4.440892098500626e-16,-22.350917023180546,1708320.0,1399560.0,0,0.6172861984272873,1159440816.354971,-1753334995.9328866
snotel_niwot_co,B,PASS,16437,1.1102230246251565e-16,3.3993273973464966e-08,1.0593794286251068e-08,1.1102230246251565e-16,4.440892098500626e-16,-1.641591266019939,2678400.0,3628800.0,0,0.0,0.0,0.0
snotel_niwot_co,L,PASS,16437,1.1102230246251565e-16,2.998858690261841e-07,2.592314558569342e-07,1.1102230246251565e-16,4.440892098500626e-16,-23.37719273803902,2678400.0,3628800.0,0,0.0,-4028634454.4470525,0.0
snotel_niwot_co,S,PASS,16437,3.0531133177191805e-16,1.2945383787155151e-07,1.0873191058635712e-07,3.0253577421035516e-15,4.440892098500626e-16,-16.95654790576744,3619320.0,2981340.0,0,1.7506990791090018,0.0,-4969023457.342689
snotel_niwot_co,LS,PASS,16437,6.522560269672795e-16,2.2165477275848389e-07,1.5253317542374134e-07,4.6629367034256575e-15,3.3306690738754696e-16,-23.974681192410934,2622120.0,3184020.0,0,1.3002382033016473,-2571117944.5420146,-3692939244.0697985
harvard_open,B,PASS,16437,1.1102230246251565e-16,3.585591912269592e-08,3.952300176024437e-08,1.1102230246251565e-16,2.220446049250313e-16,-8.000009511512907,2332800.0,2246400.0,0,0.0,0.0,0.0
