lane_id,cell,status,days,max_mass_m,max_surface_j_m2,max_cold_j_m2,max_layer_swe_m,max_layer_depth_m,minimum_temperature_c,suspended_seconds,collapsed_seconds,subnanometer_layer_occurrences,total_sublimation_m,total_longwave_j_m2,total_latent_j_m2
harvard_open,L,PASS,16437,1.1102230246251565e-16,1.601874828338623e-07,4.5017804950475693e-07,1.1102230246251565e-16,2.220446049250313e-16,-21.430201081949054,2332800.0,2246400.0,0,0.0,-1308189050.5280612,0.0
harvard_open,S,PASS,16437,4.440892098500626e-16,1.1548399925231934e-07,1.3562384992837906e-08,1.4432899320127035e-15,3.3306690738754696e-16,-18.20197153529971,4546260.0,1296000.0,7,0.058829369208094485,0.0,-166997480.39263922
harvard_open,LS,PASS,16437,3.469446951953614e-16,2.1606683731079102e-07,3.370223566889763e-07,1.8596235662471372e-15,2.220446049250313e-16,-21.923271062301076,4279620.0,1209600.0,6,0.0420434381043002,-1225570015.1867967,-119466655.92981037
harvard_hardwood,B,PASS,16437,1.1102230246251565e-16,2.6542693376541138e-08,1.4726538211107254e-08,5.551115123125783e-17,4.440892098500626e-16,-8.150009214278127,3542400.0,1814400.0,0,0.0,0.0,0.0
harvard_hardwood,L,PASS,16437,1.1102230246251565e-16,7.729977369308472e-08,4.985486157238483e-07,5.551115123125783e-17,4.440892098500626e-16,-27.842971370479223,3542400.0,1814400.0,0,0.0,-5635304886.281411,0.0
harvard_hardwood,S,PASS,16437,2.498001805406602e-16,7.962808012962341e-08,1.6344711184501648e-07,2.220446049250313e-15,3.3306690738754696e-16,-21.97368431040135,6925500.0,1584420.0,0,2.014338177506163,0.0,-5726229750.952321
harvard_hardwood,LS,PASS,16437,2.0816681711721685e-16,7.986091077327728e-08,2.637971192598343e-07,1.5265566588595902e-15,3.3306690738754696e-16,-28.35962778713774,5602080.0,2351100.0,0,1.2103243009934277,-3444243476.07015,-3442926554.343957
marcell_conifer,B,PASS,16437,5.551115123125783e-17,2.468004822731018e-08,1.9441358745098114e-08,5.551115123125783e-17,2.220446049250313e-16,-13.048626414863678,9504000.0,2678400.0,0,0.0,0.0,0.0
marcell_conifer,L,PASS,16437,5.551115123125783e-17,1.0617077350616455e-07,6.28642737865448e-07,5.551115123125783e-17,2.220446049250313e-16,-33.1614862811789,9504000.0,2678400.0,0,0.0,-4816861267.088998,0.0
marcell_conifer,S,PASS,16437,3.191891195797325e-16,1.2014061212539673e-07,1.6056583262979984e-07,4.3021142204224816e-16,2.220446049250313e-16,-25.08681505315914,11703840.0,2747220.0,0,1.2921711926420127,0.0,-3671950449.990944
marcell_conifer,LS,PASS,16437,1.942890293094024e-16,1.1920928955078125e-07,5.578185664489865e-07,7.771561172376096e-16,2.220446049250313e-16,-33.39841280443381,11339280.0,2725200.0,0,0.6778285034925116,-3571422170.8070955,-1930083700.3837059
marcell_deciduous,B,PASS,16437,5.551115123125783e-17,1.5832483768463135e-08,1.955777406692505e-08,5.551115123125783e-17,2.220446049250313e-16,-13.045258134174569,9936000.0,2332800.0,0,0.0,0.0,0.0
marcell_deciduous,L,PASS,16437,5.551115123125783e-17,7.473863661289215e-08,6.08968548476696e-07,5.551115123125783e-17,2.220446049250313e-16,-38.092925168470124,9936000.0,2332800.0,0,0.0,-7070287389.475911,0.0
marcell_deciduous,S,PASS,16437,1.7867651802561113e-16,6.402842700481415e-08,3.157183527946472e-07,1.7867651802561113e-16,2.220446049250313e-16,-30.95021687385978,22899180.0,2212080.0,0,2.187389874873265,0.0,-6242176034.10445
marcell_deciduous,LS,PASS,16437,1.4051260155412137e-16,7.078051567077637e-08,9.209616109728813e-07,2.203098814490545e-16,2.220446049250313e-16,-38.55559106811294,15050700.0,3207780.0,0,1.0120079174305503,-4528844625.013789,-2891000512.442186
marcell_open,B,PASS,16437,5.551115123125783e-17,2.514570951461792e-08,3.271270543336868e-08,5.551115123125783e-17,2.220446049250313e-16,-13.045444715065342,9417600.0,2678400.0,0,0.0,0.0,0.0
marcell_open,L,PASS,16437,5.551115123125783e-17,1.0617077350616455e-07,5.966285243630409e-07,5.551115123125783e-17,2.220446049250313e-16,-32.68801927842787,9417600.0,2678400.0,0,0.0,-4634192894.150376,0.0
marcell_open,S,PASS,16437,3.885780586188048e-16,8.102506399154663e-08,1.2190139386802912e-07,1.7763568394002505e-15,2.220446049250313e-16,-23.822545753543224,9936000.0,2515500.0,11,0.10505897832967655,0.0,-298743042.80084413
marcell_open,LS,PASS,16437,2.498001805406602e-16,1.341104507446289e-07,3.894820110872388e-07,3.885780586188048e-16,2.220446049250313e-16,-32.691229928931655,9940380.0,2856300.0,6,0.05271728431882573,-4534923446.6144495,-150296219.59515148
sleepers_south_open,B,PASS,13880,1.1102230246251565e-16,2.514570951461792e-08,1.682201400399208e-08,1.1102230246251565e-16,3.3306690738754696e-16,-7.250157677828395,5356800.0,1555200.0,0,0.0,0.0,0.0
sleepers_south_open,L,PASS,13880,1.1102230246251565e-16,1.2293457984924316e-07,7.292692316696048e-07,1.1102230246251565e-16,3.3306690738754696e-16,-25.869345745425285,5356800.0,1555200.0,0,0.0,-2712107285.972228,0.0
sleepers_south_open,S,PASS,13880,4.440892098500626e-16,7.636845111846924e-08,4.742469172924757e-08,3.3861802251067274e-15,3.3306690738754696e-16,-18.724126434226097,5356800.0,1249140.0,0,0.4246443047268925,0.0,-1204864095.122563
sleepers_south_open,LS,PASS,13880,4.718447854656915e-16,1.2479722499847412e-07,3.448221832513809e-07,5.079270337660091e-15,4.440892098500626e-16,-26.112143426038934,5529600.0,2273640.0,0,0.2297339783512425,-2384824853.3152556,-653366467.511711
sleepers_w9_hardwood,B,PASS,16437,1.1102230246251565e-16,2.6542693376541138e-08,1.7636921256780624e-08,1.1102230246251565e-16,3.3306690738754696e-16,-7.8001597255923985,5097600.0,1641600.0,0,0.0,0.0,0.0
sleepers_w9_hardwood,L,PASS,16437,1.1102230246251565e-16,1.471489667892456e-07,5.01750037074089e-07,1.1102230246251565e-16,3.3306690738754696e-16,-25.790432410272036,5097600.0,1641600.0,0,0.0,-4540152404.439307,0.0
sleepers_w9_hardwood,S,PASS,16437,5.551115123125783e-16,1.0710209608078003e-07,1.317821443080902e-07,2.1094237467877974e-15,3.3306690738754696e-16,-17.765669458443476,5508300.0,1916700.0,0,1.6083560066541567,0.0,-4566988204.999733
sleepers_w9_hardwood,LS,PASS,16437,5.551115123125783e-16,1.471489667892456e-07,2.44705006480217e-07,3.608224830031759e-15,2.220446049250313e-16,-26.461302886673092,5554260.0,2309280.0,0,1.009744390208591,-3205117760.848803,-2871159532.115514
