metric	repeat	seconds	seconds_per_iter	projected_h2637_seconds	projected_ratio
logical_current	1	6.577802517	0.000032889013	7.760524299	0.850935
array_authoritative	1	0.129971451	0.000000649857	0.153340968	0.016814
logical_current	2	6.524379418	0.000032621897	7.697495459	0.844024
array_authoritative	2	0.127611155	0.000000638056	0.150556279	0.016508
logical_current	3	6.503200068	0.000032516000	7.672507956	0.841284
array_authoritative	3	0.129502859	0.000000647514	0.152788121	0.016753
logical_current	4	6.543383456	0.000032716917	7.719916518	0.846482
array_authoritative	4	0.139069593	0.000000695348	0.164075001	0.017991
logical_current	5	6.655355931	0.000033276780	7.852022204	0.860967
array_authoritative	5	0.131041699	0.000000655208	0.154603652	0.016952
export_once	1	0.001008919	0.001008919	0.001008919	0.000111
