field_name,user_facing_label,section,unit,model_role,equation_location,effect_direction,hard_domain,value_status,range_class,range_low,range_high,range_authority,ecological_scope,scale,calibration_target,minimum_observations,identifiability,coupled_outputs,warning,source_paths
phenology.minimum_temperature_inactive_c,cold-constraint inactive temperature,seasonal_timing,degC,increasing GSI temperature indicator lower threshold,CP-GSI01 I_up(Tmin;Tmin_min;Tmin_max),raising delays release from complete cold constraint,"finite; less than minimum_temperature_unconstrained_c",required_input;accepted_ensemble,CALIBRATION_ENSEMBLE,-27.52,-4.67,CAL-04B accepted frozen ensemble,Hubbard Brook northern temperate deciduous forest,daily community/OFE,dated leaf-on and leaf-off observations plus daily Tmin,"at least one rising and one falling transition per year across >=2 years",partially identifiable jointly with five other thresholds,GSI;foliar biomass;LAI;cover;height;leaf transfer;all downstream consumers,"Site ensemble is not a typical range or physiological bound",SC-PLANT-001 CP-GSI01;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
phenology.minimum_temperature_unconstrained_c,cold-constraint unconstrained temperature,seasonal_timing,degC,increasing GSI temperature indicator upper threshold,CP-GSI01 I_up(Tmin;Tmin_min;Tmin_max),raising extends partial cold limitation,"finite; greater than minimum_temperature_inactive_c",required_input;accepted_ensemble,CALIBRATION_ENSEMBLE,6.70,19.91,CAL-04B accepted frozen ensemble,Hubbard Brook northern temperate deciduous forest,daily community/OFE,dated leaf-on and leaf-off observations plus daily Tmin,"at least one rising and one falling transition per year across >=2 years",partially identifiable jointly with five other thresholds,GSI;foliar biomass;LAI;cover;height;leaf transfer;all downstream consumers,"Site ensemble is not a typical range",SC-PLANT-001 CP-GSI01;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
phenology.vapor_pressure_deficit_unconstrained_pa,dryness-constraint unconstrained VPD,seasonal_timing,Pa,decreasing GSI VPD indicator lower threshold,CP-GSI01 1-I_up(VPD;VPD_min;VPD_max),raising delays onset of dryness limitation,"finite; >=0; less than vapor_pressure_deficit_inactive_pa",required_input;accepted_ensemble,CALIBRATION_ENSEMBLE,655.89577675,1100.64792755,CAL-04B accepted frozen ensemble,Hubbard Brook northern temperate deciduous forest,daily community/OFE,dated leaf-on and leaf-off observations plus trusted daily VPD,"at least one rising and one falling transition per year across >=2 years with complete daily VPD",partially identifiable jointly with five other thresholds,GSI;foliar biomass;LAI;cover;height;leaf transfer;all downstream consumers,"Site ensemble is not a typical range; do not repair bad VPD by calibration",SC-PLANT-001 CP-GSI01;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B;CAL-07B;CAL-07C
phenology.vapor_pressure_deficit_inactive_pa,dryness-constraint inactive VPD,seasonal_timing,Pa,decreasing GSI VPD indicator upper threshold,CP-GSI01 1-I_up(VPD;VPD_min;VPD_max),raising requires higher VPD for complete dryness constraint,"finite; greater than vapor_pressure_deficit_unconstrained_pa",required_input;accepted_ensemble,CALIBRATION_ENSEMBLE,2155.325437,2155.325437,CAL-04B accepted frozen ensemble,Hubbard Brook northern temperate deciduous forest,daily community/OFE,dated leaf-on and leaf-off observations plus trusted daily VPD,"at least one rising and one falling transition per year across >=2 years with complete daily VPD",partially identifiable and support-boundary constrained,GSI;foliar biomass;LAI;cover;height;leaf transfer;all downstream consumers,"One retained value is not a universal constant",SC-PLANT-001 CP-GSI01;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
phenology.photoperiod_inactive_hours,short-day inactive photoperiod,seasonal_timing,h,increasing GSI photoperiod indicator lower threshold,CP-GSI01 I_up(Photo;Photo_min;Photo_max),raising lengthens the short-day-constrained season,"finite; >=0; less than photoperiod_unconstrained_hours",required_input;accepted_ensemble,CALIBRATION_ENSEMBLE,10.935970516,12.478643418,CAL-04B accepted frozen ensemble,Hubbard Brook northern temperate deciduous forest,daily community/OFE,dated leaf-on and leaf-off at correct signed latitude,"at least one rising and one falling transition per year across >=2 years",partially identifiable jointly with five other thresholds,GSI;foliar biomass;LAI;cover;height;leaf transfer;all downstream consumers,"Site ensemble is not a typical range",SC-PLANT-001 CP-GSI01;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
phenology.photoperiod_unconstrained_hours,short-day unconstrained photoperiod,seasonal_timing,h,increasing GSI photoperiod indicator upper threshold,CP-GSI01 I_up(Photo;Photo_min;Photo_max),raising extends partial photoperiod limitation,"finite; greater than photoperiod_inactive_hours; <=24",required_input;accepted_ensemble,CALIBRATION_ENSEMBLE,11.239373219,15.29420801,CAL-04B accepted frozen ensemble,Hubbard Brook northern temperate deciduous forest,daily community/OFE,dated leaf-on and leaf-off at correct signed latitude,"at least one rising and one falling transition per year across >=2 years",partially identifiable jointly with five other thresholds,GSI;foliar biomass;LAI;cover;height;leaf transfer;all downstream consumers,"Site ensemble is not a typical range",SC-PLANT-001 CP-GSI01;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
phenology.summer_foliar_biomass_kg_m2,full-leaf foliar dry biomass,canopy_structure,kg m^-2,full-leaf foliar dry-mass endpoint,CP-GSI02 Bf=Bf_max*[fe+(1-fe)*GSI21],raising increases foliar biomass and seasonal transfer capacity,"finite; >0",required_input,NOT_ESTABLISHED,,,no general range authority,configured forest community,horizontal hillslope area/OFE,full-leaf dry foliar biomass,"at least one representative full-leaf dry-mass estimate at matched area scale; replication preferred",confounded with structural biomass by total live-biomass observations and with bb by cover,foliar biomass;cover;height;leaf allocation;leaf litter;interception;ET;erosion,"Do not use total biomass alone to partition foliage or tune to runoff/sediment",SC-PLANT-001 CP-GSI02;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
phenology.evergreen_fraction,evergreen foliar fraction,canopy_structure,fraction,evergreen share of full-leaf foliar pool,CP-GSI02 f=fe+(1-fe)*GSI21,raising lifts winter foliar floor and reduces seasonal transfer amplitude,"finite; 0<=x<=1",required_input,NOT_ESTABLISHED,,,no general range authority,configured forest community,community/OFE functional composition,leaf habit and winter retained foliage,"functional-type inventory plus matched leaf-on and leaf-off foliage observations",nonidentifiable from admitted CAL-04B empirical data,seasonal foliar floor;LAI;cover;height;leaf-transfer amplitude;all downstream consumers,"Not structural cover; local composition must support transfer",SC-PLANT-001 CP-GSI02;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
phenology.structural_canopy_cover_fraction,persistent structural cover floor,canopy_structure,fraction,persistent effective canopy-cover floor,CP-GSI02 Cc=max(Cs;1-exp(-bb*Bf)),raising lifts cover only when foliar cover is lower,"finite; 0<=x<=0.999",required_input,NOT_ESTABLISHED,,,no general range authority,configured forest community,leaf-off effective overhead cover at OFE scale,winter leaf-off effective overhead cover,"at least one representative leaf-off effective-cover observation; multiple dates preferred",confounded/equifinal with bb and foliar biomass in canopy cover,canopy cover;interception;snow;erosion;routing,"Not evergreen foliage or directly a stem-area fraction",SC-PLANT-001 CP-GSI02;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
phenology.structural_biomass_kg_m2,persistent structural dry biomass,canopy_structure,kg m^-2,persistent above-ground dry biomass used for height,CP-GSI02 Bt=Bs+Bf;Hc=(1-exp(-bbb*Bt))*hmax,raising increases height operand without seasonal litter transfer,"finite; >=0",required_input,NOT_ESTABLISHED,,,no general range authority,configured forest community,horizontal hillslope area/OFE,persistent structural biomass and leaf-off height,"at least one matched structural-biomass and leaf-off-height estimate",total live-biomass observations constrain only its sum with summer foliage,canopy height;interception;snow;erosion;routing,"Not a predictive branch-turnover pool; do not infer fine-wood deposition",SC-PLANT-001 CP-GSI02;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B;CANOPY-LITTER-SOURCE-AUTHORITY-01
growth.xmxlai,full-leaf maximum LAI,canopy_structure,m2 m^-2,full-leaf maximum LAI,CP-GSI02 LAI=xmxlai*[fe+(1-fe)*GSI21],raising scales LAI at every foliar fraction,"finite; >0",required_input;source_observation,SOURCE_RANGE,3.5,8.0,CAL-03 admitted mature-LAI interval,Hubbard Brook mature deciduous canopy,leaf area per horizontal ground area/OFE,mature full-leaf LAI,"at least one representative mature full-leaf LAI observation; repeated plots/dates preferred",conditionally range constrained and not uniquely calibrated,LAI;ET;interception;downstream water balance,"Observed extrema are not physiological bounds or a general starting range",SC-PLANT-001 CP-GSI02;SC-INFILE-MANAGEMENT-YAML-001;CAL-03;CAL-04B
growth.bb,foliar biomass-to-canopy-cover coefficient,canopy_structure,m2 kg^-1,foliar biomass-to-canopy-cover coefficient,CP-GSI02 Cc=max(Cs;1-exp(-bb*Bf)),raising approaches foliar cover closure with less foliar biomass,"finite; >0",required_input,NOT_ESTABLISHED,,,no general range authority,configured forest community,paired dry foliar mass and effective cover at OFE scale,paired foliar dry mass and effective canopy cover,"paired mass and cover at >=2 distinct foliar states",equifinal with foliar biomass and structural cover floor,canopy cover;interception;snow;erosion;routing,"Schema examples and synthetic values are EXAMPLE_ONLY",SC-PLANT-001 CP-GSI02;SC-INFILE-MANAGEMENT-YAML-001;CAL-04B
growth.bbb,total-biomass-to-height coefficient,canopy_structure,m2 kg^-1,total canopy biomass-to-height coefficient,CP-GSI02 Hc=(1-exp(-bbb*(Bs+Bf)))*hmax,raising approaches hmax with less total canopy biomass,"finite; >0",required_input,NOT_ESTABLISHED,,,no general range authority,configured forest community,paired total above-ground dry biomass and height at OFE scale,paired total canopy biomass and height,"paired biomass and height across >=2 distinguishable canopy states or communities",correlated with structural biomass;summer foliage;hmax,canopy height;interception;snow;erosion;routing,"Inherited WEPP community parameter; no typical forest range established",SC-PLANT-001 CP-GSI02;SC-INFILE-MANAGEMENT-YAML-001
