command: cargo clippy --workspace --all-targets --all-features -- -D warnings
start_utc: 2026-08-15T07:48:57Z
cwd: /home/workdir/openWEPP
commit_full: 87b187b19e2f13a1de9fe8406d8cf2c0a256dc44
commit_short: 87b187b19
command_index: 03
tmpdir: /tmp/ow-nextest-custody-87b
cargo_target_dir: /tmp/openwepp-custody-heavy-87b
   Compiling proc-macro2 v1.0.106
   Compiling unicode-ident v1.0.24
   Compiling quote v1.0.45
   Compiling serde_core v1.0.228
   Compiling serde v1.0.228
    Checking cfg-if v1.0.4
   Compiling version_check v0.9.5
    Checking itoa v1.0.18
    Checking typenum v1.20.0
    Checking equivalent v1.0.2
    Checking ryu v1.0.23
    Checking cpufeatures v0.2.17
    Checking hashbrown v0.17.1
   Compiling libc v0.2.186
   Compiling libm v0.2.16
    Checking memchr v2.8.0
   Compiling autocfg v1.5.1
    Checking unsafe-libyaml v0.2.11
   Compiling crc32fast v1.5.0
   Compiling zmij v1.0.21
    Checking openwepp-sim-contract v0.1.0 (/home/workdir/openWEPP/crates/openwepp-sim-contract)
    Checking adler2 v2.0.1
    Checking simd-adler32 v0.3.9
   Compiling serde_json v1.0.150
    Checking openwepp-unit-boundary v0.1.0 (/home/workdir/openWEPP/crates/openwepp-unit-boundary)
   Compiling zerocopy v0.8.48
   Compiling getrandom v0.3.4
   Compiling thiserror v2.0.20
    Checking once_cell v1.21.4
   Compiling shlex v1.3.0
   Compiling find-msvc-tools v0.1.9
   Compiling pkg-config v0.3.33
    Checking bytes v1.11.1
    Checking lexical-util v1.0.7
    Checking iana-time-zone v0.1.65
   Compiling semver v1.0.28
    Checking arrow-schema v54.3.1
    Checking hashbrown v0.15.5
    Checking alloc-no-stdlib v2.0.4
   Compiling zstd-safe v7.2.4
    Checking bitflags v1.3.2
   Compiling snap v1.1.1
    Checking toml_write v0.1.2
   Compiling paste v1.0.15
    Checking winnow v0.7.15
    Checking byteorder v1.5.0
    Checking integer-encoding v3.0.4
    Checking static_assertions v1.1.0
    Checking twox-hash v2.1.2
    Checking base64 v0.22.1
    Checking simdutf8 v0.1.5
   Compiling seq-macro v0.3.6
    Checking twox-hash v1.6.3
    Checking powerfmt v0.2.0
    Checking openwepp-legacy-bridge v0.1.0 (/home/workdir/openWEPP/crates/openwepp-legacy-bridge)
    Checking miniz_oxide v0.8.9
    Checking openwepp-comparator-metadata v0.1.0 (/home/workdir/openWEPP/crates/openwepp-comparator-metadata)
    Checking alloc-stdlib v0.2.2
    Checking openwepp-plant-phenology v0.1.0 (/home/workdir/openWEPP/crates/openwepp-plant-phenology)
    Checking num-conv v0.2.2
    Checking time-core v0.1.8
    Checking stable_deref_trait v1.2.1
    Checking smallvec v1.15.2
    Checking openwepp-meteorology v0.1.0 (/home/workdir/openWEPP/crates/openwepp-meteorology)
    Checking writeable v0.6.3
    Checking litemap v0.8.2
   Compiling generic-array v0.14.7
   Compiling ahash v0.8.12
    Checking deranged v0.5.8
    Checking utf8_iter v1.0.4
    Checking lz4_flex v0.11.6
   Compiling pulldown-cmark v0.13.4
   Compiling icu_properties_data v2.2.0
   Compiling rustc_version v0.4.1
    Checking brotli-decompressor v4.0.3
   Compiling icu_normalizer_data v2.2.0
   Compiling parking_lot_core v0.9.12
