candidate_id,row_count,terminal_stock_kg_m2,reconstruction_sse,maximum_abs_difference_kg_m2,first_divergence,state
S010-K000,7300,2.2000000000000006,1.502225356622044e-31,2.2204460492503131e-16,NONE,PASS
S010-K050,7300,0.42682796502569975,1.2402988841853799e-31,5.5511151231257827e-17,NONE,PASS
S010-K100,7300,0.22700111037662749,3.8903784876622164e-32,2.7755575615628914e-17,NONE,PASS
S010-K200,7300,0.12554806171265173,8.7485367723790189e-32,2.7755575615628914e-17,NONE,PASS
S020-K000,7300,4.2000000000000011,6.0089014264881759e-31,4.4408920985006262e-16,NONE,PASS
S020-K050,7300,0.85227119689365127,4.2524533172070168e-31,1.1102230246251565e-16,NONE,PASS
S020-K100,7300,0.45399263332366446,1.3943732797363588e-31,5.5511151231257827e-17,NONE,PASS
S020-K200,7300,0.25109612296570966,6.394087415365623e-32,5.5511151231257827e-17,NONE,PASS
S030-K000,7300,6.1999999999999975,5.17689969051289e-31,4.4408920985006262e-16,NONE,PASS
S030-K050,7300,1.2777144287616033,7.4109784260020836e-31,2.2204460492503131e-16,NONE,PASS
S030-K100,7300,0.68098415627070097,3.2355623065705562e-31,1.1102230246251565e-16,NONE,PASS
S030-K200,7300,0.37664418421876694,2.0491894608280189e-31,5.5511151231257827e-17,NONE,PASS
S040-K000,7300,8.2000000000000028,1.6301071049293564e-30,8.8817841970012523e-16,NONE,PASS
S040-K050,7300,1.703157660629556,1.8673816740778639e-30,2.2204460492503131e-16,NONE,PASS
S040-K100,7300,0.90797567921773703,5.9472716682677843e-31,1.1102230246251565e-16,NONE,PASS
S040-K200,7300,0.50219224547182462,2.9274135154685985e-31,1.1102230246251565e-16,NONE,PASS
