source_id,synthetic_annual_surface_litter_input_kg_m2_yr,rate_id,surface_rate_d-1,role
S010,0.10,K000,0.0,DIRECT_KERNEL_ZERO_RATE_ASSUMPTION
S010,0.10,K050,0.0013689253935660506,ASSUMED_FOR_EXECUTION
S010,0.10,K100,0.0027378507871321013,ASSUMED_FOR_EXECUTION
S010,0.10,K200,0.0054757015742642025,ASSUMED_FOR_EXECUTION
S020,0.20,K000,0.0,DIRECT_KERNEL_ZERO_RATE_ASSUMPTION
S020,0.20,K050,0.0013689253935660506,ASSUMED_FOR_EXECUTION
S020,0.20,K100,0.0027378507871321013,ASSUMED_FOR_EXECUTION
S020,0.20,K200,0.0054757015742642025,ASSUMED_FOR_EXECUTION
S030,0.30,K000,0.0,DIRECT_KERNEL_ZERO_RATE_ASSUMPTION
S030,0.30,K050,0.0013689253935660506,ASSUMED_FOR_EXECUTION
S030,0.30,K100,0.0027378507871321013,ASSUMED_FOR_EXECUTION
S030,0.30,K200,0.0054757015742642025,ASSUMED_FOR_EXECUTION
S040,0.40,K000,0.0,DIRECT_KERNEL_ZERO_RATE_ASSUMPTION
S040,0.40,K050,0.0013689253935660506,ASSUMED_FOR_EXECUTION
S040,0.40,K100,0.0027378507871321013,ASSUMED_FOR_EXECUTION
S040,0.40,K200,0.0054757015742642025,ASSUMED_FOR_EXECUTION
