# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 61K of event 'cycles:P'
# Event count (approx.): 4076178927368
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     2.85%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_infiltration_evap::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::compute_same_pass_wb14_infiltration_lineage                                                                    -      -
     2.83%     2.28%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::core_types::HotSymbolTables::state_grid_symbol                                                                                                                                                                                                        -      -
     2.73%     0.62%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::vec::Vec<T,A>::extend_desugared                                                                                                                                                                                                                                                   -      -
     2.54%     1.27%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert                                                                                                                                                                                                                                  -      -
     2.54%     0.27%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::require_shadow_fine_state_domains                                                                                              -      -
     2.44%     1.25%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::runtime_surface_symbol_value                                                                                                                                                                                                                                 -      -
     2.41%     1.21%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::remove                                                                                                                                                                                                                                  -      -
     2.32%     0.43%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::resolve_active_pl_slot_selection_with_context                                                                                                                                                                                                -      -
     2.26%     1.66%  openwepp-cli-hi  libc.so.6          [.] malloc_consolidate                                                                                                                                                                                                                                                                       -      -
     2.25%     0.00%  openwepp-cli-hi  libc.so.6          [.] __memcpy_sse2_unaligned_erms (inlined)                                                                                                                                                                                                                                                   -      -
     2.12%     2.12%  openwepp-cli-hi  libc.so.6          [.] __memmove_sse2_unaligned_erms                                                                                                                                                                                                                                                            -      -
     2.07%     1.26%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::core_types::HillslopeKernelRequest::dense_state_value_for_symbol                                                                                                                                                                                      -      -
     2.05%     0.03%  openwepp-cli-hi  libc.so.6          [.] _int_free_maybe_consolidate                                                                                                                                                                                                                                                              -      -
     1.95%     1.48%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert                                                                                                                                                                                                                                  -      -
     1.84%     1.67%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::day_frame::HillslopeLaneDenseState::set_state_slot                                                                                                                                                                                                      -      -
     1.67%     0.96%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::require_integral_pl_dispatch_symbol_ref_in_range                                                                                                                                                                                             -      -
