# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cycles:P'
# Event count (approx.): 2495377035070
#
# Children      Self  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
     3.97%     3.19%  openwepp-cli-hi  libc.so.6          [.] _int_malloc                                                                                                                                                                                                                                                                              -      -
     3.92%     1.87%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::remove                                                                                                                                                                                                                                  -      -
     3.90%     1.93%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert                                                                                                                                                                                                                                  -      -
     3.89%     1.96%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::runtime_surface_symbol_value                                                                                                                                                                                                                                 -      -
     3.79%     0.63%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::resolve_active_pl_slot_selection_with_context                                                                                                                                                                                                -      -
     3.61%     3.61%  openwepp-cli-hi  libc.so.6          [.] malloc                                                                                                                                                                                                                                                                                   -      -
     2.86%     0.32%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_lateral_drainage::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::run_lateral_transfer                                                                                            -      -
     2.75%     1.58%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::require_integral_pl_dispatch_symbol_ref_in_range                                                                                                                                                                                             -      -
     2.64%     0.67%  openwepp-cli-hi  openwepp-cli-hill  [.] <alloc::string::String as core::fmt::Write>::write_str                                                                                                                                                                                                                                   -      -
     2.54%     0.00%  openwepp-cli-hi  libc.so.6          [.] __memcpy_sse2_unaligned_erms (inlined)                                                                                                                                                                                                                                                   -      -
     2.50%     0.21%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost_entry::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::finalize_active_frost_coupling                                                                                           -      -
     2.47%     0.02%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::growth_phase_dispatch_for_state_indexed                                                                                                                                                                                                      -      -
     2.43%     1.19%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::hourly_symbol_for_request                                                                                                         -      -
     2.36%     2.36%  openwepp-cli-hi  libc.so.6          [.] __memmove_sse2_unaligned_erms                                                                                                                                                                                                                                                            -      -
     2.28%     0.01%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::scheduler_trace::prepare_pl_runtime_activation_for_scheduler                                                                                                                                                                                                 -      -
     2.24%     0.09%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::kernel_phases_mod::hydrology_phase_plant_percolation::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::wb18_aggregate_soil_water_after_percolation                                                                    -      -
     2.12%     0.30%  openwepp-cli-hi  openwepp-cli-hill  [.] core::fmt::num::imp::<impl core::fmt::Display for usize>::fmt                                                                                                                                                                                                                            -      -
     2.12%     2.12%  openwepp-cli-hi  libc.so.6          [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                        -      -
     1.86%     0.04%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::require_runtime_surface_scalar                                                                                                                                                                                                                               -      -
