# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 37K of event 'cycles:P'
# Event count (approx.): 2495377035070
#
# Overhead  Command          Shared Object      Symbol                                                                                                                                                                                                                                                                                       IPC   [IPC Coverage]
# ........  ...............  .................  ...........................................................................................................................................................................................................................................................................................  ....................
#
    17.10%  openwepp-cli-hi  libc.so.6          [.] __memcmp_sse2                                                                                                                                                                                                                                                                            -      -
     8.85%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::state_value_for_symbol                                                                                                            -      -
     7.72%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::ensure_no_overflow_indexed_symbols_for_decomposition                                                                                                                                                                                         -      -
     6.91%  openwepp-cli-hi  [unknown]          [k] 0xffffffff99201720                                                                                                                                                                                                                                                                       -      -
     3.93%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::core_types::HotSymbolTables::state_grid_symbol                                                                                                                                                                                                        -      -
     3.93%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert                                                                                                                                                                                                                                  -      -
     3.62%  openwepp-cli-hi  libc.so.6          [.] _int_free                                                                                                                                                                                                                                                                                -      -
     3.61%  openwepp-cli-hi  libc.so.6          [.] malloc                                                                                                                                                                                                                                                                                   -      -
     3.19%  openwepp-cli-hi  libc.so.6          [.] _int_malloc                                                                                                                                                                                                                                                                              -      -
     2.36%  openwepp-cli-hi  libc.so.6          [.] __memmove_sse2_unaligned_erms                                                                                                                                                                                                                                                            -      -
     2.12%  openwepp-cli-hi  libc.so.6          [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                        -      -
     2.08%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost_entry::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::compute_active_frost_hourly_state                                                                                        -      -
     1.96%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_runner::hillslope::runtime_surface_symbol_value                                                                                                                                                                                                                                 -      -
     1.93%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert                                                                                                                                                                                                                                  -      -
     1.87%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::remove                                                                                                                                                                                                                                  -      -
     1.73%  openwepp-cli-hi  openwepp-cli-hill  [.] core::slice::sort::stable::quicksort::quicksort                                                                                                                                                                                                                                          -      -
     1.58%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::require_integral_pl_dispatch_symbol_ref_in_range                                                                                                                                                                                             -      -
     1.19%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::state_access::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::hourly_symbol_for_request                                                                                                         -      -
     1.10%  openwepp-cli-hi  libc.so.6          [.] malloc_consolidate                                                                                                                                                                                                                                                                       -      -
     0.89%  openwepp-cli-hi  openwepp-cli-hill  [.] core::fmt::write                                                                                                                                                                                                                                                                         -      -
     0.73%  openwepp-cli-hi  openwepp-cli-hill  [.] alloc::fmt::format::format_inner                                                                                                                                                                                                                                                         -      -
     0.71%  openwepp-cli-hi  openwepp-cli-hill  [.] core::fmt::Formatter::pad_integral                                                                                                                                                                                                                                                       -      -
     0.68%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_kernel_contract::lib_mod::writeback::apply_kernel_writeback                                                                                                                                                                                                                     -      -
     0.67%  openwepp-cli-hi  openwepp-cli-hill  [.] <alloc::string::String as core::fmt::Write>::write_str                                                                                                                                                                                                                                   -      -
     0.63%  openwepp-cli-hi  libc.so.6          [.] unlink_chunk.isra.0                                                                                                                                                                                                                                                                      -      -
     0.63%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::resolve_active_pl_slot_selection_with_context                                                                                                                                                                                                -      -
     0.57%  openwepp-cli-hi  openwepp-cli-hill  [.] round                                                                                                                                                                                                                                                                                    -      -
     0.55%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::require_shadow_fine_state_domains                                                                                              -      -
     0.55%  openwepp-cli-hi  openwepp-cli-hill  [.] openwepp_hillslope_orchestrator::hydrology::support_helpers_mod::coupling::frost::<impl openwepp_hillslope_orchestrator::hydrology::Wb11HydrologyKernel>::derived_frost_depths_from_fine_state                                                                                           -      -
