cell_id,start_date,end_date,duration_days,buried_day_fraction,observed_depth_loss_m,modeled_depth_loss_m,observed_loss_rate_m_per_day,modeled_loss_rate_m_per_day,depth_loss_deficit_m,deficit_threshold_m,modeled_loss_to_observed_loss_ratio,observed_ablation_interval,under_ablation_interval,comparable_rate_interval
site1_sleepers_south_field_vt:1987:thaw,1987-03-18,1987-03-24,6,1.0,0.19954999999999995,0.21879335330110833,0.03325833333333333,0.03646555888351805,-0.01924335330110838,0.05986499999999998,1.0964337424260004,True,False,True
site2_sleepers_w9_hardwood_vt:1994:thaw,1994-03-03,1994-03-18,15,0.8,0.03333300000000006,0.010242273635047927,0.0022222000000000036,0.0006828182423365285,0.02309072636495213,0.05,0.30727128176425494,False,False,False
site2_sleepers_w9_hardwood_vt:1994:thaw,1994-03-18,1994-04-07,20,0.95,0.256,0.30812090279961435,0.0128,0.015406045139980718,-0.052120902799614344,0.0768,1.2035972765609935,True,False,True
site2_sleepers_w9_hardwood_vt:1996:thaw,1996-02-23,1996-02-28,5,1.0,-0.058499999999999996,-0.11917249991958129,-0.011699999999999999,-0.023834499983916256,0.06067249991958129,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:1996:thaw,1996-02-28,1996-03-12,13,0.8461538461538461,-0.040500000000000036,-0.21221191915481202,-0.003115384615384618,-0.016323993781139388,0.171711919154812,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:1996:thaw,1996-03-12,1996-03-19,7,1.0,0.10916700000000001,0.3606829545253283,0.015595285714285716,0.051526136360761185,-0.25151595452532827,0.05,3.303955907236878,True,False,True
site2_sleepers_w9_hardwood_vt:1996:thaw,1996-03-19,1996-03-26,7,1.0,0.017666000000000015,0.08065926635249604,0.002523714285714288,0.011522752336070863,-0.06299326635249602,0.05,4.565791144146721,False,False,False
site2_sleepers_w9_hardwood_vt:1996:thaw,1996-03-26,1996-04-02,7,1.0,0.13216699999999998,0.07895064728071916,0.018881,0.011278663897245593,0.053216352719280824,0.05,0.5973552193869813,True,True,False
site2_sleepers_w9_hardwood_vt:1997:thaw,1997-01-15,1997-01-30,15,0.5333333333333333,-0.15500000000000003,-0.2798798956793671,-0.010333333333333335,-0.018658659711957806,0.12487989567936708,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:1997:thaw,1997-01-30,1997-02-12,13,0.38461538461538464,-0.043332999999999955,0.03421134463343789,-0.003333307692307689,0.002631641894879838,-0.07754434463343785,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:1997:thaw,1997-02-12,1997-02-25,13,0.7692307692307693,0.12666599999999995,0.2731908478427332,0.009743538461538458,0.021014680603287168,-0.14652484784273323,0.05,2.1567812028700146,True,False,True
site2_sleepers_w9_hardwood_vt:1997:thaw,1997-02-25,1997-03-12,15,1.0,-0.28333299999999995,-0.41906274366807905,-0.018888866666666664,-0.027937516244538604,0.1357297436680791,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:1997:thaw,1997-03-12,1997-03-25,13,0.46153846153846156,0.008333000000000035,-0.14874947665011384,0.0006410000000000027,-0.011442267434624141,0.15708247665011388,0.05,-17.85065122406255,False,False,False
site2_sleepers_w9_hardwood_vt:1997:thaw,1997-03-25,1997-03-31,6,1.0,0.18999999999999995,0.6484292590876929,0.031666666666666655,0.10807154318128215,-0.45842925908769294,0.05699999999999998,3.412785574145753,True,False,True
site2_sleepers_w9_hardwood_vt:1997:thaw,1997-03-31,1997-04-09,9,0.8888888888888888,0.226667,0.27902426101586086,0.025185222222222223,0.031002695668428986,-0.052357261015860856,0.0680001,1.2309875765588323,True,False,True
site2_sleepers_w9_hardwood_vt:2004:thaw,2004-02-11,2004-03-23,41,0.5853658536585366,0.1552,0.27462121576939946,0.003785365853658537,0.006698078433399987,-0.11942121576939946,0.05,1.769466596452316,True,False,True
site2_sleepers_w9_hardwood_vt:2009:thaw,2008-12-17,2009-01-06,20,0.0,-0.15699999999999997,-0.019076923842636262,-0.00785,-0.0009538461921318131,-0.1379230761573637,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:2009:thaw,2009-01-06,2009-01-27,21,0.19047619047619047,-0.14700000000000002,-0.1932082066072951,-0.007000000000000001,-0.009200390790823576,0.04620820660729508,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:2009:thaw,2009-01-27,2009-03-05,37,0.7567567567567568,-0.18199999999999994,-0.116234668021447,-0.004918918918918917,-0.003141477514093162,-0.06576533197855294,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:2009:thaw,2009-03-05,2009-04-07,33,0.8484848484848485,0.6799999999999999,0.9869386149983341,0.020606060606060603,0.029907230757525275,-0.3069386149983342,0.204,1.4513803161740209,True,False,True
site2_sleepers_w9_hardwood_vt:2010:thaw,2010-02-02,2010-03-02,28,0.5714285714285714,-0.19599999999999995,0.15874655221009887,-0.006999999999999998,0.005669519721789245,-0.3547465522100988,0.05,,False,False,False
site2_sleepers_w9_hardwood_vt:2010:thaw,2010-03-02,2010-03-24,22,0.5909090909090909,0.486,0.4235789386256739,0.02209090909090909,0.019253588119348814,0.06242106137432607,0.14579999999999999,0.8715616021104402,True,False,True
site2_sleepers_w9_hardwood_vt:2011:thaw,2011-03-03,2011-03-23,20,0.85,0.029999999999999916,0.30274018234157496,0.0014999999999999957,0.015137009117078748,-0.27274018234157504,0.05,10.09133941138586,False,False,False
