path,sha256,bytes
artifacts/admission-table.csv,f99c5e9105ddc0f98e1e3bdc23df87546448f460f59c4d2f386ba7af3c41bc38,580104
artifacts/daily-kernel-output.csv,8185ede4852f3a04645faba143368736906e0991c2e7811394b0d68df1412172,27230662
artifacts/daily-vpd-reconstruction.csv,f99c5e9105ddc0f98e1e3bdc23df87546448f460f59c4d2f386ba7af3c41bc38,580104
artifacts/dependency-manifest.csv,422671ccca39a4c1523e954ade891d036a829e2d6e519364ff71107e13aeaede,2011
artifacts/ensemble-custody.csv,edf1880ab3ba7fc10ec2fbad0d0dc9102de45609fa41430376b5ded0c18d38a8,8446
artifacts/ensemble-daily.csv,6e166463681fea4bc0ea8a0347745cf1b59863816dd7be920937a957ca7f805b,249341
artifacts/forcing-source-summary.csv,bd4a4b44b3b2601c46009e4b9e03ea2411fb50b6229f4651e3d7182420c5fd86,220
artifacts/gate-results.csv,5b3b5d90e1b9d3c3961546a258f49414cf75b268d8a160b8f8cdcaa3169256ff,358
artifacts/hourly-vpd-reconstruction.csv,63007f18d75e25e288d794bc7ca6efd7fa09efdc72d7dd5b707197536a6339bf,3174507
artifacts/shape-scores.csv,9e093c5a5c2565567180b44a4fc9ccd85aaded2eaf50227d9d275154a58f2eaf,8056
artifacts/site-summary.csv,5e1f2ce270d80e191ef43a973997de8aba3f7cd61d5f9fd7b84303159a342158,415
artifacts/source-manifest.csv,905a6ea0261556da8855a4fbbf98df6a09509490a029832f7d43e8b36c717a6d,2133
artifacts/transition-residuals.csv,376c1b2102712e32d255a1854ef5b82327bf8366a7ca28f4eea97c408b9eec52,6377
artifacts/verdict-matrix.csv,2b152cbfa922428b2a28e111d31ca8f91206a6174b93647412ae30758b7e8094,1505
artifacts/figures/cal07c-evidence-boundaries.svg,0a4f17989387a1dd028613fdda4e326f2ba8439baeb434c3b86510183af0fc73,3414
artifacts/figures/cal07c-observed-and-modeled-seasons.svg,2c6fbf10013a90f59b95e919120eedd4d970461d07d7ffcfc04e9c38ffe54122,85771
artifacts/figures/cal07c-score-summary.svg,7afb33e50c999b0e993f65ca1e66e12c2a3446e2f0bb45659a03499007e84b99,4683
artifacts/figures/cal07c-vpd-reconstruction-audit.svg,d63e711f74529782ec42b610140728a15b29c5bd6a4d712ee8867304665a96e5,60832
artifacts/figures/cal07c-evidence-boundaries.md,692c387d75feff7289714947552e001a60be0163969fa190c5b5ba4d70a96b68,1553
artifacts/figures/cal07c-observed-and-modeled-seasons.md,1be18e8bcb527542e4f819d1cf0edae34c525603b0b1bcc9f2a23105768b6c1f,1737
artifacts/figures/cal07c-score-summary.md,599ff964c37e7e7f9289b6cbcbca4493be705c50c153b155dc4c59d10aaafc7b,1894
artifacts/figures/cal07c-vpd-reconstruction-audit.md,306e1a409ce1f6807155688f96707126409662ccecd5ada2f60ead416aff7aef,2096
