candidate_id,year,direction,observed_date_50,observed_doy_50,modeled_crossing_ordinal,residual_days,same_direction_crossing_count
GSI-2198,2024,falling,2024-05-21,142,,,0
GSI-2198,2024,rising,2024-08-24,237,,,0
GSI-2198,2025,falling,2025-05-01,121,,,0
GSI-2198,2025,rising,2025-09-05,248,,,0
GSI-2199,2024,falling,2024-05-21,142,,,0
GSI-2199,2024,rising,2024-08-24,237,,,0
GSI-2199,2025,falling,2025-05-01,121,,,0
GSI-2199,2025,rising,2025-09-05,248,,,0
GSI-2629,2024,falling,2024-05-21,142,,,0
GSI-2629,2024,rising,2024-08-24,237,,,0
GSI-2629,2025,falling,2025-05-01,121,739295.040901,-76.959099,1
GSI-2629,2025,rising,2025-09-05,248,,,0
GSI-2630,2024,falling,2024-05-21,142,,,0
GSI-2630,2024,rising,2024-08-24,237,,,0
GSI-2630,2025,falling,2025-05-01,121,,,0
GSI-2630,2025,rising,2025-09-05,248,,,0
GSI-2631,2024,falling,2024-05-21,142,,,0
GSI-2631,2024,rising,2024-08-24,237,,,0
GSI-2631,2025,falling,2025-05-01,121,,,0
GSI-2631,2025,rising,2025-09-05,248,,,0
GSI-2634,2024,falling,2024-05-21,142,,,0
GSI-2634,2024,rising,2024-08-24,237,,,0
GSI-2634,2025,falling,2025-05-01,121,,,0
GSI-2634,2025,rising,2025-09-05,248,,,0
GSI-2635,2024,falling,2024-05-21,142,,,0
GSI-2635,2024,rising,2024-08-24,237,,,0
GSI-2635,2025,falling,2025-05-01,121,,,0
GSI-2635,2025,rising,2025-09-05,248,,,0
GSI-2636,2024,falling,2024-05-21,142,,,0
GSI-2636,2024,rising,2024-08-24,237,,,0
GSI-2636,2025,falling,2025-05-01,121,,,0
GSI-2636,2025,rising,2025-09-05,248,,,0
GSI-2638,2024,falling,2024-05-21,142,,,0
GSI-2638,2024,rising,2024-08-24,237,,,0
GSI-2638,2025,falling,2025-05-01,121,,,0
GSI-2638,2025,rising,2025-09-05,248,,,0
GSI-3941,2024,falling,2024-05-21,142,,,0
GSI-3941,2024,rising,2024-08-24,237,,,0
GSI-3941,2025,falling,2025-05-01,121,,,0
GSI-3941,2025,rising,2025-09-05,248,,,0
GSI-3942,2024,falling,2024-05-21,142,,,0
GSI-3942,2024,rising,2024-08-24,237,,,0
GSI-3942,2025,falling,2025-05-01,121,,,0
GSI-3942,2025,rising,2025-09-05,248,,,0
GSI-3962,2024,falling,2024-05-21,142,,,0
GSI-3962,2024,rising,2024-08-24,237,,,0
GSI-3962,2025,falling,2025-05-01,121,,,0
GSI-3962,2025,rising,2025-09-05,248,,,0
GSI-3963,2024,falling,2024-05-21,142,,,0
GSI-3963,2024,rising,2024-08-24,237,,,0
GSI-3963,2025,falling,2025-05-01,121,,,0
GSI-3963,2025,rising,2025-09-05,248,,,0
GSI-4372,2024,falling,2024-05-21,142,,,0
GSI-4372,2024,rising,2024-08-24,237,,,0
GSI-4372,2025,falling,2025-05-01,121,,,0
GSI-4372,2025,rising,2025-09-05,248,,,0
GSI-4377,2024,falling,2024-05-21,142,,,0
GSI-4377,2024,rising,2024-08-24,237,,,0
GSI-4377,2025,falling,2025-05-01,121,,,0
GSI-4377,2025,rising,2025-09-05,248,,,0
GSI-4393,2024,falling,2024-05-21,142,,,0
GSI-4393,2024,rising,2024-08-24,237,,,0
GSI-4393,2025,falling,2025-05-01,121,739295.114983,-76.885017,1
GSI-4393,2025,rising,2025-09-05,248,,,0
GSI-4394,2024,falling,2024-05-21,142,,,0
