model,metric,operator,day_index,hardwood_minus_open
B,swe_m,minimum,831,-0.22869312473996417
B,swe_m,maximum,9552,0.039814541524366975
B,depth_m,minimum,830,-0.5325315129725672
B,depth_m,maximum,2209,0.26800535556748406
B,density_kg_m3,minimum,17,-522.0
B,density_kg_m3,maximum,336,522.0
L,swe_m,minimum,831,-0.22869312473996417
L,swe_m,maximum,9552,0.039814541524366975
L,depth_m,minimum,830,-0.5325315129725672
L,depth_m,maximum,2209,0.26800535556748406
L,density_kg_m3,minimum,17,-522.0
L,density_kg_m3,maximum,336,522.0
S,swe_m,minimum,66,-0.00780564370743296
S,swe_m,maximum,69,0.00047361649057863983
S,depth_m,minimum,65,-0.01938973685317226
S,depth_m,maximum,69,0.059391504435641285
S,density_kg_m3,minimum,17,-522.0
S,density_kg_m3,maximum,14,5.5706550483591855e-12
LS,swe_m,minimum,0,0.0
LS,swe_m,maximum,13,0.0011375362706801898
LS,depth_m,minimum,0,0.0
LS,depth_m,maximum,28,0.00726165544351951
LS,density_kg_m3,minimum,21,-0.7316018739045802
LS,density_kg_m3,maximum,14,7.73070496506989e-12
