stratum,date,profile_depth_m,density_kg_m3,source_record_id
open,2009-02-16,0.070000,306.0,HF237-02:shaler.07:2009-02-16
open,2009-02-16,0.140000,383.0,HF237-02:shaler.14:2009-02-16
open,2009-02-16,0.210000,356.0,HF237-02:shaler.21:2009-02-16
hardwood,2009-02-16,0.070000,261.0,HF237-02:lph.07:2009-02-16
hardwood,2009-02-16,0.140000,256.0,HF237-02:lph.14:2009-02-16
hardwood,2009-02-16,0.210000,500.0,HF237-02:lph.21:2009-02-16
hardwood,2009-02-16,0.280000,444.0,HF237-02:lph.28:2009-02-16
open,2009-02-28,0.070000,344.0,HF237-02:shaler.07:2009-02-28
open,2009-02-28,0.140000,439.0,HF237-02:shaler.14:2009-02-28
open,2009-02-28,0.210000,572.0,HF237-02:shaler.21:2009-02-28
hardwood,2009-02-28,0.070000,389.0,HF237-02:lph.07:2009-02-28
hardwood,2009-02-28,0.140000,494.0,HF237-02:lph.14:2009-02-28
hardwood,2009-02-28,0.210000,456.0,HF237-02:lph.21:2009-02-28
hardwood,2009-02-28,0.280000,361.0,HF237-02:lph.28:2009-02-28
hardwood,2009-02-28,0.350000,361.0,HF237-02:lph.35:2009-02-28
open,2009-03-14,0.070000,483.0,HF237-02:shaler.07:2009-03-14
hardwood,2009-03-14,0.070000,389.0,HF237-02:lph.07:2009-03-14
hardwood,2009-03-14,0.140000,511.0,HF237-02:lph.14:2009-03-14
hardwood,2009-03-14,0.210000,428.0,HF237-02:lph.21:2009-03-14
open,2009-12-11,0.070000,361.0,HF237-02:shaler.07:2009-12-11
open,2009-12-11,0.140000,222.0,HF237-02:shaler.14:2009-12-11
open,2009-12-11,0.210000,250.0,HF237-02:shaler.21:2009-12-11
hardwood,2009-12-11,0.070000,361.0,HF237-02:lph.07:2009-12-11
hardwood,2009-12-11,0.140000,200.0,HF237-02:lph.14:2009-12-11
hardwood,2009-12-11,0.210000,250.0,HF237-02:lph.21:2009-12-11
open,2009-12-15,0.070000,278.0,HF237-02:shaler.07:2009-12-15
open,2009-12-15,0.140000,278.0,HF237-02:shaler.14:2009-12-15
hardwood,2009-12-15,0.070000,389.0,HF237-02:lph.07:2009-12-15
hardwood,2009-12-15,0.140000,278.0,HF237-02:lph.14:2009-12-15
open,2010-01-03,0.070000,83.0,HF237-02:shaler.07:2010-01-03
open,2010-01-03,0.140000,139.0,HF237-02:shaler.14:2010-01-03
open,2010-01-03,0.210000,194.0,HF237-02:shaler.21:2010-01-03
open,2010-01-03,0.280000,417.0,HF237-02:shaler.28:2010-01-03
hardwood,2010-01-03,0.070000,83.0,HF237-02:lph.07:2010-01-03
hardwood,2010-01-03,0.140000,139.0,HF237-02:lph.14:2010-01-03
hardwood,2010-01-03,0.210000,278.0,HF237-02:lph.21:2010-01-03
hardwood,2010-01-03,0.280000,361.0,HF237-02:lph.28:2010-01-03
open,2010-01-25,0.070000,361.0,HF237-02:shaler.07:2010-01-25
open,2010-01-25,0.140000,333.0,HF237-02:shaler.14:2010-01-25
open,2010-01-25,0.210000,417.0,HF237-02:shaler.21:2010-01-25
hardwood,2010-01-25,0.070000,389.0,HF237-02:lph.07:2010-01-25
hardwood,2010-01-25,0.140000,417.0,HF237-02:lph.14:2010-01-25
hardwood,2010-01-25,0.210000,361.0,HF237-02:lph.21:2010-01-25
hardwood,2010-01-25,0.280000,444.0,HF237-02:lph.28:2010-01-25
open,2010-02-03,0.070000,222.0,HF237-02:shaler.07:2010-02-03
open,2010-02-03,0.140000,417.0,HF237-02:shaler.14:2010-02-03
open,2010-02-03,0.210000,444.0,HF237-02:shaler.21:2010-02-03
hardwood,2010-02-03,0.070000,250.0,HF237-02:lph.07:2010-02-03
hardwood,2010-02-03,0.140000,306.0,HF237-02:lph.14:2010-02-03
hardwood,2010-02-03,0.210000,306.0,HF237-02:lph.21:2010-02-03
hardwood,2010-02-03,0.280000,444.0,HF237-02:lph.28:2010-02-03
open,2010-02-15,0.070000,250.0,HF237-02:shaler.07:2010-02-15
open,2010-02-15,0.140000,361.0,HF237-02:shaler.14:2010-02-15
open,2010-02-15,0.210000,0.0,HF237-02:shaler.21:2010-02-15
hardwood,2010-02-15,0.070000,278.0,HF237-02:lph.07:2010-02-15
hardwood,2010-02-15,0.140000,278.0,HF237-02:lph.14:2010-02-15
hardwood,2010-02-15,0.210000,333.0,HF237-02:lph.21:2010-02-15
hardwood,2010-02-15,0.280000,389.0,HF237-02:lph.28:2010-02-15
open,2010-03-02,0.070000,472.0,HF237-02:shaler.07:2010-03-02
open,2010-03-02,0.140000,472.0,HF237-02:shaler.14:2010-03-02
open,2010-03-02,0.210000,528.0,HF237-02:shaler.21:2010-03-02
hardwood,2010-03-02,0.070000,333.0,HF237-02:lph.07:2010-03-02
hardwood,2010-03-02,0.140000,417.0,HF237-02:lph.14:2010-03-02
hardwood,2010-03-02,0.210000,417.0,HF237-02:lph.21:2010-03-02
hardwood,2010-03-02,0.280000,361.0,HF237-02:lph.28:2010-03-02
hardwood,2010-03-02,0.350000,361.0,HF237-02:lph.35:2010-03-02
open,2011-01-12,0.070000,83.0,HF237-02:shaler.07:2011-01-12
open,2011-01-12,0.140000,167.0,HF237-02:shaler.14:2011-01-12
open,2011-01-12,0.210000,194.0,HF237-02:shaler.21:2011-01-12
open,2011-01-12,0.280000,222.0,HF237-02:shaler.28:2011-01-12
open,2011-01-12,0.350000,306.0,HF237-02:shaler.35:2011-01-12
hardwood,2011-01-12,0.070000,83.0,HF237-02:lph.07:2011-01-12
hardwood,2011-01-12,0.140000,139.0,HF237-02:lph.14:2011-01-12
hardwood,2011-01-12,0.210000,167.0,HF237-02:lph.21:2011-01-12
hardwood,2011-01-12,0.280000,194.0,HF237-02:lph.28:2011-01-12
hardwood,2011-01-12,0.350000,250.0,HF237-02:lph.35:2011-01-12
open,2011-01-20,0.070000,306.0,HF237-02:shaler.07:2011-01-20
open,2011-01-20,0.140000,278.0,HF237-02:shaler.14:2011-01-20
open,2011-01-20,0.210000,278.0,HF237-02:shaler.21:2011-01-20
open,2011-01-20,0.280000,306.0,HF237-02:shaler.28:2011-01-20
open,2011-01-20,0.350000,306.0,HF237-02:shaler.35:2011-01-20
hardwood,2011-01-20,0.070000,278.0,HF237-02:lph.07:2011-01-20
hardwood,2011-01-20,0.140000,222.0,HF237-02:lph.14:2011-01-20
hardwood,2011-01-20,0.210000,222.0,HF237-02:lph.21:2011-01-20
hardwood,2011-01-20,0.280000,278.0,HF237-02:lph.28:2011-01-20
hardwood,2011-01-20,0.350000,250.0,HF237-02:lph.35:2011-01-20
open,2011-01-28,0.070000,139.0,HF237-02:shaler.07:2011-01-28
open,2011-01-28,0.140000,139.0,HF237-02:shaler.14:2011-01-28
open,2011-01-28,0.210000,222.0,HF237-02:shaler.21:2011-01-28
open,2011-01-28,0.280000,278.0,HF237-02:shaler.28:2011-01-28
open,2011-01-28,0.350000,333.0,HF237-02:shaler.35:2011-01-28
open,2011-01-28,0.420000,333.0,HF237-02:shaler.42:2011-01-28
open,2011-01-28,0.490000,333.0,HF237-02:shaler.49:2011-01-28
hardwood,2011-01-28,0.070000,139.0,HF237-02:lph.07:2011-01-28
hardwood,2011-01-28,0.140000,167.0,HF237-02:lph.14:2011-01-28
hardwood,2011-01-28,0.210000,194.0,HF237-02:lph.21:2011-01-28
hardwood,2011-01-28,0.280000,361.0,HF237-02:lph.28:2011-01-28
hardwood,2011-01-28,0.350000,333.0,HF237-02:lph.35:2011-01-28
hardwood,2011-01-28,0.420000,306.0,HF237-02:lph.42:2011-01-28
hardwood,2011-01-28,0.490000,306.0,HF237-02:lph.49:2011-01-28
open,2011-02-04,0.070000,306.0,HF237-02:shaler.07:2011-02-04
open,2011-02-04,0.140000,167.0,HF237-02:shaler.14:2011-02-04
open,2011-02-04,0.210000,167.0,HF237-02:shaler.21:2011-02-04
open,2011-02-04,0.280000,222.0,HF237-02:shaler.28:2011-02-04
open,2011-02-04,0.350000,278.0,HF237-02:shaler.35:2011-02-04
open,2011-02-04,0.420000,306.0,HF237-02:shaler.42:2011-02-04
open,2011-02-04,0.490000,333.0,HF237-02:shaler.49:2011-02-04
open,2011-02-04,0.560000,333.0,HF237-02:shaler.56:2011-02-04
open,2011-02-04,0.630000,361.0,HF237-02:shaler.63:2011-02-04
hardwood,2011-02-04,0.070000,306.0,HF237-02:lph.07:2011-02-04
hardwood,2011-02-04,0.140000,167.0,HF237-02:lph.14:2011-02-04
hardwood,2011-02-04,0.210000,167.0,HF237-02:lph.21:2011-02-04
hardwood,2011-02-04,0.280000,222.0,HF237-02:lph.28:2011-02-04
hardwood,2011-02-04,0.350000,250.0,HF237-02:lph.35:2011-02-04
hardwood,2011-02-04,0.420000,333.0,HF237-02:lph.42:2011-02-04
hardwood,2011-02-04,0.490000,306.0,HF237-02:lph.49:2011-02-04
hardwood,2011-02-04,0.560000,306.0,HF237-02:lph.56:2011-02-04
hardwood,2011-02-04,0.630000,278.0,HF237-02:lph.63:2011-02-04
open,2011-02-18,0.070000,472.0,HF237-02:shaler.07:2011-02-18
open,2011-02-18,0.140000,278.0,HF237-02:shaler.14:2011-02-18
open,2011-02-18,0.210000,361.0,HF237-02:shaler.21:2011-02-18
open,2011-02-18,0.280000,417.0,HF237-02:shaler.28:2011-02-18
open,2011-02-18,0.350000,417.0,HF237-02:shaler.35:2011-02-18
open,2011-02-18,0.420000,417.0,HF237-02:shaler.42:2011-02-18
hardwood,2011-02-18,0.070000,500.0,HF237-02:lph.07:2011-02-18
hardwood,2011-02-18,0.140000,333.0,HF237-02:lph.14:2011-02-18
hardwood,2011-02-18,0.210000,389.0,HF237-02:lph.21:2011-02-18
hardwood,2011-02-18,0.280000,417.0,HF237-02:lph.28:2011-02-18
hardwood,2011-02-18,0.350000,389.0,HF237-02:lph.35:2011-02-18
hardwood,2011-02-18,0.420000,417.0,HF237-02:lph.42:2011-02-18
open,2011-03-01,0.070000,333.0,HF237-02:shaler.07:2011-03-01
open,2011-03-01,0.140000,333.0,HF237-02:shaler.14:2011-03-01
open,2011-03-01,0.210000,361.0,HF237-02:shaler.21:2011-03-01
open,2011-03-01,0.280000,389.0,HF237-02:shaler.28:2011-03-01
open,2011-03-01,0.350000,389.0,HF237-02:shaler.35:2011-03-01
open,2011-03-01,0.420000,389.0,HF237-02:shaler.42:2011-03-01
open,2011-03-01,0.490000,444.0,HF237-02:shaler.49:2011-03-01
open,2011-03-01,0.560000,444.0,HF237-02:shaler.56:2011-03-01
hardwood,2011-03-01,0.070000,278.0,HF237-02:lph.07:2011-03-01
hardwood,2011-03-01,0.140000,361.0,HF237-02:lph.14:2011-03-01
hardwood,2011-03-01,0.210000,361.0,HF237-02:lph.21:2011-03-01
hardwood,2011-03-01,0.280000,444.0,HF237-02:lph.28:2011-03-01
hardwood,2011-03-01,0.350000,472.0,HF237-02:lph.35:2011-03-01
hardwood,2011-03-01,0.420000,389.0,HF237-02:lph.42:2011-03-01
hardwood,2011-03-01,0.490000,444.0,HF237-02:lph.49:2011-03-01
hardwood,2011-03-01,0.560000,528.0,HF237-02:lph.56:2011-03-01
open,2011-03-11,0.070000,556.0,HF237-02:shaler.07:2011-03-11
open,2011-03-11,0.140000,611.0,HF237-02:shaler.14:2011-03-11
hardwood,2011-03-11,0.070000,528.0,HF237-02:lph.07:2011-03-11
hardwood,2011-03-11,0.140000,500.0,HF237-02:lph.14:2011-03-11
hardwood,2011-03-11,0.210000,417.0,HF237-02:lph.21:2011-03-11
hardwood,2011-03-11,0.280000,472.0,HF237-02:lph.28:2011-03-11
hardwood,2011-04-02,0.070000,278.0,HF237-02:lph.07:2011-04-02
hardwood,2011-04-02,0.140000,528.0,HF237-02:lph.14:2011-04-02
open,2013-02-18,0.070000,333.0,HF237-02:shaler.07:2013-02-18
open,2013-02-18,0.140000,278.0,HF237-02:shaler.14:2013-02-18
open,2013-02-18,0.210000,361.0,HF237-02:shaler.21:2013-02-18
hardwood,2013-02-18,0.070000,333.0,HF237-02:lph.07:2013-02-18
hardwood,2013-02-18,0.140000,333.0,HF237-02:lph.14:2013-02-18
hardwood,2013-02-18,0.210000,389.0,HF237-02:lph.21:2013-02-18
open,2013-03-01,0.070000,333.0,HF237-02:shaler.07:2013-03-01
open,2013-03-01,0.140000,333.0,HF237-02:shaler.14:2013-03-01
open,2013-03-01,0.210000,333.0,HF237-02:shaler.21:2013-03-01
hardwood,2013-03-01,0.070000,417.0,HF237-02:lph.07:2013-03-01
hardwood,2013-03-01,0.140000,389.0,HF237-02:lph.14:2013-03-01
hardwood,2013-03-01,0.210000,472.0,HF237-02:lph.21:2013-03-01
open,2013-03-11,0.070000,278.0,HF237-02:shaler.07:2013-03-11
open,2013-03-11,0.140000,444.0,HF237-02:shaler.14:2013-03-11
open,2013-03-11,0.210000,417.0,HF237-02:shaler.21:2013-03-11
hardwood,2013-03-11,0.070000,222.0,HF237-02:lph.07:2013-03-11
hardwood,2013-03-11,0.140000,389.0,HF237-02:lph.14:2013-03-11
hardwood,2013-03-11,0.210000,361.0,HF237-02:lph.21:2013-03-11
hardwood,2013-03-11,0.280000,444.0,HF237-02:lph.28:2013-03-11
open,2013-03-22,0.070000,333.0,HF237-02:shaler.07:2013-03-22
open,2013-03-22,0.140000,278.0,HF237-02:shaler.14:2013-03-22
open,2013-03-22,0.210000,500.0,HF237-02:shaler.21:2013-03-22
hardwood,2013-03-22,0.070000,278.0,HF237-02:lph.07:2013-03-22
hardwood,2013-03-22,0.140000,278.0,HF237-02:lph.14:2013-03-22
hardwood,2013-03-22,0.210000,500.0,HF237-02:lph.21:2013-03-22
hardwood,2013-03-22,0.280000,444.0,HF237-02:lph.28:2013-03-22
hardwood,2013-03-22,0.350000,389.0,HF237-02:lph.35:2013-03-22
open,2013-12-14,0.070000,167.0,HF237-02:shaler.07:2013-12-14
hardwood,2013-12-14,0.070000,194.0,HF237-02:lph.07:2013-12-14
open,2013-12-18,0.070000,111.0,HF237-02:shaler.07:2013-12-18
open,2013-12-18,0.140000,167.0,HF237-02:shaler.14:2013-12-18
open,2013-12-18,0.210000,222.0,HF237-02:shaler.21:2013-12-18
open,2013-12-18,0.280000,333.0,HF237-02:shaler.28:2013-12-18
open,2013-12-18,0.350000,278.0,HF237-02:shaler.35:2013-12-18
hardwood,2013-12-18,0.070000,111.0,HF237-02:lph.07:2013-12-18
hardwood,2013-12-18,0.140000,167.0,HF237-02:lph.14:2013-12-18
hardwood,2013-12-18,0.210000,222.0,HF237-02:lph.21:2013-12-18
hardwood,2013-12-18,0.280000,333.0,HF237-02:lph.28:2013-12-18
hardwood,2013-12-18,0.350000,306.0,HF237-02:lph.35:2013-12-18
open,2014-01-05,0.070000,167.0,HF237-02:shaler.07:2014-01-05
open,2014-01-05,0.140000,167.0,HF237-02:shaler.14:2014-01-05
hardwood,2014-01-05,0.070000,222.0,HF237-02:lph.07:2014-01-05
hardwood,2014-01-05,0.140000,278.0,HF237-02:lph.14:2014-01-05
open,2014-02-07,0.070000,222.0,HF237-02:shaler.07:2014-02-07
open,2014-02-07,0.140000,194.0,HF237-02:shaler.14:2014-02-07
open,2014-02-07,0.210000,194.0,HF237-02:shaler.21:2014-02-07
open,2014-02-07,0.280000,194.0,HF237-02:shaler.28:2014-02-07
open,2014-02-07,0.350000,306.0,HF237-02:shaler.35:2014-02-07
hardwood,2014-02-07,0.070000,194.0,HF237-02:lph.07:2014-02-07
hardwood,2014-02-07,0.140000,194.0,HF237-02:lph.14:2014-02-07
hardwood,2014-02-07,0.210000,222.0,HF237-02:lph.21:2014-02-07
hardwood,2014-02-07,0.280000,278.0,HF237-02:lph.28:2014-02-07
open,2014-02-19,0.070000,83.0,HF237-02:shaler.07:2014-02-19
open,2014-02-19,0.140000,83.0,HF237-02:shaler.14:2014-02-19
open,2014-02-19,0.210000,139.0,HF237-02:shaler.21:2014-02-19
open,2014-02-19,0.280000,417.0,HF237-02:shaler.28:2014-02-19
open,2014-02-19,0.350000,222.0,HF237-02:shaler.35:2014-02-19
open,2014-02-19,0.420000,306.0,HF237-02:shaler.42:2014-02-19
open,2014-02-19,0.490000,333.0,HF237-02:shaler.49:2014-02-19
open,2014-02-19,0.560000,333.0,HF237-02:shaler.56:2014-02-19
hardwood,2014-02-19,0.070000,139.0,HF237-02:lph.07:2014-02-19
hardwood,2014-02-19,0.140000,167.0,HF237-02:lph.14:2014-02-19
hardwood,2014-02-19,0.210000,194.0,HF237-02:lph.21:2014-02-19
hardwood,2014-02-19,0.280000,333.0,HF237-02:lph.28:2014-02-19
hardwood,2014-02-19,0.350000,306.0,HF237-02:lph.35:2014-02-19
hardwood,2014-02-19,0.420000,361.0,HF237-02:lph.42:2014-02-19
hardwood,2014-02-19,0.490000,333.0,HF237-02:lph.49:2014-02-19
open,2014-03-11,0.070000,611.0,HF237-02:shaler.07:2014-03-11
open,2014-03-11,0.140000,500.0,HF237-02:shaler.14:2014-03-11
open,2014-03-11,0.210000,389.0,HF237-02:shaler.21:2014-03-11
open,2014-03-11,0.280000,444.0,HF237-02:shaler.28:2014-03-11
hardwood,2014-03-11,0.070000,389.0,HF237-02:lph.07:2014-03-11
hardwood,2014-03-11,0.140000,444.0,HF237-02:lph.14:2014-03-11
hardwood,2014-03-11,0.210000,444.0,HF237-02:lph.21:2014-03-11
hardwood,2014-03-11,0.280000,278.0,HF237-02:lph.28:2014-03-11
hardwood,2014-03-11,0.350000,333.0,HF237-02:lph.35:2014-03-11
