lane,model,date,water_year,observed_depth_m,modeled_depth_m,observed_density_kg_m3,modeled_density_kg_m3,profile_mean_density_kg_m3,profile_layer_count
harvard_open,B,2008-12-07,2009,0.01,0.07637194265009481,194.0,444.0340861141855,194.0,1
harvard_open,B,2008-12-08,2009,0.02,0.07532827904386147,214.0,449.50117000831136,,0
harvard_open,B,2008-12-09,2009,0.09,0.08114915934602604,233.0,432.6599288026594,,0
harvard_open,B,2008-12-10,2009,0.0,0.03776447014919932,253.0,522.0,,0
harvard_open,B,2008-12-11,2009,0.0,0.14123661869939141,272.0,447.1238607325178,,0
harvard_open,B,2008-12-12,2009,0.0,0.17979552866042153,292.0,387.0851509174334,,0
harvard_open,B,2008-12-13,2009,0.0,0.17976391354191135,311.0,387.1532276669804,,0
harvard_open,B,2008-12-14,2009,0.0,0.17972520200597697,331.0,387.2366177309095,,0
harvard_open,B,2008-12-15,2009,0.0,0.1162149896420116,350.0,522.0,,0
harvard_open,B,2008-12-16,2009,0.0,0.11995370121063717,369.0,518.4320545634602,,0
harvard_open,B,2008-12-17,2009,0.12,0.1645650339683174,389.0,419.1323067782133,,0
harvard_open,B,2008-12-18,2009,0.11,0.16225047467034615,380.0,424.4983079396651,389.0,1
harvard_open,B,2008-12-19,2009,0.11,0.31783372476624816,372.0,272.68151925216006,,0
harvard_open,B,2008-12-20,2009,0.28,0.36832340801282193,363.0,248.33442824665173,,0
harvard_open,B,2008-12-21,2009,0.3,0.48916452038785974,354.0,213.56287830487992,,0
harvard_open,B,2008-12-22,2009,0.32,0.47774578430776726,346.0,218.66730460013605,,0
harvard_open,B,2008-12-23,2009,0.32,0.4807342885959045,337.0,220.0121469337549,,0
harvard_open,B,2008-12-24,2009,0.3,0.3749724941312885,328.0,306.20371982378873,,0
harvard_open,B,2008-12-25,2009,0.19,0.2844274802995853,320.0,391.32103236333006,,0
harvard_open,B,2008-12-26,2009,0.15,0.2839033093330967,311.0,391.97401754842167,,0
harvard_open,L,2008-12-07,2009,0.01,0.07637194265009481,194.0,444.0340861141855,194.0,1
harvard_open,L,2008-12-08,2009,0.02,0.07532827904386147,214.0,449.50117000831136,,0
harvard_open,L,2008-12-09,2009,0.09,0.08114915934602604,233.0,432.6599288026594,,0
harvard_open,L,2008-12-10,2009,0.0,0.03776447014919932,253.0,522.0,,0
harvard_open,L,2008-12-11,2009,0.0,0.14123661869939141,272.0,447.1238607325178,,0
harvard_open,L,2008-12-12,2009,0.0,0.17979552866042153,292.0,387.0851509174334,,0
harvard_open,L,2008-12-13,2009,0.0,0.17976391354191135,311.0,387.1532276669804,,0
harvard_open,L,2008-12-14,2009,0.0,0.17972520200597697,331.0,387.2366177309095,,0
harvard_open,L,2008-12-15,2009,0.0,0.1162149896420116,350.0,522.0,,0
harvard_open,L,2008-12-16,2009,0.0,0.11995370121063717,369.0,518.4320545634602,,0
harvard_open,L,2008-12-17,2009,0.12,0.1645650339683174,389.0,419.1323067782133,,0
harvard_open,L,2008-12-18,2009,0.11,0.16225047467034615,380.0,424.4983079396651,389.0,1
harvard_open,L,2008-12-19,2009,0.11,0.31783372476624816,372.0,272.68151925216006,,0
harvard_open,L,2008-12-20,2009,0.28,0.36832340801282193,363.0,248.33442824665173,,0
harvard_open,L,2008-12-21,2009,0.3,0.48916452038785974,354.0,213.56287830487992,,0
harvard_open,L,2008-12-22,2009,0.32,0.47774578430776726,346.0,218.66730460013605,,0
harvard_open,L,2008-12-23,2009,0.32,0.4807342885959045,337.0,220.0121469337549,,0
harvard_open,L,2008-12-24,2009,0.3,0.3749724941312885,328.0,306.20371982378873,,0
harvard_open,L,2008-12-25,2009,0.19,0.2844274802995853,320.0,391.32103236333006,,0
harvard_open,L,2008-12-26,2009,0.15,0.2839033093330967,311.0,391.97401754842167,,0
harvard_hardwood,B,2008-12-07,2009,0.01,0.08643709584378677,194.0,455.5248437939338,194.0,1
harvard_hardwood,B,2008-12-08,2009,0.02,0.0853642671917789,214.0,460.54521145146305,,0
harvard_hardwood,B,2008-12-09,2009,0.04,0.09179304015569739,233.0,442.14711316723407,,0
harvard_hardwood,B,2008-12-10,2009,0.0,0.05169814491123734,253.0,522.0,,0
harvard_hardwood,B,2008-12-11,2009,0.0,0.16823359413179634,272.0,422.55166412710656,,0
harvard_hardwood,B,2008-12-12,2009,0.0,0.2076359251526293,292.0,373.5919723542555,,0
harvard_hardwood,B,2008-12-13,2009,0.0,0.2075950775559458,311.0,373.6654824508849,,0
harvard_hardwood,B,2008-12-14,2009,0.0,0.20754406291803368,331.0,373.75732997964326,,0
harvard_hardwood,B,2008-12-15,2009,0.0,0.14898620171595484,350.0,495.15766080407985,,0
harvard_hardwood,B,2008-12-16,2009,0.0,0.14824018878940898,369.0,511.86254829701573,,0
harvard_hardwood,B,2008-12-17,2009,0.1,0.19124389286818655,389.0,431.7133717311595,,0
harvard_hardwood,B,2008-12-18,2009,0.08,0.18879722587930142,378.0,436.6761032379509,389.0,1
harvard_hardwood,B,2008-12-19,2009,0.08,0.34499966666870646,368.0,290.245039237159,,0
harvard_hardwood,B,2008-12-20,2009,0.28,0.3959509587381079,357.0,265.01878445606377,,0
harvard_hardwood,B,2008-12-21,2009,0.3,0.5179783695199015,346.0,227.6821750264055,,0
harvard_hardwood,B,2008-12-22,2009,0.35,0.5065174410040224,336.0,232.83392089155288,,0
harvard_hardwood,B,2008-12-23,2009,0.3,0.5095111391046584,325.0,234.01734061878784,,0
harvard_hardwood,B,2008-12-24,2009,0.29,0.42099669244553406,315.0,305.7269498278274,,0
harvard_hardwood,B,2008-12-25,2009,0.05,0.3472046387892779,304.0,364.1780795920304,,0
harvard_hardwood,B,2008-12-26,2009,0.05,0.3460794903719213,293.0,365.30739263426375,,0
harvard_hardwood,L,2008-12-07,2009,0.01,0.08643709584378677,194.0,455.5248437939338,194.0,1
harvard_hardwood,L,2008-12-08,2009,0.02,0.0853642671917789,214.0,460.54521145146305,,0
harvard_hardwood,L,2008-12-09,2009,0.04,0.09179304015569739,233.0,442.14711316723407,,0
harvard_hardwood,L,2008-12-10,2009,0.0,0.05169814491123734,253.0,522.0,,0
harvard_hardwood,L,2008-12-11,2009,0.0,0.16823359413179634,272.0,422.55166412710656,,0
harvard_hardwood,L,2008-12-12,2009,0.0,0.2076359251526293,292.0,373.5919723542555,,0
harvard_hardwood,L,2008-12-13,2009,0.0,0.2075950775559458,311.0,373.6654824508849,,0
harvard_hardwood,L,2008-12-14,2009,0.0,0.20754406291803368,331.0,373.75732997964326,,0
harvard_hardwood,L,2008-12-15,2009,0.0,0.14898620171595484,350.0,495.15766080407985,,0
harvard_hardwood,L,2008-12-16,2009,0.0,0.14824018878940898,369.0,511.86254829701573,,0
harvard_hardwood,L,2008-12-17,2009,0.1,0.19124389286818655,389.0,431.7133717311595,,0
harvard_hardwood,L,2008-12-18,2009,0.08,0.18879722587930142,378.0,436.6761032379509,389.0,1
harvard_hardwood,L,2008-12-19,2009,0.08,0.34499966666870646,368.0,290.245039237159,,0
harvard_hardwood,L,2008-12-20,2009,0.28,0.3959509587381079,357.0,265.01878445606377,,0
harvard_hardwood,L,2008-12-21,2009,0.3,0.5179783695199015,346.0,227.6821750264055,,0
harvard_hardwood,L,2008-12-22,2009,0.35,0.5065174410040224,336.0,232.83392089155288,,0
harvard_hardwood,L,2008-12-23,2009,0.3,0.5095111391046584,325.0,234.01734061878784,,0
harvard_hardwood,L,2008-12-24,2009,0.29,0.42099669244553406,315.0,305.7269498278274,,0
harvard_hardwood,L,2008-12-25,2009,0.05,0.3472046387892779,304.0,364.1780795920304,,0
harvard_hardwood,L,2008-12-26,2009,0.05,0.3460794903719213,293.0,365.30739263426375,,0
