hillslope_id	rc	seconds	stdout	stderr
1	0	19.214	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H1.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H1.stderr.log
2	0	18.965	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H2.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H2.stderr.log
3	0	19.017	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H3.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H3.stderr.log
4	0	19.465	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H4.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H4.stderr.log
5	0	19.078	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H5.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H5.stderr.log
6	0	18.833	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H6.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H6.stderr.log
7	0	18.959	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H7.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H7.stderr.log
8	0	18.778	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H8.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H8.stderr.log
9	0	18.669	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H9.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H9.stderr.log
10	0	18.715	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H10.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H10.stderr.log
11	0	18.715	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H11.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H11.stderr.log
12	0	18.851	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H12.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H12.stderr.log
13	0	18.870	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H13.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H13.stderr.log
14	0	18.750	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H14.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H14.stderr.log
15	0	18.888	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H15.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H15.stderr.log
16	0	19.054	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H16.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H16.stderr.log
17	0	18.972	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H17.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H17.stderr.log
18	0	19.408	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H18.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H18.stderr.log
19	0	18.655	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H19.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H19.stderr.log
20	0	18.782	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H20.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H20.stderr.log
21	0	18.950	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H21.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H21.stderr.log
22	0	18.984	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H22.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H22.stderr.log
23	0	18.872	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H23.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H23.stderr.log
24	0	19.082	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H24.stdout.log	/tmp/openwepp-hphys0277-radiation-guard/logs/hillslopes/H24.stderr.log
