path,bytes,sha256,role
crates/openwepp-hillslope-orchestrator/src/hydrology/08_snow_albedo.rs,11221,b2dca03ef747864f742b0dda512485b63a7811413421a516374ad871cfaf2c60,read_only_input
crates/openwepp-hillslope-orchestrator/src/hydrology/support_helpers_mod/runoff_reconciliation.rs,49788,286383c256026621702b71f10160727defdfe4ff6a680e49b8fd7333ffe69f23,read_only_input
crates/openwepp-hillslope-orchestrator/src/hydrology/support_helpers_mod/infiltration_reconciliation.rs,74181,23667d7cd57c278d9e4c80f333c7f4f142e5ce08670f52f4fdd7fb0249e6894a,read_only_input
crates/openwepp-meteorology/src/surface_energy.rs,43811,64144f62c092a6ee68c7b367a185666a55023067aad7cb2cb51a017cc1a5238d,read_only_input
crates/openwepp-runner/src/hillslope/direct_publication/day_input_and_helpers/00c_day_input_builder_impl.rs,88552,ef97746196abd5ea710f3d1919fdf24657567fd7503c7927f0b43e67bea1f776,read_only_input
docs/specifications/science-contracts/contracts/SC-SNOWFREEZE-001.md,472967,f7364f33ab446479b9160c5cf0bafef13826fd2637e140c823dfde2204cb1a16,read_only_input
docs/work-packages/20260628-snowdensity-10-3-20-sublimation-stage-b-unlock-001/artifacts/sublimation-stage-b-unlock.json,3425856,2d6f2881d3f581d12eb6c2217d51034cb3fea0fda8696d1f317e1f6079bd3851,read_only_input
tests/fixtures/cancov_forest/observations/manifest.json,7046,c3b07f4e134133f6235f8b98fe6bb8c095798e2af7be90c43993782cbb14643e,read_only_input
tests/fixtures/cancov_forest/observations/sites/marcell_rds_2021_0016_stratum_means.csv,180103,17838330c032755dd0d9f7036f4897ba7bf9d61bad15a41d12650af1e2a88365,read_only_input
tests/fixtures/cancov_forest/observations/sites/harvard_hf237_strata.csv,430693,63240caf3c681df2c641dffc50591e10ce3a0a7506cf40aa994dd03be1e5e1ea,read_only_input
tests/fixtures/snotel_observed/observations/manifest.json,11417,d673b2e69ed739149e50ad095a81f1aea88ae5b4dd344463790dfc1aa9a133f3,read_only_input
tests/fixtures/snotel_observed/observations/sites/snotel_mica_creek_st_joe_id.csv,2505997,7050f3ed53e70dd4c600b99f192e074948086ac2c5a7df15f802d91224c037ce,read_only_input
tests/fixtures/snotel_observed/observations/sites/snotel_paradise_wa.csv,2868928,a8505c16a121a27f6d30d034a4d828e0ba3618ac93dbe909324806f708c22795,read_only_input
tests/fixtures/snotel_observed/observations/sites/snotel_css_lab_ca.csv,2821040,c145be9ca6222b8c5ed521b5a11e837f3d213882f0969ab85a53e5d4975eb538,read_only_input
tests/fixtures/snotel_observed/observations/sites/snotel_snowbird_ut.csv,2227424,7fffbfb6e060635c0c5d46835c108022e0386baa94d96e7dabb667b932691992,read_only_input
tests/fixtures/snotel_observed/observations/sites/snotel_niwot_co.csv,2843894,3f75d2804db807c3a4b93cc94b4dfcb3e9ad44ecdc6ea328182b820b598f4d1c,read_only_input
tests/fixtures/snowfreeze_observed/observations/sites/site1_sleepers_south_field_vt.csv,80393,22e2404c8cd41d9f1af4d3db88345074afac005cafeb9966b1f12141b85f563b,read_only_input
tests/fixtures/snowfreeze_observed/observations/sites/site2_sleepers_w9_hardwood_vt.csv,42511,9b522c0bb423a21e7766fb46fb0dd8c2751cb9932c88454079d6fea3f4c9e251,read_only_input
references/copyrighted/lundquist2013.pdf,1118567,9fdd5dc3ba7db974dd0557dced52529c9b8db14254f7b8724c4fc8fdf324bd49,read_only_input
references/copyrighted/marks1999.pdf,2717243,cd9660a359a1176defada3aa6e213ed2a53d2a8cabc0689fcd33c0b4e6a4d311,read_only_input
references/copyrighted/source_pdfs/marks1998.pdf,1794603,693028bee2b6967df29eafcbc19e310e038cbecfaa7aebd0d5437e866b2c786c,read_only_input
