hybrid_implicit_stepping: plain=False hybrid=True
max_day_cascade_residual_rel: plain=2.4765580376695655e-13 hybrid=4.579976970630865e-13 diff=2.1034189329612995e-13 rel=0.84933157267762283
max_day_identity_residual_rel: plain=2.4507313136493173e-13 hybrid=4.4431015336497092e-13 diff=1.9923702200003919e-13 rel=0.8129696670148665
max_day_seam_residual_rel: plain=5.0415846159888125e-14 hybrid=4.0829218151026142e-14 diff=-9.5866280088619827e-15 rel=-0.1901510881808684
total_clamp_m3: plain=3207.0525522191069 hybrid=1655.1105346072773 diff=-1551.9420176118297 rel=-0.4839153685018257
total_end_window_storage_m3: plain=3167.32249029797 hybrid=3261.4084499265882 diff=94.085959628618184 rel=0.029705203659184994
total_routed_outlet_m3: plain=374463.08268319158 hybrid=372817.05470593827 diff=-1646.0279772533104 rel=-0.0043957016148529274
total_source_m3: plain=374423.35262127232 hybrid=374423.35262127244 diff=1.1641532182693481e-10 rel=3.1091896649055551e-16
total_tail_fold_m3: plain=36426.083755427309 hybrid=36681.650101170031 diff=255.56634574272175 rel=0.0070160258637368229
pass_sum.tdet: plain=23.0500822964053 hybrid=22.614819809849912 diff=-0.4352624865553878 rel=-0.018883337636641226
pass_sum.sedcon_1: plain=0.0032919650855414658 hybrid=0.0030788352528377241 diff=-0.00021312983270374173 rel=-0.064742434128424522
pass_sum.sedcon_2: plain=0.048113335865606038 hybrid=0.04499836138762825 diff=-0.0031149744779777888 rel=-0.064742434128425036
pass_sum.sedcon_3: plain=0.022790527515287068 hybrid=0.021315013288876548 diff=-0.0014755142264105195 rel=-0.064742434128424522
pass_sum.sedcon_4: plain=0.057185363377671793 hybrid=0.053483043756082857 diff=-0.0037023196215889356 rel=-0.064742434128424509
pass_sum.sedcon_5: plain=0.2906656139945431 hybrid=0.27184721462710326 diff=-0.018818399367439842 rel=-0.064742434128424745
