arm_id,site,day,month,year,precipitation_mm,runoff_mm,sediment_delivery_kg_m
hubbard_hardwood_092,HUBBARD_BROOK,28,6,97,68.0,0.0,0.0
hubbard_hardwood_092,HUBBARD_BROOK,27,6,98,45.8,0.5,0.1
santee_constant,SANTEE,1,1,2,74.7,4.1,0.0
santee_constant,SANTEE,13,9,3,102.8,29.6,0.0
santee_constant,SANTEE,15,8,4,106.5,30.3,0.0
santee_constant,SANTEE,1,9,6,93.2,21.9,0.0
santee_constant,SANTEE,13,9,6,182.1,99.7,0.0
santee_constant,SANTEE,31,10,7,71.3,1.8,0.0
santee_constant,SANTEE,21,9,8,98.8,24.9,0.0
santee_constant,SANTEE,17,10,8,75.5,4.0,0.0
santee_constant,SANTEE,14,8,9,115.2,37.2,0.0
santee_constant,SANTEE,30,7,10,102.0,29.9,0.0
santee_constant,SANTEE,17,5,11,79.8,0.1,0.0
santee_constant,SANTEE,4,2,12,96.9,23.6,0.0
santee_constant,SANTEE,10,9,13,68.1,0.0,0.0
santee_constant,SANTEE,13,6,14,90.4,17.3,0.0
santee_constant,SANTEE,20,6,14,66.7,0.0,0.0
santee_constant,SANTEE,28,6,14,70.4,0.2,0.0
santee_constant,SANTEE,26,9,14,71.1,0.2,0.0
santee_constant,SANTEE,30,8,16,92.9,17.9,0.0
santee_constant,SANTEE,19,8,18,81.1,7.0,0.0
santee_constant,SANTEE,20,8,18,58.1,3.4,0.0
santee_constant,SANTEE,21,9,18,78.0,3.6,0.0
santee_constant,SANTEE,12,6,19,74.2,3.5,0.0
santee_constant,SANTEE,29,7,20,71.2,0.0,0.0
santee_constant,SANTEE,4,6,22,99.1,25.6,0.0
santee_constant,SANTEE,11,9,22,100.8,18.4,0.0
santee_constant,SANTEE,23,9,23,97.3,36.5,0.0
santee_constant,SANTEE,9,3,26,70.1,0.0,0.0
santee_constant,SANTEE,1,6,26,74.4,13.4,0.0
santee_constant,SANTEE,7,8,26,149.0,75.2,0.0
santee_constant,SANTEE,16,10,26,94.4,25.5,0.0
santee_constant,SANTEE,2,7,27,74.1,0.0,0.0
santee_constant,SANTEE,27,9,27,76.5,4.6,0.0
santee_constant,SANTEE,30,9,27,114.9,39.7,0.0
santee_constant,SANTEE,2,10,27,85.1,10.2,0.0
santee_constant,SANTEE,4,10,27,73.9,1.1,0.0
santee_constant,SANTEE,10,8,29,72.7,4.0,0.0
santee_constant,SANTEE,30,8,29,76.9,1.9,0.0
santee_constant,SANTEE,31,8,29,81.8,27.9,0.0
santee_constant,SANTEE,17,9,31,80.1,8.2,0.0
santee_constant,SANTEE,13,3,34,75.9,2.3,0.0
santee_constant,SANTEE,9,6,34,71.9,0.2,0.0
santee_constant,SANTEE,10,6,34,55.1,0.8,0.0
santee_constant,SANTEE,8,7,34,138.8,66.2,0.0
santee_constant,SANTEE,6,9,34,107.2,25.8,0.0
santee_constant,SANTEE,5,10,34,76.8,3.4,0.0
santee_constant,SANTEE,17,6,37,84.4,14.1,0.0
santee_constant,SANTEE,17,8,38,61.8,0.4,0.0
santee_constant,SANTEE,15,7,39,93.8,21.8,0.0
santee_constant,SANTEE,18,9,40,85.6,13.5,0.0
santee_constant,SANTEE,20,9,40,76.3,10.5,0.0
santee_constant,SANTEE,4,6,42,75.7,3.5,0.0
santee_constant,SANTEE,6,8,44,69.3,0.2,0.0
santee_constant,SANTEE,10,8,44,93.1,21.3,0.0
santee_constant,SANTEE,25,9,45,133.0,58.1,0.0
santee_constant,SANTEE,29,9,45,108.7,30.4,0.0
santee_constant,SANTEE,21,9,47,101.0,30.1,0.0
santee_constant,SANTEE,23,10,48,87.1,13.3,0.0
santee_constant,SANTEE,8,9,49,109.4,39.6,0.0
santee_constant,SANTEE,15,10,49,72.6,3.0,0.0
santee_constant,SANTEE,4,7,50,84.6,11.9,0.0
santee_constant,SANTEE,2,9,50,154.0,84.8,0.0
santee_constant,SANTEE,15,9,50,80.0,5.3,0.0
santee_constant,SANTEE,11,7,51,72.9,3.6,0.0
santee_constant,SANTEE,21,7,52,89.3,17.6,0.0
santee_constant,SANTEE,25,9,52,166.0,97.5,0.0
santee_constant,SANTEE,1,6,54,78.0,4.0,0.0
santee_constant,SANTEE,19,10,54,88.8,18.1,0.0
santee_constant,SANTEE,18,6,56,75.1,1.6,0.0
santee_constant,SANTEE,6,8,57,78.6,10.2,0.0
santee_constant,SANTEE,29,12,57,84.9,10.0,0.0
santee_constant,SANTEE,3,3,61,84.8,3.7,0.0
santee_constant,SANTEE,2,9,61,160.1,91.0,0.0
santee_constant,SANTEE,19,10,61,116.1,41.0,0.0
santee_constant,SANTEE,9,7,62,127.3,46.6,0.0
santee_constant,SANTEE,10,7,62,116.4,59.0,0.0
santee_constant,SANTEE,6,9,62,104.6,28.7,0.0
santee_constant,SANTEE,24,9,63,170.1,95.6,0.0
santee_constant,SANTEE,24,10,63,218.1,134.2,0.0
santee_constant,SANTEE,22,5,64,84.4,7.4,0.0
santee_constant,SANTEE,20,6,65,71.3,0.0,0.0
santee_constant,SANTEE,24,10,65,164.7,91.2,0.0
santee_constant,SANTEE,20,8,67,119.1,42.4,0.0
santee_constant,SANTEE,21,8,67,52.0,0.3,0.0
santee_constant,SANTEE,28,9,67,80.4,0.5,0.0
santee_constant,SANTEE,29,9,67,72.7,19.6,0.0
santee_constant,SANTEE,7,7,68,71.9,0.1,0.0
santee_constant,SANTEE,27,7,68,92.9,23.6,0.0
santee_constant,SANTEE,11,9,68,106.5,30.6,0.0
santee_constant,SANTEE,13,10,69,68.6,0.3,0.0
santee_constant,SANTEE,27,3,71,89.0,9.0,0.0
santee_constant,SANTEE,1,6,71,89.8,14.7,0.0
santee_constant,SANTEE,16,9,72,100.8,19.9,0.0
santee_constant,SANTEE,30,9,72,69.2,0.9,0.0
santee_constant,SANTEE,11,3,74,83.0,0.8,0.0
santee_constant,SANTEE,21,6,74,97.6,14.2,0.0
santee_constant,SANTEE,13,11,77,79.3,9.8,0.0
santee_constant,SANTEE,7,10,78,76.4,6.1,0.0
santee_constant,SANTEE,4,7,79,119.7,45.2,0.0
santee_constant,SANTEE,28,1,81,138.2,65.4,0.0
santee_constant,SANTEE,5,5,81,68.7,0.3,0.0
santee_constant,SANTEE,28,9,81,74.9,2.5,0.0
santee_constant,SANTEE,30,9,81,91.4,20.3,0.0
santee_constant,SANTEE,9,9,82,101.9,31.9,0.0
santee_constant,SANTEE,26,9,82,113.1,39.9,0.0
santee_constant,SANTEE,13,12,84,107.8,36.4,0.0
