year,month,surface_residue_kg_m2,root_residue_kg_m2,source
1,1,0.5,0.5,fixture-static-no-input-no-decay
1,2,0.5,0.5,fixture-static-no-input-no-decay
1,3,0.5,0.5,fixture-static-no-input-no-decay
1,4,0.5,0.5,fixture-static-no-input-no-decay
1,5,0.5,0.5,fixture-static-no-input-no-decay
1,6,0.5,0.5,fixture-static-no-input-no-decay
1,7,0.5,0.5,fixture-static-no-input-no-decay
1,8,0.5,0.5,fixture-static-no-input-no-decay
1,9,0.5,0.5,fixture-static-no-input-no-decay
1,10,0.5,0.5,fixture-static-no-input-no-decay
1,11,0.5,0.5,fixture-static-no-input-no-decay
1,12,0.5,0.5,fixture-static-no-input-no-decay
