lane_id,cell,bias_partition,applicable_days,fresh mixing,wet compaction,destructive metamorphism,overburden compaction,structural projection,climate fallback,internal cap,runtime cap,Stage 3 adjustment
harvard_hardwood,B,density_shape_over_beta,5127,-9.87564710130961,36.43540306098779,0.21204790166239704,1.2085785150555908,-17.022027351698643,0.0,-6.9007499651400375,-4.057605059557585,0.0
harvard_hardwood,L,density_shape_over_beta,5127,-9.87564710130961,36.43540306098779,0.21204790166239704,1.2085785150555908,-17.022027351698643,0.0,-6.9007499651400375,-4.057605059557585,0.0
harvard_hardwood,S,density_shape_over_beta,4992,-11.135093420855727,39.271941859446684,0.2316011039516151,1.104536801296239,-19.122508227451483,0.0,-7.92481811047036,-3.98424943026234,1.5585894243453142
harvard_hardwood,LS,density_shape_over_beta,5039,-10.677577140814172,38.283959784039574,0.23247190145199864,1.1622097765787416,-18.2621624280496,0.0,-7.478337144810095,-4.060516058610612,0.7999513102140209
marcell_conifer,B,density_shape_over_beta,6436,-2.7681214259891225,17.982553298120365,0.3512604931425615,0.9867250566774295,-11.002309514291099,0.0,-3.866824205637147,-1.6021774248321534,0.0
marcell_conifer,L,density_shape_over_beta,6436,-2.7681214259891225,17.982553298120365,0.3512604931425615,0.9867250566774295,-11.002309514291099,0.0,-3.866824205637147,-1.6021774248321534,0.0
marcell_conifer,S,density_shape_over_beta,6314,-3.6995724493946236,19.617121500033065,0.3626287425978329,0.8099736911994709,-12.48530677299412,0.0,-4.590263941559888,-1.5047605667330108,1.5728532209880648
marcell_conifer,LS,density_shape_over_beta,6377,-3.434318904501629,18.979824046247227,0.3683448140671299,0.9155494814522643,-11.645344137820977,0.0,-4.234880212922995,-1.5932824777434436,0.7259640636388812
marcell_deciduous,B,density_shape_over_beta,6277,-2.1611523418314573,19.302561751562994,0.3612048903756082,1.010436378687654,-12.491849517797739,0.0,-4.602287223862789,-1.3357531915551653,0.0
marcell_deciduous,L,density_shape_over_beta,6277,-2.1611523418314573,19.302561751562994,0.3612048903756082,1.010436378687654,-12.491849517797739,0.0,-4.602287223862789,-1.3357531915551653,0.0
marcell_deciduous,S,density_shape_over_beta,6121,-4.6207787506452425,21.58397558898352,0.3561429147456926,0.7406747827252183,-14.20971463234109,0.0,-5.892395430479497,-1.162743740236091,3.2901194502240974
marcell_deciduous,LS,density_shape_over_beta,6214,-3.1730771112208527,20.20925254615198,0.3762582890882969,0.8903595201215833,-12.999982760695026,0.0,-5.058621764279952,-1.305051533831196,1.1448666769117284
