product,member,comparison_count,crossing_count,missing_count,complete_12,interval_hit_count,median_absolute_residual_days,rising_median_signed_residual_days,falling_median_signed_residual_days,penalized_mean_absolute_residual_days,crossing_sufficiency_pass,uncertainty_fit_pass,direction_coherence_pass
gcc_mean,GSI-2198,12,9,3,False,0,104.67766320402734,104.67766320402734,-102.2331565375207,119.73724046750188,False,False,False
gcc_mean,GSI-2199,12,9,3,False,0,104.67766320402734,104.67766320402734,-102.2331565375207,119.73724046750188,False,False,False
gcc_mean,GSI-2629,12,8,4,False,0,46.44177918648347,48.909352873510215,-46.44177918648347,92.34356345274136,False,False,False
gcc_mean,GSI-2630,12,8,4,False,0,46.44177918648347,48.909352873510215,-46.44177918648347,92.34356345274136,False,False,False
gcc_mean,GSI-2631,12,8,4,False,0,46.44177918648347,48.909352873510215,-46.44177918648347,92.34356345274136,False,False,False
gcc_mean,GSI-2634,12,8,4,False,0,55.80975092499284,64.39370533247711,-55.80975092499284,98.73192786566021,False,False,False
gcc_mean,GSI-2635,12,8,4,False,0,55.80975092499284,64.39370533247711,-55.80975092499284,98.73192786566021,False,False,False
gcc_mean,GSI-2636,12,8,4,False,0,55.80975092499284,64.39370533247711,-55.80975092499284,98.73192786566021,False,False,False
gcc_mean,GSI-2638,12,9,3,False,0,104.72093460196629,104.72093460196629,-102.22586999298073,119.74152536333229,False,False,False
gcc_mean,GSI-3941,12,8,4,False,0,100.21647296653828,93.02235700003803,-102.25705489952816,125.15364346201143,False,False,False
gcc_mean,GSI-3942,12,8,4,False,0,100.21647296653828,93.02235700003803,-102.25705489952816,125.15364346201143,False,False,False
gcc_mean,GSI-3962,12,9,3,False,0,104.67766320402734,104.67766320402734,-102.2331565375207,119.73724046750188,False,False,False
gcc_mean,GSI-3963,12,9,3,False,0,104.67766320402734,104.67766320402734,-102.2331565375207,119.73724046750188,False,False,False
gcc_mean,GSI-4372,12,8,4,False,0,47.81957701552892,49.032881673483644,-47.81957701552892,92.5253313544187,False,False,False
gcc_mean,GSI-4377,12,8,4,False,0,55.31713969045086,64.66772420250345,-55.31713969045086,98.88484748865206,False,False,False
gcc_mean,GSI-4393,12,8,4,False,0,46.4275200899574,48.61088930099504,-46.4275200899574,92.21477358899817,False,False,False
gcc_mean,GSI-4394,12,8,4,False,0,46.4275200899574,48.61088930099504,-46.4275200899574,92.21477358899817,False,False,False
gcc_mean,GSI-4395,12,8,4,False,0,46.4275200899574,48.61088930099504,-46.4275200899574,92.21477358899817,False,False,False
gcc_mean,GSI-4398,12,8,4,False,0,55.64192973799072,64.24612930498552,-55.64192973799072,98.63150693982607,False,False,False
gcc_mean,GSI-4399,12,8,4,False,0,55.64192973799072,64.24612930498552,-55.64192973799072,98.63150693982607,False,False,False
gcc_mean,GSI-4400,12,8,4,False,0,55.64192973799072,64.24612930498552,-55.64192973799072,98.63150693982607,False,False,False
gcc_mean,GSI-4402,12,9,3,False,0,104.67766320402734,104.67766320402734,-102.2331565375207,119.73724046750188,False,False,False
gcc_mean,GSI-4831,12,9,3,False,1,14.30111228604801,-1.3773346670204774,-23.40822115150513,59.12471335983719,False,False,False
gcc_mean,GSI-4832,12,8,4,False,0,40.72294441750273,24.87112079653889,-41.91811057651648,85.7172888632631,False,False,False
gcc_mean,GSI-4833,12,8,4,False,0,46.44729029148584,49.01984884997364,-46.44729029148584,92.38695329116308,False,False,False
gcc_mean,GSI-4837,12,8,4,False,0,43.239179113996215,29.85669424245134,-47.90901676850626,89.50372778266319,False,False,False
gcc_mean,GSI-4838,12,8,4,False,0,55.8133373435121,64.47478208801476,-55.8133373435121,98.7737253754943,False,False,False
gcc_mean,GSI-4842,12,9,3,False,0,104.73829318303615,104.73829318303615,-102.22305376152508,119.74326460700831,False,False,False
gcc_mean,GSI-5695,12,8,4,False,0,47.81957701552892,49.01594526448753,-47.81957701552892,92.522508619586,False,False,False
gcc_mean,GSI-5700,12,8,4,False,0,55.31713969045086,64.66772420250345,-55.31713969045086,98.88484748865206,False,False,False
gcc_mean,GSI-5716,12,8,4,False,0,46.4275200899574,48.593952891998924,-46.4275200899574,92.21195085416548,False,False,False
gcc_mean,GSI-5717,12,8,4,False,0,46.4275200899574,48.593952891998924,-46.4275200899574,92.21195085416548,False,False,False
gcc_mean,GSI-5718,12,8,4,False,0,46.4275200899574,48.593952891998924,-46.4275200899574,92.21195085416548,False,False,False
gcc_mean,GSI-5721,12,8,4,False,0,55.64192973799072,64.24612930498552,-55.64192973799072,98.63150693982607,False,False,False
gcc_mean,GSI-5722,12,8,4,False,0,55.64192973799072,64.24612930498552,-55.64192973799072,98.63150693982607,False,False,False
gcc_mean,GSI-5723,12,8,4,False,0,55.64192973799072,64.24612930498552,-55.64192973799072,98.63150693982607,False,False,False
