product,member,comparison_count,crossing_count,missing_count,complete_12,interval_hit_count,median_absolute_residual_days,rising_median_signed_residual_days,falling_median_signed_residual_days,penalized_mean_absolute_residual_days,crossing_sufficiency_pass,uncertainty_fit_pass,direction_coherence_pass
gcc_mean,GSI-5725,12,9,3,False,0,104.67766320402734,104.67766320402734,-102.2331565375207,119.73724046750188,False,False,False
gcc_90,GSI-2198,12,9,3,False,0,104.99834498600103,103.67766320402734,-110.02425224747276,126.40390713416855,False,False,False
gcc_90,GSI-2199,12,9,3,False,0,104.99834498600103,103.67766320402734,-110.02425224747276,126.40390713416855,False,False,False
gcc_90,GSI-2629,12,8,4,False,0,55.36481158848619,48.409352873510215,-55.36481158848619,99.01023011940804,False,False,False
gcc_90,GSI-2630,12,8,4,False,0,55.36481158848619,48.409352873510215,-55.36481158848619,99.01023011940804,False,False,False
gcc_90,GSI-2631,12,8,4,False,0,55.36481158848619,48.409352873510215,-55.36481158848619,99.01023011940804,False,False,False
gcc_90,GSI-2634,12,8,4,False,0,62.40491949248826,63.89370533247711,-62.40491949248826,105.39859453232687,False,False,False
gcc_90,GSI-2635,12,8,4,False,0,62.40491949248826,63.89370533247711,-62.40491949248826,105.39859453232687,False,False,False
gcc_90,GSI-2636,12,8,4,False,0,62.40491949248826,63.89370533247711,-62.40491949248826,105.39859453232687,False,False,False
gcc_90,GSI-2638,12,9,3,False,0,104.99834498600103,103.72093460196629,-110.02425224747276,126.40819202999894,False,False,False
gcc_90,GSI-3941,12,8,4,False,0,104.45061860204441,92.52235700003803,-110.06163558550179,131.8203101286781,False,False,False
gcc_90,GSI-3942,12,8,4,False,0,104.45061860204441,92.52235700003803,-110.06163558550179,131.8203101286781,False,False,False
gcc_90,GSI-3962,12,9,3,False,0,104.99834498600103,103.67766320402734,-110.02425224747276,126.40390713416855,False,False,False
gcc_90,GSI-3963,12,9,3,False,0,104.99834498600103,103.67766320402734,-110.02425224747276,126.40390713416855,False,False,False
gcc_90,GSI-4372,12,8,4,False,0,56.322386968531646,48.532881673483644,-56.322386968531646,99.19199802108535,False,False,False
gcc_90,GSI-4377,12,8,4,False,0,62.425336089974735,64.16772420250345,-62.425336089974735,105.55151415531873,False,False,False
gcc_90,GSI-4393,12,8,4,False,0,55.175663294503465,48.11088930099504,-55.175663294503465,98.88144025566483,False,False,False
gcc_90,GSI-4394,12,8,4,False,0,55.175663294503465,48.11088930099504,-55.175663294503465,98.88144025566483,False,False,False
gcc_90,GSI-4395,12,8,4,False,0,55.175663294503465,48.11088930099504,-55.175663294503465,98.88144025566483,False,False,False
gcc_90,GSI-4398,12,8,4,False,0,62.12832110148156,63.746129304985516,-62.12832110148156,105.29817360649274,False,False,False
gcc_90,GSI-4399,12,8,4,False,0,62.12832110148156,63.746129304985516,-62.12832110148156,105.29817360649274,False,False,False
gcc_90,GSI-4400,12,8,4,False,0,62.12832110148156,63.746129304985516,-62.12832110148156,105.29817360649274,False,False,False
gcc_90,GSI-4402,12,9,3,False,0,104.99834498600103,103.67766320402734,-110.02425224747276,126.40390713416855,False,False,False
gcc_90,GSI-4831,12,9,3,False,0,22.06516846595332,-2.3773346670204774,-36.09394233301282,65.87471335983719,False,False,False
gcc_90,GSI-4832,12,8,4,False,0,46.5557654305012,24.37112079653889,-50.807197343034204,92.38395552992976,False,False,False
gcc_90,GSI-4833,12,8,4,False,0,55.44068292947486,48.51984884997364,-55.44068292947486,99.05361995782975,False,False,False
gcc_90,GSI-4837,12,8,4,False,0,52.31663372850744,29.35669424245134,-56.468507529993076,96.17039444932986,False,False,False
gcc_90,GSI-4838,12,8,4,False,0,62.51189625397092,63.97478208801476,-62.51189625397092,105.44039204216097,False,False,False
gcc_90,GSI-4842,12,9,3,False,0,104.99834498600103,103.73829318303615,-110.02425224747276,126.40993127367499,False,False,False
gcc_90,GSI-5695,12,8,4,False,0,56.322386968531646,48.51594526448753,-56.322386968531646,99.18917528625268,False,False,False
gcc_90,GSI-5700,12,8,4,False,0,62.425336089974735,64.16772420250345,-62.425336089974735,105.55151415531873,False,False,False
gcc_90,GSI-5716,12,8,4,False,0,55.175663294503465,48.093952891998924,-55.175663294503465,98.87861752083215,False,False,False
gcc_90,GSI-5717,12,8,4,False,0,55.175663294503465,48.093952891998924,-55.175663294503465,98.87861752083215,False,False,False
gcc_90,GSI-5718,12,8,4,False,0,55.175663294503465,48.093952891998924,-55.175663294503465,98.87861752083215,False,False,False
gcc_90,GSI-5721,12,8,4,False,0,62.12832110148156,63.746129304985516,-62.12832110148156,105.29817360649274,False,False,False
gcc_90,GSI-5722,12,8,4,False,0,62.12832110148156,63.746129304985516,-62.12832110148156,105.29817360649274,False,False,False
gcc_90,GSI-5723,12,8,4,False,0,62.12832110148156,63.746129304985516,-62.12832110148156,105.29817360649274,False,False,False
gcc_90,GSI-5725,12,9,3,False,0,104.99834498600103,103.67766320402734,-110.02425224747276,126.40390713416855,False,False,False
