product,event_id,year,direction,source_level,observed_date,observed_ordinal,ci_start,ci_end,ci_start_ordinal,ci_end_ordinal,gcc_threshold,min_gcc,max_gcc,daily_crossing_date,daily_crossing_ordinal,daily_minus_transition_days,daily_same_direction_crossing_count
gcc_90,2024-falling,2024,falling,0.10,2024-06-29,739066.0,2024-06-27,2024-06-30,739064.0,739067.0,0.34676,0.34471,0.37137,2024-06-29,739066.0,0.0,1
gcc_90,2024-falling,2024,falling,0.25,2024-06-11,739048.0,2024-06-08,2024-06-17,739045.0,739054.0,0.35095,0.34471,0.37137,2024-06-16,739052.625,4.625,1
gcc_90,2024-falling,2024,falling,0.50,2024-05-09,739015.0,2024-05-05,2024-05-12,739011.0,739018.0,0.35805,0.34471,0.37137,2024-05-09,739015.0,0.0,2
gcc_90,2024-rising,2024,rising,0.10,2024-08-19,739117.0,2024-08-18,2024-08-20,739116.0,739118.0,0.3463,0.34454,0.36713,2024-08-19,739117.0,0.0,2
gcc_90,2024-rising,2024,rising,0.25,2024-08-21,739119.0,2024-08-20,2024-08-22,739118.0,739120.0,0.35001,0.34454,0.36713,2024-08-21,739119.0,0.0,1
gcc_90,2024-rising,2024,rising,0.50,2024-08-24,739122.0,2024-08-23,2024-08-25,739121.0,739123.0,0.3561,0.34454,0.36713,2024-08-24,739122.0,0.0,3
gcc_90,2025-falling,2025,falling,0.10,2025-07-15,739447.0,2025-07-09,2025-07-31,739441.0,739463.0,0.34836,0.34685,0.37053,2025-07-15,739447.0,0.0,1
gcc_90,2025-falling,2025,falling,0.25,2025-07-05,739437.0,2025-07-03,2025-07-06,739435.0,739438.0,0.3525,0.34685,0.37053,2025-07-05,739437.0,0.0,2
gcc_90,2025-falling,2025,falling,0.50,2025-05-22,739393.0,2025-05-19,2025-05-26,739390.0,739397.0,0.35871,0.34685,0.37053,2025-05-22,739393.0,0.0,1
gcc_90,2025-rising,2025,rising,0.10,2025-08-29,739492.0,2025-08-28,2025-09-09,739491.0,739503.0,0.34858,0.34711,0.36649,2025-08-29,739492.0,0.0,1
gcc_90,2025-rising,2025,rising,0.25,2025-08-31,739494.0,2025-08-30,2025-09-10,739493.0,739504.0,0.35096,0.34711,0.36649,2025-08-31,739494.0,0.0,1
gcc_90,2025-rising,2025,rising,0.50,2025-09-06,739500.0,2025-08-31,2025-09-10,739494.0,739504.0,0.35769,0.34711,0.36649,2025-09-06,739500.0,0.0,1
gcc_mean,2024-falling,2024,falling,0.10,2024-06-27,739064.0,2024-06-23,2024-06-29,739060.0,739066.0,0.34629,0.34439,0.36504,2024-06-27,739064.0,0.0,1
gcc_mean,2024-falling,2024,falling,0.25,2024-06-13,739050.0,2024-06-08,2024-06-18,739045.0,739055.0,0.34955,0.34439,0.36504,2024-06-13,739050.0,0.0,2
gcc_mean,2024-falling,2024,falling,0.50,2024-05-21,739027.0,2024-05-19,2024-05-27,739025.0,739033.0,0.35489,0.34439,0.36504,2024-05-21,739027.0,0.0,3
gcc_mean,2024-rising,2024,rising,0.10,2024-08-18,739116.0,2024-08-17,2024-08-20,739115.0,739118.0,0.34345,0.34229,0.36275,2024-08-18,739116.0,0.0,1
gcc_mean,2024-rising,2024,rising,0.25,2024-08-20,739118.0,2024-08-19,2024-08-21,739117.0,739119.0,0.34654,0.34229,0.36275,2024-08-20,739118.0,0.0,1
gcc_mean,2024-rising,2024,rising,0.50,2024-08-24,739122.0,2024-08-23,2024-08-25,739121.0,739123.0,0.35355,0.34229,0.36275,2024-08-24,739122.0,0.0,3
gcc_mean,2025-falling,2025,falling,0.10,2025-06-16,739418.0,2025-05-31,2025-06-19,739402.0,739421.0,0.35335,0.35179,0.36858,2025-06-16,739418.0,0.0,2
gcc_mean,2025-falling,2025,falling,0.25,2025-05-23,739394.0,2025-05-20,2025-06-11,739391.0,739413.0,0.35593,0.35179,0.36858,2025-05-23,739394.0,0.0,4
gcc_mean,2025-falling,2025,falling,0.50,2025-05-01,739372.0,2025-04-15,2025-05-03,739356.0,739374.0,0.36042,0.35179,0.36858,2025-05-01,739372.0,0.0,4
gcc_mean,2025-rising,2025,rising,0.10,2025-08-29,739492.0,2025-08-28,2025-09-10,739491.0,739504.0,0.34572,0.34462,0.36223,2025-08-29,739492.0,0.0,1
gcc_mean,2025-rising,2025,rising,0.25,2025-08-31,739494.0,2025-08-29,2025-09-10,739492.0,739504.0,0.34864,0.34462,0.36223,2025-08-31,739494.0,0.0,2
gcc_mean,2025-rising,2025,rising,0.50,2025-09-05,739499.0,2025-09-04,2025-09-11,739498.0,739505.0,0.35394,0.34462,0.36223,2025-09-05,739499.0,0.0,3
