candidate_id,minimum_temperature_inactive_c,minimum_temperature_unconstrained_c,vapor_pressure_deficit_unconstrained_pa,vapor_pressure_deficit_inactive_pa,photoperiod_inactive_hours,photoperiod_unconstrained_hours
GSI-2198,-27.520000000,12.610000000,1100.647927550,2155.325437000,12.478643418,15.287745094
GSI-2199,-27.520000000,12.610000000,1100.647927550,2155.325437000,12.478643418,15.294208010
GSI-2629,-27.520000000,19.910000000,1100.647927550,2155.325437000,10.935970516,15.020315923
GSI-2630,-27.520000000,19.910000000,1100.647927550,2155.325437000,10.935970516,15.287745094
GSI-2631,-27.520000000,19.910000000,1100.647927550,2155.325437000,10.935970516,15.294208010
GSI-2634,-27.520000000,19.910000000,1100.647927550,2155.325437000,11.239373219,15.020315923
GSI-2635,-27.520000000,19.910000000,1100.647927550,2155.325437000,11.239373219,15.287745094
GSI-2636,-27.520000000,19.910000000,1100.647927550,2155.325437000,11.239373219,15.294208010
GSI-2638,-27.520000000,19.910000000,1100.647927550,2155.325437000,12.478643418,15.020315923
GSI-3941,-14.298500000,6.700000000,655.895776750,2155.325437000,12.478643418,15.287745094
GSI-3942,-14.298500000,6.700000000,655.895776750,2155.325437000,12.478643418,15.294208010
GSI-3962,-14.298500000,6.700000000,1100.647927550,2155.325437000,12.478643418,15.287745094
GSI-3963,-14.298500000,6.700000000,1100.647927550,2155.325437000,12.478643418,15.294208010
GSI-4372,-14.298500000,12.610000000,655.895776750,2155.325437000,10.935970516,15.020315923
GSI-4377,-14.298500000,12.610000000,655.895776750,2155.325437000,11.239373219,15.020315923
GSI-4393,-14.298500000,12.610000000,1100.647927550,2155.325437000,10.935970516,15.020315923
GSI-4394,-14.298500000,12.610000000,1100.647927550,2155.325437000,10.935970516,15.287745094
GSI-4395,-14.298500000,12.610000000,1100.647927550,2155.325437000,10.935970516,15.294208010
GSI-4398,-14.298500000,12.610000000,1100.647927550,2155.325437000,11.239373219,15.020315923
GSI-4399,-14.298500000,12.610000000,1100.647927550,2155.325437000,11.239373219,15.287745094
GSI-4400,-14.298500000,12.610000000,1100.647927550,2155.325437000,11.239373219,15.294208010
GSI-4402,-14.298500000,12.610000000,1100.647927550,2155.325437000,12.478643418,15.020315923
GSI-4831,-14.298500000,19.910000000,1100.647927550,2155.325437000,10.935970516,11.239373219
GSI-4832,-14.298500000,19.910000000,1100.647927550,2155.325437000,10.935970516,12.478643418
GSI-4833,-14.298500000,19.910000000,1100.647927550,2155.325437000,10.935970516,13.947157389
GSI-4837,-14.298500000,19.910000000,1100.647927550,2155.325437000,11.239373219,12.478643418
GSI-4838,-14.298500000,19.910000000,1100.647927550,2155.325437000,11.239373219,13.947157389
GSI-4842,-14.298500000,19.910000000,1100.647927550,2155.325437000,12.478643418,13.947157389
GSI-5695,-4.670000000,6.700000000,655.895776750,2155.325437000,10.935970516,15.020315923
GSI-5700,-4.670000000,6.700000000,655.895776750,2155.325437000,11.239373219,15.020315923
GSI-5716,-4.670000000,6.700000000,1100.647927550,2155.325437000,10.935970516,15.020315923
GSI-5717,-4.670000000,6.700000000,1100.647927550,2155.325437000,10.935970516,15.287745094
GSI-5718,-4.670000000,6.700000000,1100.647927550,2155.325437000,10.935970516,15.294208010
GSI-5721,-4.670000000,6.700000000,1100.647927550,2155.325437000,11.239373219,15.020315923
GSI-5722,-4.670000000,6.700000000,1100.647927550,2155.325437000,11.239373219,15.287745094
GSI-5723,-4.670000000,6.700000000,1100.647927550,2155.325437000,11.239373219,15.294208010
GSI-5725,-4.670000000,6.700000000,1100.647927550,2155.325437000,12.478643418,15.020315923
