source_id,observation_site,observed_stratum,binding_status,model_fixture,date,water_year,observed_snow_depth_m,observed_swe_mm,observed_density_kg_m3,snowcourse_count,point_count,snowcourse_ids,source_record_id,quality_flag
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-03-03,1964,0.363000,68.000,187.328,1,10,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-03-03:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1964-03-03,1964,0.351500,68.500,194.879,2,20,S52;S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1964-03-03:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1964-03-11,1964,0.404000,,,2,10,S23;S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1964-03-11:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-03-11,1964,0.363333,,,3,15,S21;S22;S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-03-11:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1964-03-11,1964,0.368000,,,2,10,S52;S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1964-03-11:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-03-12,1964,0.356000,,,1,5,S11,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-03-12:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1964-03-16,1964,0.225000,52.000,231.111,1,10,S23,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1964-03-16:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-03-16,1964,0.216897,55.172,254.372,3,29,S11;S21;S22,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-03-16:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1964-03-17,1964,0.230000,52.000,226.087,1,10,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1964-03-17:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-03-17,1964,0.250000,70.000,280.000,1,10,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-03-17:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1964-03-17,1964,0.205000,58.000,282.927,2,20,S52;S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1964-03-17:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1964-03-25,1964,0.262000,50.000,190.840,1,5,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1964-03-25:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-03-25,1964,0.328000,82.000,250.000,1,5,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-03-25:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1964-03-26,1964,0.296000,52.000,175.676,1,5,S23,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1964-03-26:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-03-26,1964,0.232000,50.000,215.517,1,5,S21,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-03-26:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1964-04-14,1964,0.000000,0.000,,1,5,S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1964-04-14:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1964-04-16,1964,0.013000,4.000,307.692,1,10,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1964-04-16:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-04-16,1964,0.012000,4.000,333.333,1,10,S51,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-04-16:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1964-04-16,1964,0.000000,0.000,,2,20,S52;S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1964-04-16:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1964-04-17,1964,0.000000,0.000,,1,10,S23,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1964-04-17:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,deciduous,bound,marcell_deciduous_mn,1964-04-17,1964,0.000000,0.000,,3,30,S11;S21;S22,RDS-2021-0016:MEF_snowSWE_biweekly:deciduous:1964-04-17:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,open,bound,marcell_open_mn,1965-03-03,1965,0.655000,106.000,161.832,1,10,S5WS,RDS-2021-0016:MEF_snowSWE_biweekly:open:1965-03-03:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
marcell_rds_2021_0016,marcell_experimental_forest,conifer,bound,marcell_conifer_mn,1965-03-04,1965,0.586000,94.000,160.410,1,5,S54,RDS-2021-0016:MEF_snowSWE_biweekly:conifer:1965-03-04:stratum_mean,stratum_mean;density_derived_from_mean_swe_depth
