lane,year,species,observed_midpoint,observed_lower,observed_upper,modeled_p05,modeled_median,modeled_p95,record_member_count
Hubbard calibration,1989,ACSA3,138.5,135,150,137.0,139.0,141.0,296
Hubbard calibration,1989,BEAL2,138.5,135,150,137.0,139.0,141.0,296
Hubbard calibration,1989,FAGR,138.5,135,150,137.0,139.0,141.0,296
Hubbard calibration,1990,ACSA3,145.0,141,155,136.0,143.0,153.0,296
Hubbard calibration,1990,BEAL2,145.0,141,162,136.0,143.0,153.0,296
Hubbard calibration,1990,FAGR,145.0,141,155,136.0,143.0,153.0,296
Hubbard calibration,1991,ACSA3,136.5,127,148,136.0,140.0,143.0,296
Hubbard calibration,1991,BEAL2,136.5,127,148,136.0,140.0,143.0,296
Hubbard calibration,1991,FAGR,140.25,127,148,136.0,140.0,143.0,296
Hubbard calibration,1992,ACSA3,143.0,139,154,139.0,148.0,159.0,296
Hubbard calibration,1992,BEAL2,143.0,139,154,139.0,148.0,159.0,296
Hubbard calibration,1992,FAGR,143.0,139,154,139.0,148.0,159.0,296
Hubbard calibration,1993,ACSA3,133.5,123,158,136.0,140.0,141.39999999999998,333
Hubbard calibration,1993,BEAL2,140.5,123,158,136.0,140.0,141.39999999999998,333
Hubbard calibration,1993,FAGR,140.5,123,158,136.0,140.0,141.39999999999998,333
Hubbard calibration,1994,ACSA3,140.0,129,151,140.0,145.0,153.0,333
Hubbard calibration,1994,BEAL2,140.0,129,157,140.0,145.0,153.0,333
Hubbard calibration,1994,FAGR,140.0,129,151,140.0,145.0,153.0,333
Hubbard calibration,1995,ACSA3,146.0,136,156,139.0,144.0,148.0,333
Hubbard calibration,1995,BEAL2,146.0,136,156,139.0,144.0,148.0,333
Hubbard calibration,1995,FAGR,146.0,136,156,139.0,144.0,148.0,333
Hubbard calibration,1996,ACSA3,145.0,134,155,141.0,143.0,155.0,333
Hubbard calibration,1996,BEAL2,145.0,134,155,141.0,143.0,155.0,333
Hubbard calibration,1996,FAGR,145.0,134,155,141.0,143.0,155.0,333
Hubbard calibration,1997,ACSA3,156.5,140,160,141.6,147.0,153.0,333
Hubbard calibration,1997,BEAL2,156.5,147,167,141.6,147.0,153.0,333
Hubbard calibration,1997,FAGR,150.0,147,160,141.6,147.0,153.0,333
Hubbard calibration,1998,ACSA3,127.5,117,138,131.0,136.0,138.0,333
Hubbard calibration,1998,BEAL2,127.5,124,147,131.0,136.0,138.0,333
Hubbard calibration,1998,FAGR,127.5,124,138,131.0,136.0,138.0,333
Hubbard calibration,1999,ACSA3,133.5,123,145,137.0,140.0,141.0,333
Hubbard calibration,1999,BEAL2,133.5,123,145,137.0,140.0,141.0,333
Hubbard calibration,1999,FAGR,133.5,123,145,137.0,140.0,141.0,333
Hubbard calibration,2000,ACSA3,139.5,124,151,139.0,142.0,144.0,333
Hubbard calibration,2000,BEAL2,139.5,129,157,139.0,142.0,144.0,333
Hubbard calibration,2000,FAGR,139.5,129,157,139.0,142.0,144.0,333
Hubbard calibration,2001,ACSA3,137.5,128,149,139.0,142.0,143.0,222
Hubbard calibration,2001,BEAL2,131.0,128,149,139.0,142.0,143.0,296
Hubbard calibration,2001,FAGR,137.5,128,155,139.0,142.0,143.0,259
Hubbard calibration,2002,ACSA3,144.0,126,154,144.0,149.0,157.0,333
Hubbard calibration,2002,BEAL2,144.0,134,154,144.0,149.0,157.0,333
Hubbard calibration,2002,FAGR,144.0,126,154,144.0,149.0,157.0,333
Hubbard calibration,2003,ACSA3,157.0,147,167,140.0,143.0,145.0,37
Hubbard calibration,2003,BEAL2,157.0,147,167,136.0,142.0,145.0,111
Hubbard calibration,2003,FAGR,157.0,147,167,140.0,143.0,145.0,37
Hubbard calibration,2004,ACSA3,134.5,125,145,136.0,138.0,140.0,333
Hubbard calibration,2004,BEAL2,134.5,131,145,136.0,138.0,140.0,333
Hubbard calibration,2004,FAGR,134.5,131,145,136.0,138.0,140.0,333
Hubbard calibration,2005,ACSA3,147.5,129,157,142.0,146.0,151.0,333
Hubbard calibration,2005,BEAL2,154.0,144,157,142.0,146.0,151.0,333
Hubbard calibration,2005,FAGR,147.5,137,157,142.0,146.0,151.0,333
Hubbard calibration,2006,ACSA3,132.5,121,150,136.0,137.0,139.0,333
Hubbard calibration,2006,BEAL2,146.0,137,156,136.0,137.0,139.0,333
Hubbard calibration,2006,FAGR,146.0,137,150,136.0,137.0,139.0,333
Hubbard calibration,2007,ACSA3,138.0,127,149,138.0,144.0,146.0,333
Hubbard calibration,2007,BEAL2,145.5,127,149,138.0,144.0,146.0,333
Hubbard calibration,2007,FAGR,138.0,127,149,138.0,144.0,146.0,333
Hubbard calibration,2008,ACSA3,137.0,126,148,139.0,143.0,152.0,333
Hubbard calibration,2008,BEAL2,144.5,133,154,139.0,143.0,152.0,333
Hubbard calibration,2008,FAGR,137.0,126,154,139.0,143.0,152.0,333
Hubbard calibration,2009,ACSA3,134.5,124,145,130.0,135.0,141.0,333
Hubbard calibration,2009,BEAL2,141.5,131,145,130.0,135.0,141.0,333
Hubbard calibration,2009,FAGR,134.5,131,145,130.0,135.0,141.0,333
Hubbard calibration,2010,ACSA3,120.0,116,144,136.0,140.0,142.0,333
Hubbard calibration,2010,BEAL2,133.5,116,144,136.0,140.0,142.0,333
Hubbard calibration,2010,FAGR,133.5,116,144,136.0,140.0,142.0,333
Hubbard calibration,2011,ACSA3,139.5,130,151,133.0,135.0,139.0,333
Hubbard calibration,2011,BEAL2,139.5,130,151,133.0,135.0,139.0,333
Hubbard calibration,2011,FAGR,139.5,130,151,133.0,135.0,139.0,333
Hubbard calibration,2012,ACSA3,131.5,114,142,136.0,138.0,140.0,333
Hubbard calibration,2012,BEAL2,131.5,128,150,136.0,138.0,140.0,333
Hubbard calibration,2012,FAGR,138.5,128,150,136.0,138.0,140.0,333
Hubbard calibration,2013,ACSA3,129.5,119,141,137.0,139.0,141.0,333
Hubbard calibration,2013,BEAL2,137.0,126,148,137.0,139.0,141.0,333
Hubbard calibration,2013,FAGR,137.0,126,148,137.0,139.0,141.0,333
Hubbard calibration,2014,ACSA3,143.0,132,147,135.0,137.0,140.0,333
Hubbard calibration,2014,BEAL2,143.0,132,153,135.0,137.0,140.0,333
Hubbard calibration,2014,FAGR,150.0,132,153,135.0,137.0,140.0,333
Hubbard calibration,2015,ACSA3,135.5,125,146,136.0,138.0,141.0,333
Hubbard calibration,2015,BEAL2,135.5,125,146,136.0,138.0,141.0,333
Hubbard calibration,2015,FAGR,135.5,125,154,136.0,138.0,141.0,333
Hubbard calibration,2016,ACSA3,141.5,131,153,140.0,143.0,147.0,333
Hubbard calibration,2016,BEAL2,148.5,139,153,140.0,143.0,147.0,333
Hubbard calibration,2016,FAGR,148.5,139,153,140.0,143.0,147.0,333
Hubbard calibration,2017,ACSA3,139.0,128,150,135.0,143.0,146.0,333
Hubbard calibration,2017,BEAL2,139.0,136,150,135.0,143.0,146.0,333
Hubbard calibration,2017,FAGR,139.0,128,150,135.0,143.0,146.0,333
Hubbard calibration,2018,ACSA3,137.5,127,149,135.0,140.0,142.0,333
Hubbard calibration,2018,BEAL2,145.0,134,155,135.0,140.0,142.0,333
Hubbard calibration,2018,FAGR,137.5,127,149,135.0,140.0,142.0,333
Hubbard calibration,2019,ACSA3,151.0,133,154,137.0,141.0,144.0,333
Hubbard calibration,2019,BEAL2,151.0,140,161,137.0,141.0,144.0,333
Hubbard calibration,2019,FAGR,151.0,133,161,137.0,141.0,144.0,333
Hubbard calibration,2020,ACSA3,143.0,139,153,142.0,148.0,150.0,333
Hubbard calibration,2020,BEAL2,150.0,139,153,142.0,148.0,150.0,333
Hubbard calibration,2020,FAGR,150.0,139,153,142.0,148.0,150.0,333
Hubbard calibration,2021,ACSA3,140.5,130,152,136.0,140.0,142.0,333
Hubbard calibration,2021,BEAL2,148.0,130,159,136.0,140.0,142.0,333
Hubbard calibration,2021,FAGR,140.5,130,152,136.0,140.0,142.0,333
Hubbard calibration,2022,ACSA3,133.0,129,143,137.0,140.0,142.0,333
Hubbard calibration,2022,BEAL2,139.5,129,151,137.0,140.0,142.0,333
Hubbard calibration,2022,FAGR,139.5,129,151,137.0,140.0,142.0,333
Hubbard calibration,2023,ACSA3,131.5,128,143,136.6,143.0,152.0,333
Hubbard calibration,2023,BEAL2,139.5,128,157,136.6,143.0,152.0,333
Hubbard calibration,2023,FAGR,139.0,128,150,136.6,143.0,152.0,333
Hubbard calibration,2024,ACSA3,137.5,128,150,135.0,137.0,139.0,333
Hubbard calibration,2024,BEAL2,138.5,134,150,135.0,137.0,139.0,333
Hubbard calibration,2024,FAGR,138.5,134,150,135.0,137.0,139.0,333
Harvard holdout,1991,ACSA,299.0,283,302,216.0,244.0,270.5,111
Harvard holdout,1991,BEAL,279.5,270,283,216.0,244.0,270.5,111
Harvard holdout,1991,FAGR,299.0,296,302,216.0,244.0,270.5,111
Harvard holdout,1993,ACSA,296.5,280,302,228.5,242.0,269.5,111
Harvard holdout,1993,BEAL,272.5,265,291,228.5,242.0,269.5,111
Harvard holdout,1993,FAGR,302.0,291,313,227.45000000000002,242.0,269.65,148
Harvard holdout,1994,ACSA,290.5,279,294,141.0,232.0,248.0,111
Harvard holdout,1994,BEAL,283.0,258,287,141.0,232.0,248.0,111
Harvard holdout,1994,FAGR,299.0,279,311,141.0,232.0,248.3,148
Harvard holdout,1995,ACSA,294.0,279,297,220.5,237.0,265.5,111
Harvard holdout,1995,BEAL,275.5,272,285,220.5,237.0,265.5,111
Harvard holdout,1995,FAGR,295.0,285,313,218.55,237.0,265.65,148
Harvard holdout,1996,ACSA,291.5,282,303,228.5,243.0,270.5,111
Harvard holdout,1996,BEAL,285.0,282,288,228.5,243.0,270.5,111
Harvard holdout,1996,FAGR,299.0,288,310,228.05,243.0,270.65,148
Harvard holdout,1997,ACSA,297.0,281,307,225.5,245.0,270.5,111
Harvard holdout,1997,BEAL,283.5,281,286,225.5,245.0,270.5,111
Harvard holdout,1997,FAGR,293.75,281,307,224.75,245.0,270.65,148
Harvard holdout,1998,ACSA,291.0,284,294,135.0,242.0,271.0,111
Harvard holdout,1998,BEAL,279.0,274,288,135.0,242.0,271.0,111
Harvard holdout,1998,FAGR,287.75,268,316,135.0,242.0,271.3,148
Harvard holdout,1999,ACSA,295.5,288,299,221.0,242.0,272.5,111
Harvard holdout,1999,BEAL,284.0,280,292,221.0,242.0,272.5,111
Harvard holdout,1999,FAGR,291.0,273,312,218.60000000000002,242.0,272.65,148
Harvard holdout,2000,ACSA,296.5,283,300,231.5,244.0,270.0,111
Harvard holdout,2000,BEAL,279.5,276,289,231.5,244.0,270.0,111
Harvard holdout,2000,FAGR,294.75,276,307,231.35,244.0,270.3,148
Harvard holdout,2001,ACSA,299.0,289,303,223.5,245.0,270.5,111
Harvard holdout,2001,BEAL,279.5,276,283,223.5,245.0,270.5,111
Harvard holdout,2001,FAGR,303.0,276,319,222.15,245.0,270.95000000000005,148
Harvard holdout,2002,ACSA,304.5,295,308,221.0,231.0,268.5,111
Harvard holdout,2002,BEAL,285.5,283,301,221.0,231.0,268.5,111
Harvard holdout,2002,FAGR,311.0,288,329,221.0,231.0,268.65,148
Harvard holdout,2003,ACSA,294.0,283,306,229.5,244.0,270.0,111
Harvard holdout,2003,BEAL,285.0,283,291,229.5,244.0,270.0,111
Harvard holdout,2003,FAGR,305.75,267,314,228.45000000000002,244.0,270.3,148
Harvard holdout,2004,ACSA,305.5,290,309,126.0,245.0,254.0,111
Harvard holdout,2004,BEAL,283.5,274,290,126.0,245.0,254.0,111
Harvard holdout,2004,FAGR,315.0,302,321,126.0,245.0,254.0,148
Harvard holdout,2005,ACSA,305.0,295,309,139.0,242.0,252.0,111
Harvard holdout,2005,BEAL,287.5,278,295,139.0,242.0,252.0,111
Harvard holdout,2005,FAGR,312.0,309,322,139.0,242.0,252.3,148
Harvard holdout,2006,ACSA,290.0,283,299,126.0,243.0,253.0,111
Harvard holdout,2006,BEAL,277.0,268,283,126.0,243.0,253.0,111
Harvard holdout,2006,FAGR,309.0,292,324,126.0,243.0,253.3,148
Harvard holdout,2007,ACSA,301.5,295,304,227.0,242.0,268.5,111
Harvard holdout,2007,BEAL,281.5,271,284,227.0,242.0,268.5,111
Harvard holdout,2007,FAGR,319.75,295,332,226.1,242.0,268.65,148
Harvard holdout,2008,ACSA,298.0,288,301,232.0,245.0,271.5,111
Harvard holdout,2008,BEAL,285.0,268,288,232.0,245.0,271.5,111
Harvard holdout,2008,FAGR,311.5,295,315,231.7,245.0,271.65,148
Harvard holdout,2009,ACSA,293.0,290,300,230.0,245.0,270.5,111
Harvard holdout,2009,BEAL,283.5,273,286,230.0,245.0,270.5,111
Harvard holdout,2009,FAGR,305.0,300,317,229.4,245.0,270.65,148
Harvard holdout,2010,ACSA,298.0,285,301,229.0,244.0,271.0,111
Harvard holdout,2010,BEAL,282.5,276,291,229.0,244.0,271.0,111
Harvard holdout,2010,FAGR,313.0,301,316,227.8,244.0,271.3,148
Harvard holdout,2011,ACSA,292.0,282,300,229.5,246.0,273.0,111
Harvard holdout,2011,BEAL,287.5,270,290,229.5,246.0,273.0,111
Harvard holdout,2011,FAGR,315.0,307,325,228.75,246.0,273.3,148
Harvard holdout,2012,ACSA,284.0,282,291,178.5,245.0,270.5,111
Harvard holdout,2012,BEAL,279.5,277,282,178.5,245.0,270.5,111
Harvard holdout,2012,FAGR,303.0,296,314,165.15000000000003,245.0,270.65,148
Harvard holdout,2013,ACSA,290.0,274,293,229.0,243.0,267.5,111
Harvard holdout,2013,BEAL,277.5,274,287,229.0,243.0,267.5,111
Harvard holdout,2013,FAGR,304.0,298,312,228.7,243.0,267.65,148
Harvard holdout,2014,ACSA,290.0,287,300,230.5,244.0,269.5,111
Harvard holdout,2014,BEAL,278.0,269,293,230.5,244.0,269.5,111
Harvard holdout,2014,FAGR,303.5,300,322,230.35,244.0,269.65,148
Harvard holdout,2015,ACSA,302.5,289,306,228.5,245.0,271.5,111
Harvard holdout,2015,BEAL,287.0,285,293,228.5,245.0,271.5,111
Harvard holdout,2015,FAGR,309.5,306,313,227.75,245.0,271.95000000000005,148
Harvard holdout,2016,ACSA,297.0,291,300,132.0,245.0,253.5,111
Harvard holdout,2016,BEAL,288.0,285,294,132.0,245.0,253.5,111
Harvard holdout,2016,FAGR,315.5,312,327,132.0,245.0,253.65,148
Harvard holdout,2017,ACSA,288.5,285,300,137.0,244.0,273.5,111
Harvard holdout,2017,BEAL,282.5,280,300,137.0,244.0,273.5,111
Harvard holdout,2017,FAGR,303.0,300,321,137.0,244.0,273.95000000000005,148
Harvard holdout,2018,ACSA,285.0,283,303,230.0,246.0,274.0,111
Harvard holdout,2018,BEAL,285.0,276,295,230.0,246.0,274.0,111
Harvard holdout,2018,FAGR,315.0,303,319,229.1,246.0,274.3,148
Harvard holdout,2019,ACSA,290.0,287,299,224.5,245.0,270.0,111
Harvard holdout,2019,BEAL,284.0,276,293,224.5,245.0,270.0,111
Harvard holdout,2019,FAGR,302.5,299,306,222.55,245.0,270.3,148
Harvard holdout,2020,ACSA,296.0,288,299,219.0,243.0,271.0,111
Harvard holdout,2020,BEAL,285.0,282,293,219.0,243.0,271.0,111
Harvard holdout,2020,FAGR,302.5,299,306,219.0,243.0,271.3,148
Harvard holdout,2021,ACSA,288.5,279,297,229.5,245.0,273.5,111
Harvard holdout,2021,BEAL,288.5,279,292,229.5,245.0,273.5,111
Harvard holdout,2021,FAGR,312.25,292,320,228.75,245.0,273.65,148
Harvard holdout,2022,ACSA,291.5,289,294,223.5,244.0,272.0,111
Harvard holdout,2022,BEAL,286.5,284,289,223.5,244.0,272.0,111
Harvard holdout,2022,FAGR,300.5,284,307,221.55,244.0,272.3,148
Harvard holdout,2023,ACSA,282.0,270,286,227.0,246.0,273.5,111
Harvard holdout,2023,BEAL,288.5,278,291,227.0,246.0,273.5,111
Harvard holdout,2023,FAGR,303.0,278,314,227.0,246.0,273.65,148
