path,sha256,bytes
artifacts/absolute-reproduction.csv,fbe8d294808b7093990f3ad052cef533825ee68813788f8230fcb08f98dce9b4,17651
artifacts/additional-evidence-needed.csv,18b9cc7ba44cdb9721a58426670565aff34eed00514b9a6b8cc23390ec146c53,838
artifacts/all-crossings.csv,7297cbc40a124531a328d72369aa8dc19054ab739c14fbc9f6c6de6adb21788f,4132504
artifacts/base-member-daily.csv,7727740bed93f85929e5896999a70fb219d5cc7ec95901511923059ab7ffeedd,10118578
artifacts/daily-scenario-ensemble.csv,1444597741751e14cd3580817d91546ca018531534e7192c87ad66f099213594,2874999
artifacts/decision-screen.csv,063b9423f51230875d9f8430defa194df4000c45aefb2d26f04a9240659f2c8a,1546
artifacts/dependency-manifest.csv,a680e295e6981c735ee932ebb2194bc58c8c958a3cb4fbae1c3764108b6b2940,2194
artifacts/event-indicator-attribution.csv,aae4967eb43201285588d88e26cf4a21ebcedb0e95a73be87eb7efa389f77d98,4696
artifacts/model-level-sensitivity.csv,b9e6d6a2839f9c4cb2d6e9c0726a856c397e1ac505432561e6111aa1906fa4d9,237163
artifacts/observation-support.csv,c7f915bcf6a5b086ea95da2d0cbe48938e2e60674e4b7d3fd461eb0ed6a181fc,1252
artifacts/scenario-event-screen.csv,51b967bdce7aaa8c72c7a1a73ba3b97b72b691279b5dd6db83e50ff952733051,221617
artifacts/source-level-audit.csv,c4f685141f7ca3939f0316aae9da803e71b54b742bfaa40b458990173d599c7f,72087
artifacts/figures/cal07d-constraint-removal-screen.svg,120f64d09a4bd2bc629f460f92a5f3e4fb3b3aac691696c00da459b5e8e1718b,8894
artifacts/figures/cal07d-crossing-map.svg,4f7d932a3a643a46124e9b528c20e580e01a6ffa519a991a48e1f3eab18567c4,72008
artifacts/figures/cal07d-indicator-chronology.svg,e40e4c698e37ce8b470fe36c40d5adc8b151f2032b6804631e9363a3d1b92101,124293
artifacts/figures/cal07d-threshold-sensitivity.svg,3c46098e2096c12cbf0f6ca7f6d494d8ace714a5be9a8baf1fb9a6ff385dffca,16613
artifacts/figures/cal07d-constraint-removal-screen.md,b19634120b6be887661abae466e350cbf98047fb9fc976235c804a9018bbff45,2556
artifacts/figures/cal07d-crossing-map.md,9ae3074e8d93c97949d77cb407f1e88372a447a51ac5c2ae51323f473fc40f86,2192
artifacts/figures/cal07d-indicator-chronology.md,43afb1d324d65bf606e3cbda9ab69c9b2891d83daa0f2ac3f460615fd7bcd47c,2218
artifacts/figures/cal07d-threshold-sensitivity.md,45f557e9baf50ead5b0f059e0b49031e658ea5649b975b35383bc097ff5278f2,1982
