scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count,source_level,source_level_span_is_confidence_interval
BASE,GSI-2198,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.017055045864037551,0,True,738950.949840491,2024-03-05,-113.050159509,9,1,0,8,0.10,False
BASE,GSI-2198,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.04263761466009388,0,True,738943.001655014,2024-02-27,-106.998344986,9,1,0,8,0.25,False
BASE,GSI-2198,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.085275229320187759,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-2198,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.017055045864037551,0,True,739220.677663204,2024-11-30,104.677663204,9,1,0,8,0.10,False
BASE,GSI-2198,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.04263761466009388,0,False,,,,9,0,0,9,0.25,False
BASE,GSI-2198,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.085275229320187759,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-2198,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.022162248084279725,0,True,739320.532031911,2025-03-10,-97.467968089,9,1,0,8,0.10,False
BASE,GSI-2198,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.055405620210699308,0,True,739313.083331508,2025-03-03,-80.916668492,5,1,0,4,0.25,False
BASE,GSI-2198,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.11081124042139862,0,True,739305.411224007,2025-02-23,-66.588775993,4,1,0,3,0.50,False
BASE,GSI-2198,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.022162248084279725,0,True,739574.258186470,2025-11-19,82.258186470,9,2,1,7,0.10,False
BASE,GSI-2198,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.055405620210699308,0,True,739614.071224494,2025-12-29,120.071224494,5,1,0,4,0.25,False
BASE,GSI-2198,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.11081124042139862,0,False,,,,4,0,0,4,0.50,False
BASE,GSI-2199,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.017015897293584357,0,True,738950.949840491,2024-03-05,-113.050159509,9,1,0,8,0.10,False
BASE,GSI-2199,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.04253974323396089,0,True,738943.001655014,2024-02-27,-106.998344986,9,1,0,8,0.25,False
