scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count,source_level,source_level_span_is_confidence_interval
BASE,GSI-2199,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.08507948646792178,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-2199,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.017015897293584357,0,True,739220.677663204,2024-11-30,104.677663204,9,1,0,8,0.10,False
BASE,GSI-2199,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.04253974323396089,0,False,,,,9,0,0,9,0.25,False
BASE,GSI-2199,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.08507948646792178,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-2199,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.022111376316625433,0,True,739320.532031911,2025-03-10,-97.467968089,9,1,0,8,0.10,False
BASE,GSI-2199,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.055278440791563577,0,True,739313.083331508,2025-03-03,-80.916668492,5,1,0,4,0.25,False
BASE,GSI-2199,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.11055688158312715,0,True,739305.411224007,2025-02-23,-66.588775993,4,1,0,3,0.50,False
BASE,GSI-2199,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.022111376316625433,0,True,739574.258186470,2025-11-19,82.258186470,9,2,1,7,0.10,False
BASE,GSI-2199,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.055278440791563577,0,True,739614.071224494,2025-12-29,120.071224494,5,1,0,4,0.25,False
BASE,GSI-2199,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.11055688158312715,0,False,,,,4,0,0,4,0.50,False
BASE,GSI-2629,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.031309936348942684,0,True,739012.356406752,2024-05-06,-51.643593248,16,1,0,15,0.10,False
BASE,GSI-2629,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.078274840872356699,0,True,738997.959995448,2024-04-21,-52.040004552,11,1,0,10,0.25,False
BASE,GSI-2629,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.1565496817447134,0.0035474121295395256,True,738947.212052154,2024-03-02,-79.787947846,6,2,1,4,0.50,False
BASE,GSI-2629,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.031309936348942684,0.0071048412140818935,True,739131.133098261,2024-09-02,15.133098261,16,5,4,11,0.10,False
BASE,GSI-2629,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.078274840872356699,0.0076263911687198919,False,,,,11,0,0,11,0.25,False
BASE,GSI-2629,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.1565496817447134,0.015602780437929044,False,,,,6,0,0,6,0.50,False
BASE,GSI-2629,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.051897433276973361,0,True,739371.291966108,2025-04-30,-46.708033892,9,1,0,8,0.10,False
BASE,GSI-2629,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.1297435831924334,0.0042801589561802279,True,739348.349130416,2025-04-07,-45.650869584,6,1,0,5,0.25,False
BASE,GSI-2629,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.2594871663848668,0.047012628402769562,True,739335.913970071,2025-03-25,-36.086029929,7,1,0,6,0.50,False
BASE,GSI-2629,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.051897433276973361,0.01849433309622726,True,739574.685607486,2025-11-19,82.685607486,9,2,1,7,0.10,False
BASE,GSI-2629,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.1297435831924334,0.017252237979560839,False,,,,6,0,0,6,0.25,False
BASE,GSI-2629,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.2594871663848668,0.018582477882385342,False,,,,7,0,0,7,0.50,False
BASE,GSI-2630,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.029385849939644184,0,True,739012.356406752,2024-05-06,-51.643593248,16,1,0,15,0.10,False
BASE,GSI-2630,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.073464624849110455,0,True,738997.959995448,2024-04-21,-52.040004552,11,1,0,10,0.25,False
BASE,GSI-2630,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.14692924969822091,0.0033294133642096137,True,738947.212052154,2024-03-02,-79.787947846,6,2,1,4,0.50,False
BASE,GSI-2630,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.029385849939644184,0.0066682281124809872,True,739131.133098261,2024-09-02,15.133098261,16,5,4,11,0.10,False
BASE,GSI-2630,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.073464624849110455,0.0071577273095478015,False,,,,11,0,0,11,0.25,False
BASE,GSI-2630,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.14692924969822091,0.01464394432107116,False,,,,6,0,0,6,0.50,False
BASE,GSI-2630,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.048708185463345273,0,True,739371.291966108,2025-04-30,-46.708033892,9,1,0,8,0.10,False
BASE,GSI-2630,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.12177046365836318,0.0040171307728763123,True,739348.349130416,2025-04-07,-45.650869584,6,1,0,5,0.25,False
BASE,GSI-2630,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.24354092731672636,0.04412356601800288,True,739335.913970071,2025-03-25,-36.086029929,7,1,0,6,0.50,False
BASE,GSI-2630,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.048708185463345273,0.017357802680997212,True,739574.685607486,2025-11-19,82.685607486,9,2,1,7,0.10,False
BASE,GSI-2630,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.12177046365836318,0.016192037912192214,False,,,,6,0,0,6,0.25,False
BASE,GSI-2630,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.24354092731672636,0.017440530714364511,False,,,,7,0,0,7,0.50,False
BASE,GSI-2631,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.02934227308546632,0,True,739012.356406752,2024-05-06,-51.643593248,16,1,0,15,0.10,False
BASE,GSI-2631,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.073355682713665799,0,True,738997.959995448,2024-04-21,-52.040004552,11,1,0,10,0.25,False
BASE,GSI-2631,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.1467113654273316,0.0033244761117235365,True,738947.212052154,2024-03-02,-79.787947846,6,2,1,4,0.50,False
BASE,GSI-2631,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.02934227308546632,0.0066583396660117129,True,739131.133098261,2024-09-02,15.133098261,16,5,4,11,0.10,False
BASE,GSI-2631,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.073355682713665799,0.0071471129751026945,False,,,,11,0,0,11,0.25,False
BASE,GSI-2631,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.1467113654273316,0.014622228528348515,False,,,,6,0,0,6,0.50,False
BASE,GSI-2631,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.048635955138220638,0,True,739371.291966108,2025-04-30,-46.708033892,9,1,0,8,0.10,False
BASE,GSI-2631,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.12158988784555158,0.004011173690734309,True,739348.349130416,2025-04-07,-45.650869584,6,1,0,5,0.25,False
BASE,GSI-2631,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.24317977569110316,0.044058134315121289,True,739335.913970071,2025-03-25,-36.086029929,7,1,0,6,0.50,False
BASE,GSI-2631,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.048635955138220638,0.017332062454397286,True,739574.685607486,2025-11-19,82.685607486,9,2,1,7,0.10,False
BASE,GSI-2631,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.12158988784555158,0.016168026421070087,False,,,,6,0,0,6,0.25,False
BASE,GSI-2631,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.24317977569110316,0.017414667808738661,False,,,,7,0,0,7,0.50,False
BASE,GSI-2634,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.029662544392501478,0,True,739002.195415186,2024-04-26,-61.804584814,13,1,0,12,0.10,False
BASE,GSI-2634,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.074156360981253694,0,True,738988.058891010,2024-04-12,-61.941108990,9,1,0,8,0.25,False
BASE,GSI-2634,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.14831272196250739,0,True,738944.664576350,2024-02-28,-82.335423650,6,2,1,4,0.50,False
BASE,GSI-2634,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.029662544392501478,2.0644559525372331e-05,True,739162.149779207,2024-10-03,46.149779207,13,3,2,10,0.10,False
BASE,GSI-2634,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.074156360981253694,0.00012532827015920251,False,,,,9,0,0,9,0.25,False
BASE,GSI-2634,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.14831272196250739,0.0028341209513727894,False,,,,6,0,0,6,0.50,False
BASE,GSI-2634,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.04808109709264715,0,True,739356.233780639,2025-04-15,-61.766219361,9,1,0,8,0.10,False
BASE,GSI-2634,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.12020274273161786,0,True,739345.374726102,2025-04-04,-48.625273898,6,1,0,5,0.25,False
BASE,GSI-2634,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.24040548546323573,0.01472549643096927,True,739331.994745829,2025-03-21,-40.005254171,6,1,0,5,0.50,False
BASE,GSI-2634,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.04808109709264715,0.0018055062361070156,True,739574.637631458,2025-11-19,82.637631458,9,2,1,7,0.10,False
BASE,GSI-2634,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.12020274273161786,0.0018055062361070156,False,,,,6,0,0,6,0.25,False
BASE,GSI-2634,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.24040548546323573,0.0058266156290275317,False,,,,6,0,0,6,0.50,False
BASE,GSI-2635,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.027703082687507447,0,True,739002.195415186,2024-04-26,-61.804584814,13,1,0,12,0.10,False
BASE,GSI-2635,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.069257706718768616,0,True,738988.058891010,2024-04-12,-61.941108990,9,1,0,8,0.25,False
BASE,GSI-2635,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.13851541343753723,0,True,738944.664576350,2024-02-28,-82.335423650,6,2,1,4,0.50,False
BASE,GSI-2635,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.027703082687507447,1.9280811922632532e-05,True,739162.149779207,2024-10-03,46.149779207,13,3,2,10,0.10,False
BASE,GSI-2635,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.069257706718768616,0.00011704927889396963,False,,,,9,0,0,9,0.25,False
BASE,GSI-2635,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.13851541343753723,0.002646903314272849,False,,,,6,0,0,6,0.50,False
BASE,GSI-2635,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.044904934345429873,0,True,739356.233780639,2025-04-15,-61.766219361,9,1,0,8,0.10,False
BASE,GSI-2635,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.11226233586357467,0,True,739345.374726102,2025-04-04,-48.625273898,6,1,0,5,0.25,False
BASE,GSI-2635,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.22452467172714935,0.013752752961572065,True,739331.994745829,2025-03-21,-40.005254171,6,1,0,5,0.50,False
BASE,GSI-2635,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.044904934345429873,0.0016862372927228487,True,739574.637631458,2025-11-19,82.637631458,9,2,1,7,0.10,False
BASE,GSI-2635,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.11226233586357467,0.0016862372927228487,False,,,,6,0,0,6,0.25,False
BASE,GSI-2635,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.22452467172714935,0.0054417184319521085,False,,,,6,0,0,6,0.50,False
BASE,GSI-2636,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.027658927325925804,0,True,739002.195415186,2024-04-26,-61.804584814,13,1,0,12,0.10,False
BASE,GSI-2636,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.069147318314814507,0,True,738988.058891010,2024-04-12,-61.941108990,9,1,0,8,0.25,False
BASE,GSI-2636,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.13829463662962901,0,True,738944.664576350,2024-02-28,-82.335423650,6,2,1,4,0.50,False
BASE,GSI-2636,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.027658927325925804,1.9250080641509966e-05,True,739162.149779207,2024-10-03,46.149779207,13,3,2,10,0.10,False
BASE,GSI-2636,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.069147318314814507,0.00011686271650700596,False,,,,9,0,0,9,0.25,False
BASE,GSI-2636,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.13829463662962901,0.0026426844706794587,False,,,,6,0,0,6,0.50,False
BASE,GSI-2636,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.044833361313822227,0,True,739356.233780639,2025-04-15,-61.766219361,9,1,0,8,0.10,False
BASE,GSI-2636,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.11208340328455556,0,True,739345.374726102,2025-04-04,-48.625273898,6,1,0,5,0.25,False
BASE,GSI-2636,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.22416680656911112,0.013730832737508516,True,739331.994745829,2025-03-21,-40.005254171,6,1,0,5,0.50,False
BASE,GSI-2636,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.044833361313822227,0.0016835496345220448,True,739574.637631458,2025-11-19,82.637631458,9,2,1,7,0.10,False
BASE,GSI-2636,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.11208340328455556,0.0016835496345220448,False,,,,6,0,0,6,0.25,False
BASE,GSI-2636,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.22416680656911112,0.0054330449912488232,False,,,,6,0,0,6,0.50,False
BASE,GSI-2638,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.01884954014597752,0,True,738950.949840491,2024-03-05,-113.050159509,9,1,0,8,0.10,False
BASE,GSI-2638,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.047123850364943799,0,True,738943.001655014,2024-02-27,-106.998344986,9,1,0,8,0.25,False
BASE,GSI-2638,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.094247700729887599,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-2638,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.01884954014597752,0,True,739220.720934602,2024-11-30,104.720934602,9,1,0,8,0.10,False
BASE,GSI-2638,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.047123850364943799,0,False,,,,9,0,0,9,0.25,False
BASE,GSI-2638,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.094247700729887599,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-2638,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.024459672688922227,0,True,739320.546605000,2025-03-10,-97.453395000,9,1,0,8,0.10,False
BASE,GSI-2638,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.061149181722305566,0,True,739313.095160418,2025-03-03,-80.904839582,5,1,0,4,0.25,False
BASE,GSI-2638,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.12229836344461113,0,True,739305.389613156,2025-02-23,-66.610386844,4,1,0,3,0.50,False
BASE,GSI-2638,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.024459672688922227,0,True,739574.281430642,2025-11-19,82.281430642,9,2,1,7,0.10,False
BASE,GSI-2638,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.061149181722305566,0,True,739614.053476257,2025-12-29,120.053476257,5,1,0,4,0.25,False
BASE,GSI-2638,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.12229836344461113,0,False,,,,4,0,0,4,0.50,False
BASE,GSI-3941,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.012076433954381127,0,True,738950.911670192,2024-03-05,-113.088329808,9,1,0,8,0.10,False
BASE,GSI-3941,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.030191084885952818,0,True,738942.965058637,2024-02-26,-107.034941363,9,1,0,8,0.25,False
BASE,GSI-3941,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.060382169771905636,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-3941,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.012076433954381127,0,True,739218.953777497,2024-11-28,102.953777497,9,1,0,8,0.10,False
BASE,GSI-3941,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.030191084885952818,0,False,,,,9,0,0,9,0.25,False
BASE,GSI-3941,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.060382169771905636,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-3941,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.019127568291929423,0,True,739320.520831564,2025-03-10,-97.479168436,8,1,0,7,0.10,False
BASE,GSI-3941,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.047818920729823557,0,True,739312.343523422,2025-03-02,-81.656476578,4,1,0,3,0.25,False
BASE,GSI-3941,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.095637841459647113,0,True,739303.326204482,2025-02-21,-68.673795518,5,1,0,4,0.50,False
BASE,GSI-3941,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.019127568291929423,0,True,739575.090936503,2025-11-20,83.090936503,8,2,1,6,0.10,False
BASE,GSI-3941,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.047818920729823557,0,False,,,,4,0,0,4,0.25,False
BASE,GSI-3941,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.095637841459647113,0,False,,,,5,0,0,5,0.50,False
BASE,GSI-3942,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.012048713411777172,0,True,738950.911670192,2024-03-05,-113.088329808,9,1,0,8,0.10,False
BASE,GSI-3942,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.03012178352944293,0,True,738942.965058637,2024-02-26,-107.034941363,9,1,0,8,0.25,False
BASE,GSI-3942,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.060243567058885859,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-3942,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.012048713411777172,0,True,739218.953777497,2024-11-28,102.953777497,9,1,0,8,0.10,False
BASE,GSI-3942,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.03012178352944293,0,False,,,,9,0,0,9,0.25,False
BASE,GSI-3942,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.060243567058885859,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-3942,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.019083662402678558,0,True,739320.520831564,2025-03-10,-97.479168436,8,1,0,7,0.10,False
BASE,GSI-3942,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.047709156006696396,0,True,739312.343523422,2025-03-02,-81.656476578,4,1,0,3,0.25,False
BASE,GSI-3942,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.095418312013392792,0,True,739303.326204482,2025-02-21,-68.673795518,5,1,0,4,0.50,False
BASE,GSI-3942,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.10,2025-08-29,0.019083662402678558,0,True,739575.090936503,2025-11-20,83.090936503,8,2,1,6,0.10,False
BASE,GSI-3942,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.25,2025-08-31,0.047709156006696396,0,False,,,,4,0,0,4,0.25,False
BASE,GSI-3942,2025-rising,2025,rising,SOURCE_LEVEL_ANALOGY,0.50,2025-09-05,0.095418312013392792,0,False,,,,5,0,0,5,0.50,False
BASE,GSI-3962,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.10,2024-06-27,0.017055045864037551,0,True,738950.949840491,2024-03-05,-113.050159509,9,1,0,8,0.10,False
BASE,GSI-3962,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.25,2024-06-13,0.04263761466009388,0,True,738943.001655014,2024-02-27,-106.998344986,9,1,0,8,0.25,False
BASE,GSI-3962,2024-falling,2024,falling,SOURCE_LEVEL_ANALOGY,0.50,2024-05-21,0.085275229320187759,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-3962,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.10,2024-08-18,0.017055045864037551,0,True,739220.677663204,2024-11-30,104.677663204,9,1,0,8,0.10,False
BASE,GSI-3962,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.25,2024-08-20,0.04263761466009388,0,False,,,,9,0,0,9,0.25,False
BASE,GSI-3962,2024-rising,2024,rising,SOURCE_LEVEL_ANALOGY,0.50,2024-08-24,0.085275229320187759,0,False,,,,3,0,0,3,0.50,False
BASE,GSI-3962,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.10,2025-06-16,0.022162248084279725,0,True,739320.532031911,2025-03-10,-97.467968089,9,1,0,8,0.10,False
BASE,GSI-3962,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.25,2025-05-23,0.055405620210699308,0,True,739313.083331508,2025-03-03,-80.916668492,5,1,0,4,0.25,False
BASE,GSI-3962,2025-falling,2025,falling,SOURCE_LEVEL_ANALOGY,0.50,2025-05-01,0.11081124042139862,0,True,739305.411224007,2025-02-23,-66.588775993,4,1,0,3,0.50,False
