scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count,cal07c_expected_observed_date
BASE,GSI-2198,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-2198,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-2198,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-2198,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-2199,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-2199,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0,False,,,,0,0,0,0,2024-08-24
BASE,GSI-2199,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0,False,,,,0,0,0,0,2025-05-01
BASE,GSI-2199,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0,False,,,,0,0,0,0,2025-09-05
BASE,GSI-2629,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0035474121295395256,False,,,,1,0,0,1,2024-05-21
BASE,GSI-2629,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.015602780437929044,False,,,,1,0,0,1,2024-08-24
BASE,GSI-2629,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.047012628402769562,True,739295.040901439,2025-02-13,-76.959098561,1,1,0,0,2025-05-01
BASE,GSI-2629,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.018582477882385342,False,,,,1,0,0,1,2025-09-05
BASE,GSI-2630,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0033294133642096137,False,,,,0,0,0,0,2024-05-21
BASE,GSI-2630,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.01464394432107116,False,,,,0,0,0,0,2024-08-24
BASE,GSI-2630,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.04412356601800288,False,,,,0,0,0,0,2025-05-01
BASE,GSI-2630,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.017440530714364511,False,,,,0,0,0,0,2025-09-05
BASE,GSI-2631,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0.0033244761117235365,False,,,,0,0,0,0,2024-05-21
BASE,GSI-2631,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.014622228528348515,False,,,,0,0,0,0,2024-08-24
BASE,GSI-2631,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.044058134315121289,False,,,,0,0,0,0,2025-05-01
BASE,GSI-2631,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.017414667808738661,False,,,,0,0,0,0,2025-09-05
BASE,GSI-2634,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
BASE,GSI-2634,2024-rising,2024,rising,ABSOLUTE_0_5,0.50,2024-08-24,0.5,0.0028341209513727894,False,,,,0,0,0,0,2024-08-24
BASE,GSI-2634,2025-falling,2025,falling,ABSOLUTE_0_5,0.50,2025-05-01,0.5,0.01472549643096927,False,,,,0,0,0,0,2025-05-01
BASE,GSI-2634,2025-rising,2025,rising,ABSOLUTE_0_5,0.50,2025-09-05,0.5,0.0058266156290275317,False,,,,0,0,0,0,2025-09-05
BASE,GSI-2635,2024-falling,2024,falling,ABSOLUTE_0_5,0.50,2024-05-21,0.5,0,False,,,,0,0,0,0,2024-05-21
