scenario,member_or_default,event_id,event_year,direction,operator,model_level,observed_date,threshold_gsi21,event_date_gsi21,matched,selected_crossing_ordinal,selected_crossing_date,residual_days,global_same_direction_count,in_window_count,extra_in_window_count,out_of_window_count
BASE,GSI-2198,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.90,2025-05-01,0.19946023275851751,0,True,739293.502563731,2025-02-11,-78.497436269,1,1,0,0
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.10,2025-09-05,0.022162248084279725,0,True,739574.258186470,2025-11-19,75.258186470,9,2,1,7
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.20,2025-09-05,0.044324496168559449,0,True,739588.607722274,2025-12-03,89.607722274,7,2,1,5
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.25,2025-09-05,0.055405620210699308,0,True,739614.071224494,2025-12-29,115.071224494,5,1,0,4
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.30,2025-09-05,0.066486744252839167,0,False,,,,4,0,0,4
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.40,2025-09-05,0.088648992337118898,0,False,,,,3,0,0,3
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.50,2025-09-05,0.11081124042139862,0,False,,,,4,0,0,4
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.60,2025-09-05,0.13297348850567833,0,False,,,,5,0,0,5
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.70,2025-09-05,0.15513573658995805,0,False,,,,3,0,0,3
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.75,2025-09-05,0.16621686063209792,0,False,,,,3,0,0,3
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.80,2025-09-05,0.1772979846742378,0,False,,,,2,0,0,2
BASE,GSI-2198,2025-rising,2025,rising,EVENT_YEAR_RELATIVE,0.90,2025-09-05,0.19946023275851751,0,False,,,,1,0,0,1
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.10,2024-05-21,0.017015897293584357,0,True,738950.949840491,2024-03-05,-76.050159509,9,1,0,8
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.20,2024-05-21,0.034031794587168714,0,True,738944.372990225,2024-02-28,-82.627009775,10,1,0,9
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.25,2024-05-21,0.04253974323396089,0,True,738943.001655014,2024-02-27,-83.998344986,9,1,0,8
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.30,2024-05-21,0.051047691880753067,0,True,738926.353176889,2024-02-10,-100.646823111,7,2,1,5
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.40,2024-05-21,0.068063589174337427,0,False,,,,4,0,0,4
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.50,2024-05-21,0.08507948646792178,0,False,,,,3,0,0,3
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.60,2024-05-21,0.10209538376150613,0,False,,,,4,0,0,4
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.70,2024-05-21,0.11911128105509049,0,False,,,,4,0,0,4
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.75,2024-05-21,0.12761922970188266,0,False,,,,5,0,0,5
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.80,2024-05-21,0.13612717834867485,0,False,,,,4,0,0,4
BASE,GSI-2199,2024-falling,2024,falling,EVENT_YEAR_RELATIVE,0.90,2024-05-21,0.15314307564225921,0,False,,,,3,0,0,3
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.10,2024-08-24,0.017015897293584357,0,True,739220.677663204,2024-11-30,98.677663204,9,1,0,8
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.20,2024-08-24,0.034031794587168714,0,False,,,,10,0,0,10
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.25,2024-08-24,0.04253974323396089,0,False,,,,9,0,0,9
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.30,2024-08-24,0.051047691880753067,0,False,,,,7,0,0,7
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.40,2024-08-24,0.068063589174337427,0,False,,,,4,0,0,4
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.50,2024-08-24,0.08507948646792178,0,False,,,,3,0,0,3
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.60,2024-08-24,0.10209538376150613,0,False,,,,4,0,0,4
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.70,2024-08-24,0.11911128105509049,0,False,,,,4,0,0,4
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.75,2024-08-24,0.12761922970188266,0,False,,,,5,0,0,5
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.80,2024-08-24,0.13612717834867485,0,False,,,,4,0,0,4
BASE,GSI-2199,2024-rising,2024,rising,EVENT_YEAR_RELATIVE,0.90,2024-08-24,0.15314307564225921,0,False,,,,3,0,0,3
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.10,2025-05-01,0.022111376316625433,0,True,739320.532031911,2025-03-10,-51.467968089,9,1,0,8
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.20,2025-05-01,0.044222752633250866,0,True,739314.807518064,2025-03-04,-57.192481936,7,1,0,6
BASE,GSI-2199,2025-falling,2025,falling,EVENT_YEAR_RELATIVE,0.25,2025-05-01,0.055278440791563577,0,True,739313.083331508,2025-03-03,-58.916668492,5,1,0,4
