event_id,direction,source_level,source_date,tmin_c,vpd_pa,photoperiod_hours,members,minimum_constraint_tie_counts,accepted_raw_gcc90_days_pm21,source_smooth_gcc90,source_smooth_ci_width,i_tmin_p05,i_tmin_median,i_tmin_p95,i_vpd_p05,i_vpd_median,i_vpd_p95,i_photo_p05,i_photo_median,i_photo_p95,instantaneous_gsi_p05,instantaneous_gsi_median,instantaneous_gsi_p95,gsi21_p05,gsi21_median,gsi21_p95,preceding21_i_tmin_median,preceding21_i_vpd_median,preceding21_i_photo_median,preceding21_instantaneous_gsi_median
2024-falling,falling,0.10,2024-06-27,12.58,1405.485375292558,10.552644810,37,PHOTOPERIOD:37,37,0.34812,0.00054,0.785725770,0.998885111,1.000000000,0.500083519,0.710966201,0.710966201,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.998655054,0.801711869,0.000000000,0.000000000
2024-falling,falling,0.25,2024-06-13,15.18,1271.284840633301,10.552626088,37,PHOTOPERIOD:37,40,0.35105,0.00052,0.861730272,1.000000000,1.000000000,0.589584573,0.838209394,0.838209394,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.999416010,0.551592253,0.000000000,0.000000000
2024-falling,falling,0.50,2024-05-21,14.58,1630.6240659112423,10.751343866,37,PHOTOPERIOD:37,37,0.35646,0.00051,0.844190771,1.000000000,1.000000000,0.349933968,0.497499346,0.497499346,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.005612925,1.000000000,0.400267745,0.000000000,0.000000000
2024-rising,rising,0.10,2024-08-18,14.56,2172.0981495505048,11.266131683,37,PHOTOPERIOD+VPD:10;VPD:27,38,0.34496,0.00055,0.843606121,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.007077194,0.130519670,0.000000000,0.000000000,0.000000000,0.000000000,0.000022354,0.010869431,0.990585379,0.369867894,0.000409569,0.000022354
2024-rising,rising,0.25,2024-08-20,14.73,2013.1934041501631,11.308612513,37,PHOTOPERIOD:35;VPD:2,38,0.34805,0.00054,0.848575646,1.000000000,1.000000000,0.094790731,0.134763500,0.134763500,0.000000000,0.018312706,0.147313238,0.000000000,0.002304860,0.016846304,0.000000000,0.000132109,0.011671636,0.992443528,0.318756666,0.001885129,0.000132109
2024-rising,rising,0.50,2024-08-24,10.81,1613.308005712795,11.395348840,37,PHOTOPERIOD:36;VPD:1,38,0.3561,0.00054,0.733984244,0.933106639,1.000000000,0.361482399,0.513917692,0.513917692,0.000000000,0.041253104,0.181601937,0.000000000,0.019782514,0.068706493,0.000000000,0.003093002,0.023725016,0.995221903,0.288280670,0.008095454,0.003093002
2025-falling,falling,0.10,2025-06-16,11.789999999999999,1594.6850476678831,10.546763689,37,PHOTOPERIOD:37,33,0.35465,0.00054,0.762632094,0.969526358,1.000000000,0.373902427,0.531575182,0.531575182,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.995575836,0.583167098,0.000000000,0.000000000
2025-falling,falling,0.25,2025-05-23,15.050000000000001,1138.5444566003191,10.738112198,37,PHOTOPERIOD:37,33,0.35856,0.00051,0.857930047,1.000000000,1.000000000,0.678111823,0.964068136,0.964068136,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.006800803,1.000000000,0.462053332,0.000000000,0.000000000
2025-falling,falling,0.50,2025-05-01,22.960000000000001,2135.0586551846959,11.103184802,37,PHOTOPERIOD:23;VPD:14,38,0.36192,0.0014,1.000000000,1.000000000,1.000000000,0.013516327,0.019216094,0.019216094,0.000000000,0.000000000,0.066103333,0.000000000,0.000000000,0.001270248,0.000000000,0.014725496,0.075794069,1.000000000,0.465224431,0.025736245,0.014725496
2025-rising,rising,0.10,2025-08-29,15.869999999999999,2419.3272781100632,11.484138462,37,PHOTOPERIOD+VPD:10;VPD:27,29,0.34858,0.00096,0.881900697,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.064736565,0.229073349,0.000000000,0.000000000,0.000000000,0.000000000,0.001917713,0.028441923,1.000000000,0.310598886,0.018741474,0.001917713
2025-rising,rising,0.25,2025-08-31,16.460000000000001,2353.7708553349585,11.529191031,37,PHOTOPERIOD+VPD:10;VPD:27,29,0.35096,0.0041,0.899147873,1.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.076652262,0.263997484,0.000000000,0.000000000,0.000000000,0.000000000,0.001917713,0.026559802,1.000000000,0.266930697,0.025757349,0.001917713
2025-rising,rising,0.50,2025-09-05,15.58,1866.4825028908328,11.643400182,37,PHOTOPERIOD:34;VPD:3,29,0.35657,0.01701,0.873423272,1.000000000,1.000000000,0.192635201,0.273868487,0.273868487,0.000000000,0.106858790,0.352530857,0.000000000,0.027332038,0.084326478,0.000000000,0.005904685,0.028684440,1.000000000,0.206047382,0.048312723,0.005904685
