block,order,arm,run,pid,elapsed_ms,rss_kib,hwm_kib,smaps_rss_kib,private_clean_kib,private_dirty_kib,private_total_kib
1,AB,B,4,3189927,9,21176,21176,22004,20364,1632,21996
1,AB,B,4,3189927,52,29652,29652,30068,24668,5392,30060
1,AB,B,4,3189927,95,31732,31732,31732,24668,7056,31724
1,AB,B,4,3189927,137,32816,32816,32816,24668,8140,32808
1,AB,B,4,3189927,180,33212,33212,33212,24796,8408,33204
1,AB,B,4,3189927,222,33212,33212,33212,24796,8408,33204
1,AB,B,4,3189927,265,33448,33448,33448,24796,8644,33440
1,AB,B,4,3189927,307,33856,33856,33856,24924,8924,33848
1,AB,B,4,3189927,350,33856,33856,33856,24924,8924,33848
1,AB,B,4,3189927,394,34064,34064,34064,24924,9132,34056
1,AB,B,4,3189927,437,34064,34064,34064,24924,9132,34056
1,AB,B,4,3189927,481,34064,34064,34064,24924,9132,34056
1,AB,B,4,3189927,523,34064,34064,34064,24924,9132,34056
1,AB,B,4,3189927,566,34168,34168,34168,24924,9236,34160
1,AB,B,4,3189927,608,34168,34168,34168,24924,9236,34160
1,AB,B,4,3189927,651,34216,34216,34216,24924,9284,34208
1,AB,B,4,3189927,695,34284,34284,34284,24924,9352,34276
1,AB,B,4,3189927,738,34316,34316,34316,24924,9384,34308
1,AB,B,4,3189927,780,34424,34424,34424,24924,9492,34416
1,AB,B,4,3189927,824,34580,34580,34580,24988,9584,34572
1,AB,B,4,3189927,864,35320,36928,35320,24988,10324,35312
1,AB,B,4,3189927,905,36576,36928,36576,24988,11580,36568
1,AB,B,4,3189927,948,36596,36928,36616,24988,11620,36608
1,AB,B,4,3189927,991,36616,36928,36616,24988,11620,36608
1,AB,B,4,3189927,1033,37340,37340,37340,24988,12344,37332
1,AB,B,4,3189927,1076,37340,37340,37340,24988,12344,37332
1,AB,B,4,3189927,1118,37340,37340,37340,24988,12344,37332
1,AB,B,4,3189927,1162,37604,37604,37604,24988,12608,37596
1,AB,B,4,3189927,1206,37604,37604,37604,24988,12608,37596
1,AB,B,4,3189927,1248,37604,37604,37604,24988,12608,37596
1,AB,B,4,3189927,1290,37816,37816,37816,24988,12820,37808
1,AB,B,4,3189927,1333,37816,37816,37816,24988,12820,37808
1,AB,B,4,3189927,1377,37816,37816,37816,24988,12820,37808
1,AB,B,4,3189927,1421,37816,37816,37816,24988,12820,37808
1,AB,B,4,3189927,1464,38016,38016,38016,24988,13020,38008
1,AB,B,4,3189927,1507,38016,38016,38016,24988,13020,38008
1,AB,B,4,3189927,1550,38040,38040,38040,24988,13044,38032
1,AB,B,4,3189927,1593,38068,38068,38068,24988,13072,38060
1,AB,B,4,3189927,1636,38068,38068,38068,24988,13072,38060
1,AB,B,4,3189927,1680,38120,38120,38120,24988,13124,38112
1,AB,B,4,3189927,1722,38128,38128,38128,24988,13132,38120
1,AB,B,4,3189927,1765,39324,39324,40216,24988,15220,40208
1,AB,B,4,3189927,1807,42656,42656,42656,24988,17660,42648
1,AB,B,4,3189927,1850,42656,42656,42656,24988,17660,42648
1,AB,B,4,3189927,1893,42656,42656,42656,24988,17660,42648
1,AB,B,4,3189927,1936,42656,42656,42660,24988,17664,42652
1,AB,B,4,3189927,1978,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2021,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2065,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2109,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2153,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2196,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2239,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2281,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2325,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2367,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2411,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2454,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2497,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2541,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2587,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2634,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2676,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2722,42660,42660,42660,24988,17664,42652
1,AB,B,4,3189927,2765,44628,44628,44628,24988,19632,44620
1,AB,B,4,3189927,2808,47828,47828,47828,24988,22832,47820
1,AB,B,4,3189927,2850,47828,47828,47828,24988,22832,47820
1,AB,B,4,3189927,2892,47828,47828,47828,24988,22832,47820
1,AB,B,4,3189927,2935,47828,47828,47828,24988,22832,47820
1,AB,B,4,3189927,2977,47828,47828,47828,24988,22832,47820
1,AB,B,4,3189927,3018,47828,47828,47828,24988,22832,47820
1,AB,B,4,3189927,3059,47828,47828,47828,24988,22832,47820
1,AB,B,4,3189927,3101,47828,47828,47828,24988,22832,47820
1,AB,B,4,3189927,3143,47828,47828,47828,24988,22832,47820
