lane_id,cell,classification,failure_day_index,trace_sha256,typed_snapshot_sha256
harvard_hardwood,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,33,8efdf5d1c75d6a3d500a72fee22ee826a3dcf008e32d9c040dd16215ae7400d8,2f3bf5955396c9473a5d5d0236bc033686bb348bed87c759f2114e401f7baf1b
harvard_hardwood,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,75,e8ee9a8976920bdaef708927a45a1fb0d1629860d64b4e5cd3108fb92ad88191,0c9bdd01c14188a5c5d9516cc8ac4e90925cc228c248b42f70539b7a2b5f0a23
harvard_open,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,29,2412eacaa3dd901a3ed0ded56522547061355d5e38e3689baf9fc963c5e9e79d,8f0d9b800871f03d89f3a32ecac22639244875f0239eab38035b3e2dadd7f1af
harvard_open,S,PRIOR_LAYER_THICKNESS_AGGREGATE_MISMATCH,2643,0226c914d2e0da89daac6bbeebcd44941aa084b852f7fa3387c807e2013fce19,350b688851e658313193e02668dd17cc3315e744c54cb8f87158f6721590f171
marcell_conifer,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,21,5914b3710e312890675871cb4438a5171fa626602909b579daa649e102eb1f1c,df252518263273f2bc00ab8181c8494c6f19b59100eccc36cad2538dd2e47f9b
marcell_conifer,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,19,8c47b1aabfb4040366e9d28c9d058e7d9835cfaa1cb6085cf3fe4f8707f1b4c2,7391c3ce83fcdd99bede0fe46976828cd46363489882560cd1158074acefff41
marcell_deciduous,L,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,12517,a83b7addf13919e3ba5a5c7d45d462df359c60f439e5c5c76870b915a14b3b55,eacd1a9f148162edef1977d2c8d8cad8d0ca4c6ea2809b2108f42d194b7fc779
marcell_deciduous,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,13,1a5a28c3e2197b5907afd064a6915208aba2aacdbf62a1ce3fa4fab34f1662f7,8f362881e1f39b745bf95fa0bd512656d460aea1a3ab0b5ec1485f3a22f4d1f8
marcell_deciduous,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,1174,f2f8628eb5816c80a5968f9a58138630b93062501eec9a2a9aca3b591ed7da82,edeb711db0d5656c2fba88bdb04e8f85ac5c1702268f6f6d57a575dcf1b862bc
marcell_open,L,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,3709,703e5b5ba9b2210bcf7bd488d6b0889656a28df3b92cf72f1009df0bfc78f6a1,158e282579e7c013b17d3d4af791398676738604f9d713d48f59429fdc79a2b5
marcell_open,LS,PRIOR_LAYER_THICKNESS_AGGREGATE_MISMATCH,3371,e5c7f12f5e3f4e7e27018d6c87a34f982d7cf77174329269c4ab8c2654dd088a,3ced44e88f82d5781a96baabbdb8c76a3442b883a733adfa497f0c03199bd9bf
marcell_open,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,1152,70ba85180bff332865a1d667d1c7ad48e1b0d4a6c48559b2ccef7c6ae096afc8,3ba11d55683945df568597889aac49b936325c91a4eb373633441a9d067dbdad
sleepers_south_open,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,10569,2f4d4faf06b45eab8015266e779c69fefb052f663fe19dbf3d3274a862f570c6,9106be2c3bf70227f370d3ce02ec6a5fa236e8a6eb5db6969a8eaa5c418b2f0d
sleepers_south_open,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,5517,fc6121729ac9718e72f7316faf06931b72386019b51463957b19b94cd22bb3c5,1b1c619d478d83f8f28ebeb3a60924fbc3d4df788d200f75f6370217f9b8125e
sleepers_w9_hardwood,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,26,8545a654b44afdadc06ebb96162763c153d07a4108596825036dcd2beae1d2f6,bf84f52e0e8ce65d6c311c1fd2893f7fafbfcbde4d582faba270092ab34995af
sleepers_w9_hardwood,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,3247,6d872eac0440f91c4cdf1ff10d6c7fa5e41a19f6a50a49d288370f823384dd1c,5a395d7c0a062e8147da41f4a4aa2e1ecbf5d7f1ec98f49a77f5b47626d3b501
snotel_css_lab_ca,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,4418,9c574637ccda724c769e7c908237976395d7059a4da718a77c647461d00c24f3,eb0e58a069081e294540a0ef87ca016d4dd0e3d2b42e796fa75ff824f4d6b99c
snotel_mica_creek_st_joe_id,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,10204,7f20e4bc95f35fa22528ff36890b539e5e325eaeafec4b104f2c6e98378d43a1,ce5a282c774f0631024d129b20b520c0bc65f83b85eb7959eab207f629a6e677
snotel_mica_creek_st_joe_id,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,9125,b0fa28363db2b3ad49dcb77f1cf9e10717611b6a292c1e57cfb8483bb50440d4,09c8ea1dc9041fe57d0633781e4b2cb0f33c0a6705581e30a71f2d98479775e9
snotel_niwot_co,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,3040,3e7fe01a8329aa0da14fa9397e777bc875bad7073d57c6d6c903983659667853,d891dcef46f8124f8b599304c03af08d6c1808678acf9b63ad7be2bfad3d3fd6
snotel_niwot_co,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,3660,3b91e59c590e614a373278c98ac4aaa3d569f699299bb8d8bcfbd506ac67fb6b,15651264ac76560a8cfb80cb7144cc2c0bd4d25fb65819b7a307bc6d82d99026
snotel_paradise_wa,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,2121,4ef4ce7f0703431a279a1571112bed124d2b4ea74a40ba13b6f0d297d706babd,c97014effa2cbe9ced0ee033ac44cfdc1e4078f61dccb6a5259ef9c02e80e71c
snotel_snowbird_ut,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,5085,1bbbb1a01553b0f1654a383841e99f5635678afea2010c7c6a01fda62560448d,10cb935c2278d7173be6aabb7490407d91b5021a28fd46c10078396726f20117
snotel_snowbird_ut,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,1440,0864a11e3c3f7e7cb3ebc1accd73d994e7473437e7ed327373f7e1e9a01b409d,c7fc477a504576adcbdefc3aab693d887ff13c5089d37937abdb48d9a90a19b5
