lane_id,cell,classification,failure_day_index,terminal_mass_swe_m,terminal_depth_m,terminal_density_kg_m3,terminal_cold_content_j_m2,terminal_temperature_c,reconstructed_temperature_c,temperature_reconstruction_residual_c,absolute_zero_boundary_cold_content_j_m2,absolute_zero_boundary_ratio,terminal_control_volume_layer_count,last_success_day_index,last_success_swe_m,rejected_slice_to_last_success_pack_mass_ratio,last_success_cold_content_j_m2,last_success_temperature_c,last_success_sublimation_m,last_success_snowpack_swe_loss_m,last_success_shortwave_j_m2,last_success_longwave_j_m2,last_success_latent_j_m2,last_success_surface_j_m2,last_success_conduction_j_m2,last_success_refrozen_liquid_m,last_success_routed_melt_m,last_success_maximum_active_mass_kg_m2,last_success_maximum_lower_mass_kg_m2
marcell_deciduous,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,13,1.1366904965299507e-06,8.756070788977499e-06,129.817417415225,635.8071398458715,-266.3568540537478,-266.3568540537478,0.0,652.0227191670276,0.9751303461605266,1,12,0.01570283371094483,7.238760324753874e-05,554827.5269188226,-16.825216971055948,0.00020651557826509,0.0,1107778.6453296966,-2473.5764567703573,-591691.8030914937,513613.2657814314,0.0,0.0,0.0,15.909349289209919,0.0
marcell_conifer,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,19,6.840293858642196e-07,4.0280907846797914e-06,169.81478879915448,467.49978538435164,-325.45231246148523,-325.45231246148523,0.0,392.3695161725043,1.1914783542430358,1,18,0.03525673705355103,1.9401380928282037e-05,256900.80973133811,-3.4711325422016435,0.00027238669863698,0.0,1052889.2159799344,0.0,-773270.92088543,-152777.67832435662,0.0,0.0,0.0,34.3254170603624,1.2508445107659867
marcell_conifer,LS,SATURATION_VAPOR_PRESSURE_UNDERFLOW,21,1.5037691567791793e-06,8.433079095637556e-06,178.31792394276044,855.9512396443371,-271.0494669774096,-271.0494669774096,0.0,862.5845448658889,0.9923099651378716,1,20,0.03654579775330325,4.114752582308205e-05,520826.53629938816,-6.790538134701785,0.00015341258071423,0.0,1367065.71808611,-723344.0208472072,-436414.46813936956,177921.66202031358,0.0,0.0,0.0,35.71089080512689,1.025300858147075
sleepers_w9_hardwood,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,26,1.427634172771566e-06,5.4772767566465055e-06,260.646711167037,831.8722422027872,-277.4727914891181,-277.4727914891181,0.0,818.9123760143618,1.0158257056163944,1,25,0.0427213887581054,3.3417316577769386e-05,1070750.2148698645,-11.939968915547665,0.00017144801919832,0.0,1937383.829972288,-1259592.5129785715,-489690.5329521768,188100.78404154233,0.0,0.0,0.0,41.96369179379137,1.1388160497370807
harvard_open,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,29,4.496053040168722e-06,3.6177476016514376e-05,124.27768698171077,3099.8006019725008,-328.3091884283947,-328.3091884283947,0.0,2579.0034646363815,1.2019373546710406,1,28,0.00013360647982542,0.033651459465466,3006.086160546091,-10.714073165692039,0.00028909369308537,0.0,1414483.6986499755,-587343.3080348524,-822448.3766106948,4692.01400441777,0.0,0.0,0.0,0.4227001729107828,0.0
harvard_hardwood,LS,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,33,1.0142595423003564e-05,8.071806131883276e-05,125.65459647179536,6056.356022313865,-284.34330050312246,-284.34330050312246,0.0,5817.94487356619,1.0409785850379736,1,32,0.00017025487454494,0.05957301046512095,8290.236929899356,-23.18718851329286,0.00021099551174672,0.0,1739691.0490535137,-1126117.797721179,-604936.6574595013,8636.593872843745,0.0,0.0,0.0,0.3812503862916581,0.0
harvard_hardwood,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,75,8.508569021670505e-07,4.006474633725526e-06,212.37047028945378,558.8633316841981,-312.77338805420584,-312.77338805420584,0.0,488.06428193655256,1.1450609117854875,1,74,0.04229034795546132,2.0119411243982727e-05,456516.1761304055,-5.140785295964846,0.00049038190656905,0.0,1683005.7558565033,0.0,-1393856.210925071,289149.5449314123,0.0,0.0,0.0,39.73608532372814,3.300643157707108
marcell_open,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,1152,1.707090237030031e-07,6.449207269609847e-07,264.697685415408,135.28810765099576,-377.38431752335515,-377.38431752335515,0.0,97.92125663139811,1.3816010160108187,1,1151,0.05005570102736139,3.410381239285617e-06,50694.724152671784,-0.48232736317552094,6.221260074044e-05,0.0,2840806.005969587,0.0,-176329.56940302256,-21695.21186394481,0.0,0.0,0.0,49.414975482065415,0.7319092594651763
marcell_deciduous,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,1174,8.110343111910517e-07,5.197234063836758e-06,156.05114205541884,530.5031706774207,-311.4794947385768,-311.4794947385768,0.0,465.22144641385506,1.140323978541376,1,1173,0.00089326807535933,0.0009079405539762533,12519.346004953864,-6.673912904918484,0.00088518926008857,0.0,2798989.2543590004,0.0,-2510351.55817112,-2005.3802895102374,0.0,0.0,0.0,1.7743675252718898,0.0
snotel_snowbird_ut,S,CONDUCTIVITY_TEMPERATURE_BELOW_ABSOLUTE_ZERO,1440,6.929714295647423e-07,1.4159834999839804e-06,489.39230547007156,424.90066202241593,-291.9797843746448,-291.9797843746448,0.0,397.4988065697796,1.0689356923838362,1,1439,0.10979734259439887,6.311367954729471e-06,587334.930751749,-2.5639825646441383,0.00033054353673118,1.148383042259e-05,592218.3339602827,0.0,-938434.064818527,-346215.7308582388,0.0,1.148383042259e-05,1.148383042259e-05,108.80334757913425,2.6393813752225257
